Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13)
0.0,0.2786656873787691,3.76,0.0,0.5530755304031757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.437154094237027e-19,0.2786656873787691,3.76,0.0,0.5530755304031756,1.0,0.0,0.0,1.3228756555322953e-16,1.322875655528844e-16,1.317719188361299e-28,1.4704264053213668e-33,1.9235599656151813e-32,4.768789004042626e-28,3.4510698156813263e-28,3.801651604785327e-65
1.8024031463863677e-18,0.2786656873787691,3.76,0.0,0.5530755304031754,1.0,0.0,0.0,3.7040518354904253e-16,3.704051835469579e-16,3.689613727411637e-28,8.881375557326133e-33,1.161830217332548e-31,2.453407541407554e-27,2.08444616866639e-27,1.644555690331305e-63
4.119778620311698e-18,0.2786656873787692,3.76,0.0,0.5530755304031749,1.0,0.0,0.0,8.466404195406679e-16,8.466404195306315e-16,8.43340280551231e-28,4.2760000904521496e-32,5.593712351523625e-31,1.087905130447556e-26,1.0035711023924328e-26,7.580221419137382e-62
8.754529568162358e-18,0.2786656873787692,3.76,0.0,0.5530755304031739,1.0,0.0,0.0,1.799110891523917e-15,1.7991108914800857e-15,1.7920980961713636e-27,1.8674416419950045e-31,2.4429211268964495e-30,4.562068475452889e-26,4.3828586658357524e-26,2.8690132033841376e-60
1.8024031463863676e-17,0.2786656873787693,3.76,0.0,0.553075530403172,1.0,0.0,0.0,3.704051835490406e-15,3.7040518353074195e-15,3.689613727411622e-27,7.796201766145693e-31,1.0198714672778212e-29,1.8666533534767758e-25,1.8297572162026594e-25,9.944801449668471e-59
3.6563035255266316e-17,0.2786656873787695,3.76,0.0,0.5530755304031683,1.0,0.0,0.0,7.51393372342335e-15,7.51393372267579e-15,7.484644989892116e-27,3.185003228127201e-30,4.1665076036276994e-29,7.55000171285126e-25,7.475155262952338e-25,3.3089992840184666e-57
7.36410428380716e-17,0.27866568737876996,3.76,0.0,0.5530755304031606,1.0,0.0,0.0,1.51336974992891e-14,1.513369749626734e-14,1.5074707514852995e-26,1.287429570493862e-29,1.6841688962750334e-28,3.0366519819964867e-24,3.0215772744816338e-24,1.0795045175832014e-55
1.4779705800368216e-16,0.2786656873787707,3.76,0.0,0.5530755304031454,1.0,0.0,0.0,3.037322505102005e-14,3.037322503886969e-14,3.0254832564774334e-26,5.176700429015203e-29,6.771968304851832e-28,1.2179884157419962e-23,1.2149629324855188e-23,3.4877029317017233e-54
2.9610908833490327e-16,0.2786656873787723,3.76,0.0,0.5530755304031149,1.0,0.0,0.0,6.085228015447975e-14,6.085228010575137e-14,6.061508266461534e-26,2.076090610784516e-28,2.7158615686481024e-27,4.8786062713509046e-23,4.8725447630844424e-23,1.1214142829603957e-52
5.927331489973455e-16,0.2786656873787755,3.76,0.0,0.5530755304030539,1.0,0.0,0.0,1.2181039036139036e-13,1.2181039016622267e-13,1.2133558286429065e-25,8.315208938577182e-28,1.0877607284739864e-26,1.952772765605687e-22,1.9515594097770441e-22,3.597103237062793e-51
