Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7)
0.0,0.2928113933666057,3.76,0.0,0.503241331901195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.214128698684094e-17,0.29281139336660567,3.76,0.0,0.5032413319011948,1.0,2.558575807659371e-61,2.5809400079546372e-51,1.4958726465958182e-16,1.4958726464418106e-16,1.1119813472330749e-17,6.811002627168411e-32,8.980181131850002e-31,1.5419747294766234e-26,1.5399781468135305e-26,5.5962050828326215e-36,5.608250676980544e-36,1.1119813472535489e-17,2.2470182075209283e-28,1.107055858521055e-36
1.1799560356315464e-16,0.2928113933666057,3.76,0.0,0.5032413319011946,1.0,1.4726389644219281e-59,8.109454014558745e-50,4.188443410468289e-16,4.188443409538084e-16,3.113547772179805e-17,4.113848883795792e-31,5.4240288476857955e-30,9.307085465234724e-26,9.301468002587921e-26,6.64381467161399e-35,6.651090148072543e-35,3.1135477723099084e-17,1.3571989967424745e-27,1.3134642256369886e-35
2.6970423671578203e-16,0.2928113933666057,3.76,0.0,0.503241331901194,1.0,6.601782766963061e-58,1.808593621059268e-48,9.573584938213224e-16,9.573584933734687e-16,7.116680621782047e-17,1.9806445094586756e-30,2.6114358392147444e-29,4.47955318148168e-25,4.478256444685048e-25,6.522936636102527e-34,6.526439337129114e-34,7.116680622422514e-17,6.534328938468372e-27,1.2891355739641844e-34
5.731215030210368e-16,0.2928113933666058,3.76,0.0,0.5032413319011929,0.9999999999999999,2.4833694478025556e-56,3.3867797180031196e-47,2.034386799370306e-15,2.034386797414411e-15,1.5122946319821656e-16,8.650024439756751e-30,1.1404821420204912e-28,1.9560532392436564e-24,1.955772239996197e-24,5.769463574458052e-33,5.770993069345894e-33,1.5122946322647272e-16,2.8537131142490105e-26,1.1400399480017428e-33
1.1799560356315463e-15,0.29281139336660594,3.76,0.0,0.5032413319011906,0.9999999999999998,8.59846564547714e-55,5.8493862230685585e-46,4.18844341046826e-15,4.188443402302783e-15,3.113547771124138e-16,3.61123958581475e-29,4.761284280593057e-28,8.165565049699706e-24,8.164964076292456e-24,4.849581753317689e-32,4.8502199061013256e-32,3.1135477723094977e-16,1.191369045255284e-25,9.581955689669737e-33
2.3936251008525657e-15,0.2928113933666061,3.76,0.0,0.5032413319011859,0.9999999999999994,2.8606560042284503e-53,9.718487544902107e-45,8.496556632664117e-15,8.496556599305482e-15,6.316054047544282e-16,1.4753293536385611e-28,1.945136587558908e-27,3.335785247846965e-23,3.335654215921741e-23,3.975980092432001e-31,3.976240173536687e-31,6.316054052398314e-16,4.867131247333057e-25,7.855554863326839e-32
4.820963231294604e-15,0.2928113933666066,3.76,0.0,0.5032413319011767,0.9999999999999988,9.332730584644276e-52,1.584329997183322e-43,1.7112783077055627e-14,1.711278294221469e-14,1.2721066592929377e-15,5.963680044868646e-28,7.862525616491977e-27,1.3483548204582107e-22,1.3483247460134842e-22,3.219851717216935e-30,3.219955833668549e-30,1.2721066612573043e-15,1.9673722392494333e-24,6.361506551518897e-31
9.67563949217868e-15,0.2928113933666076,3.76,0.0,0.5032413319011582,0.9999999999999974,3.0153784686370374e-50,2.5586740078183643e-42,3.434523596583782e-14,3.4345235423648346e-14,2.5531091653878805e-15,2.398100529608604e-27,3.161464877822249e-26,5.421629558468108e-22,5.421554336703453e-22,2.591616708928439e-29,2.591656943828956e-29,2.553109173291091e-15,7.910717007354156e-24,5.120243514524323e-30
1.9384992013946833e-14,0.2928113933666095,3.76,0.0,0.5032413319011211,0.9999999999999949,9.695718951689294e-49,4.112975043650627e-41,6.881014174339893e-14,6.881013956897669e-14,5.115114165649475e-15,9.618506521867009e-27,1.2678710965866552e-25,2.174306728730256e-21,2.1742856411841606e-21,2.079609076065567e-28,2.079622596344158e-28,5.115114197354025e-15,3.1725511441215065e-23,4.108652697686994e-29
3.880369705748314e-14,0.2928113933666134,3.76,0.0,0.503241331901047,0.9999999999999898,3.11009207825001e-47,6.596077115304236e-40,1.3773995329850802e-13,1.3773994458947755e-13,1.0239124118459625e-14,3.853261315978764e-26,5.0779556323554145e-25,8.708549308553372e-21,8.708482514810069e-21,1.6662177342895464e-27,1.6662189579606974e-27,1.023912424546135e-14,1.2706750983043865e-22,3.2919137330658225e-28
7.764110714455575e-14,0.292811393366621,3.76,0.0,0.5032413319008989,0.9999999999999796,9.96424961933816e-46,1.0565991984794234e-38,2.755995764086739e-13,2.755995415498574e-13,2.0487143833228708e-14,1.5429824780038655e-25,2.032391993650893e-24,3.4856852467864756e-20,3.485661650521394e-20,1.3339870150162326e-26,1.333980793354822e-26,2.0487144341601876e-14,5.086010641421106e-22,2.6355291496634737e-27
1.5531592731870096e-13,0.29281139336663636,3.76,0.0,0.5032413319006027,0.999999999999959,3.190473367122843e-44,1.6915404991700716e-37,5.513188226287959e-13,5.513186831481392e-13,4.098318249936958e-14,6.179330752575305e-25,8.131306232176628e-24,1.3947271369262703e-19,1.3947180072868609e-19,1.0675945511068258e-25,1.0675813193287473e-25,4.098318453358695e-14,2.035065758476896e-21,2.1092226503899468e-26
3.106655676669914e-13,0.292811393366667,3.76,0.0,0.5032413319000103,0.9999999999999181,1.021257328423903e-42,2.7072493641172724e-36,1.102757315068201e-12,1.1027567570548708e-12,8.197525677812268e-14,2.476446836368714e-24,3.2523248363147856e-23,5.5798131902585185e-19,5.579774763064888e-19,8.542370668075624e-25,8.542145825696875e-25,8.197526491637698e-14,8.1415803346334e-21,1.687697479619493e-25
