Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68)
0.0,0.5731220289604405,3.76,0.0,0.5527235096237777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.85769882104644e-19,0.5731220289604405,3.76,0.0,0.5527235096237776,1.0,7.434091533216622e-44,7.774762516090508e-32,1.8021866160485943e-16,1.8021866160469116e-16,4.6080374731819284e-18,3.3743336430868556e-34,4.344395584004951e-33,4.137490125193117e-28,1.6810633253135642e-28,1.055808516360614e-39,7.83461954857043e-38,4.608037472936509e-18,1.2126343788633414e-31,4.966077587856519e-40,9.71737715093394e-25,7.772162394193327e-32,1.7444728888984573e-31,8.233648796500692e-48,1.1483007026934287e-52,2.4249112265947026e-32,4.411179773393656e-45,2.3036541212110855e-52
1.0801556698930032e-18,0.5731220289604405,3.76,0.0,0.5527235096237771,1.0,8.825753476755199e-43,4.695956564669038e-31,5.046122524936063e-16,5.046122524925899e-16,1.2902504924908674e-17,2.0380975231257508e-33,2.624014931529085e-32,1.703178230505199e-27,1.0153622484823292e-27,1.2534558706153354e-38,4.793684962483064e-37,1.2902504924222204e-17,7.324311648212047e-31,4.1762799679938766e-39,2.7208662461177495e-24,4.694386086571984e-31,1.053661624893699e-30,1.244269006127052e-46,1.735605240345171e-51,1.4646463803841818e-31,5.236952626968537e-44,3.481282107973573e-51
2.4689272454697215e-18,0.5731220289604406,3.76,0.0,0.5527235096237765,1.0,8.665177117530521e-42,2.2609009471046737e-30,1.153399434271099e-15,1.153399434266205e-15,2.949143982835924e-17,9.812562274615917e-33,1.2633502340137797e-31,6.460760648261166e-27,4.888532149905885e-27,1.2306504066451758e-37,2.370669497435917e-36,2.94914398267935e-17,3.52634077355079e-30,3.2092890199327064e-38,6.219125883591443e-24,2.260144824950239e-30,5.072927160902171e-30,1.3385278175490867e-45,1.8677371071896815e-50,7.051641839752107e-31,5.141671143853966e-43,3.7450044317683567e-50
5.246470396623158e-18,0.5731220289604406,3.76,0.0,0.5527235096237751,1.0,7.664251062552712e-41,9.873948472165668e-30,2.4509737978260798e-15,2.450973797804708e-15,6.266930963524872e-17,4.2854037685902904e-32,5.517382372932734e-31,2.4690821410747395e-26,2.1349504230387352e-26,1.0884963479751508e-36,1.0904375531204548e-35,6.266930963193576e-17,1.5400456609665098e-29,2.454683966269804e-37,1.3215655460238798e-23,9.870646248053328e-30,2.2154805688860128e-29,1.230337672362561e-44,1.717973421461208e-49,3.079637250350475e-30,4.547749899149195e-42,3.442304280238781e-49
1.0801556698930031e-17,0.5731220289604411,3.76,0.0,0.5527235096237725,0.9999999999999999,6.44226487785518e-40,4.1221791550888346e-29,5.046122524936026e-15,5.046122524846801e-15,1.29025049248981e-16,1.7890717352476337e-31,2.303398521761225e-30,9.601052664231712e-26,8.912997749827084e-26,9.149467672475248e-36,5.012883118420536e-35,1.290250492422188e-16,6.429387475024022e-29,1.9048943350263213e-36,2.7208755820333623e-23,4.120800508086322e-29,9.249195256804357e-29,1.0525797817643558e-43,1.4718188120507933e-48,1.2856879256581933e-29,3.822657812694442e-41,2.9449637846984655e-48
2.191172930354378e-17,0.5731220289604415,3.76,0.0,0.5527235096237672,0.9999999999999998,5.281758060687425e-39,1.6840447185040766e-28,1.0236419979155853e-14,1.0236419978791339e-14,2.6173652847625903e-16,7.3089419633211e-31,9.410134467875986e-30,3.780882719214468e-25,3.641250404327857e-25,7.501286384618278e-35,2.4242693647821533e-34,2.617365284627793e-16,2.626614568545848e-28,1.4974492167114304e-35,5.51951213677258e-23,1.683481468891836e-28,3.7785980561550887e-28,8.70293318458443e-43,1.220329243253531e-47,5.252454656676231e-29,3.1340458300581797e-40,2.4349530071970327e-47
4.4132074512771276e-17,0.5731220289604426,3.76,0.0,0.5527235096237565,0.9999999999999996,4.277304759829229e-38,6.807178252391112e-28,2.061701488759524e-14,2.0617014886121822e-14,5.271594869300688e-16,2.9543913349811406e-30,3.803726747235865e-29,1.4999971016604758e-24,1.4718516316653312e-24,6.074736196902246e-34,1.2841880796600532e-33,5.271594869038776e-16,1.0617196039545162e-27,1.1867704167160012e-34,1.1116851177133635e-22,6.804901286469116e-28,1.5273697488350593e-27,7.077080731022472e-42,9.978829349335169e-47,2.1231261280834276e-28,2.538031568732119e-39,1.9800633467644524e-46
8.857276493122627e-17,0.573122028960445,3.76,0.0,0.5527235096237352,0.999999999999999,3.4427472187530734e-37,2.737136632946129e-27,4.1378204704472975e-14,4.1378204698548415e-14,1.0580054038347026e-15,1.1879478692543187e-29,1.5294617475863854e-28,5.974828117196079e-24,5.91825067373268e-24,4.889476179207371e-33,7.610515341094126e-33,1.0580054037859833e-15,4.269127826507067e-27,9.448185161029894e-34,2.2311792981399144e-22,2.7362208972889955e-27,6.141486583518448e-27,5.707921994385643e-41,8.137514723056412e-46,8.536996592191817e-28,2.0428286101521848e-38,1.5969928218670295e-45
1.7745414576813624e-16,0.5731220289604493,3.76,0.0,0.5527235096236925,0.9999999999999979,2.7625881970303943e-36,1.0977143690246228e-26,8.290058433822424e-14,8.290058431446412e-14,2.1196972376320295e-15,4.7642031393735666e-29,6.133825290668747e-28,2.3848543567173222e-23,2.3734832181461975e-23,3.9234967018861225e-32,5.014755158677842e-32,2.1196972375498326e-15,1.7121111959324698e-26,7.539910645672188e-33,4.470273148420713e-22,1.0973469755577909e-26,2.4630108043828835e-26,4.584913355939982e-40,6.679839229967968e-45,3.423717307293978e-27,1.6392413066030563e-37,1.2827914826877845e-44
