Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934)
0.0,0.44920111572929927,3.76,0.0,0.6060279234991895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3276895840835207e-19,0.44920111572929927,3.76,0.0,0.6060279234991893,1.0,1.6927162126499278e-44,3.322092384855631e-32,1.9360038762772534e-16,1.93600387627637e-16,4.1899703916118735e-18,2.2526699229041113e-34,2.868302184597269e-33,4.219410349856357e-28,8.82738892131266e-29,2.3578734155621563e-40,9.582446263284417e-38,4.1899703912783055e-18,5.298766167621433e-32,1.1550145078208526e-18,1.5830003421372977e-24,3.3198905727129063e-32,7.757867507200033e-32,3.8308379514692e-37,1.0760442970460166e-41,1.2679030944465193e-32,1.2627656294199647e-45,1.4829694489289955e-41,1.1550145078208526e-18,1.517222113269872e-37,5.268855531798895e-55,6.557152034948659e-41
3.717530835433858e-19,0.4492011157292994,3.76,0.0,0.606027923499189,1.0,2.0095926888998843e-43,2.006543801806801e-31,5.420810853576307e-16,5.420810853570971e-16,1.1731917096512916e-17,1.3606126341895249e-33,1.7324545191233114e-32,1.4674531074736144e-27,5.331742908456773e-28,2.7992673189476644e-39,5.801548661420816e-37,1.1731917095579239e-17,3.2004547652135903e-31,3.234040621898386e-18,4.432401250487067e-24,2.005213906043657e-31,4.685751974346696e-31,2.3138261227130917e-36,6.499307846888804e-41,7.658134689206957e-32,1.4991553552467598e-44,8.957135825043433e-41,3.234040621898386e-18,9.164021564417417e-37,6.255185512939196e-54,3.960519829108988e-40
8.497213338134533e-19,0.44920111572929944,3.76,0.0,0.6060279234991883,1.0,1.9730300213145762e-42,9.660644675470185e-31,1.2390424808174402e-15,1.239042480814871e-15,2.6815810506313704e-17,6.550764147136786e-33,8.341022747207269e-32,4.702550090499192e-27,2.5670046982936115e-27,2.7483372531552935e-38,2.8072020509577196e-36,2.6815810504181043e-17,1.540881201499682e-30,7.392092850053448e-18,1.0131204237197134e-23,9.654241787325075e-31,2.2559878710905847e-30,1.1140076763250517e-35,3.1291372465423773e-40,3.6870621967754543e-31,1.4718796176499822e-43,4.312475677653355e-40,7.392092850053448e-18,4.412081905782237e-36,6.141378694267026e-53,1.906819811763068e-39
1.805657834353588e-18,0.44920111572929955,3.76,0.0,0.6060279234991869,1.0,1.7451227146781557e-41,4.219057349753661e-30,2.632965271737055e-15,2.6329652717258343e-15,5.698359732591008e-17,2.8608908137975723e-32,3.6427437686502217e-31,1.57490354087031e-26,1.121078392981794e-26,2.4308731764576517e-37,1.23828490894974e-35,5.69835973213844e-17,6.729433032418041e-30,1.5708197306363547e-17,2.1528814890659392e-23,4.216261029283869e-30,9.852491734111127e-30,4.865164198753144e-35,1.3665766984356946e-39,1.6102369280095556e-30,1.3018608533027565e-42,1.8833717329329666e-39,1.5708197306363547e-17,1.9268720842557375e-35,5.431980727588913e-52,8.327583084384772e-39
3.717530835433858e-18,0.4492011157292997,3.76,0.0,0.606027923499184,0.9999999999999999,1.466880801090744e-40,1.7613734013387654e-29,5.4208108535762675e-15,5.420810853529423e-15,1.17319170965082e-16,1.1943656036621757e-31,1.5207738130639935e-30,5.614717145335606e-26,4.680281605855748e-26,2.0432953758602406e-36,5.272441110374791e-35,1.1731917095579006e-16,2.809405821657824e-29,3.234040621898368e-17,4.4324054917752497e-23,1.7602059833970153e-29,4.113221352287836e-29,2.031110282216036e-34,5.7051908168961724e-39,6.722422189317732e-30,1.0942924901979226e-41,7.862708793158581e-39,3.234040621898368e-17,8.044311648168587e-35,4.5659084824791754e-51,3.476602008929759e-38
7.541276837594397e-18,0.44920111572930027,3.76,0.0,0.6060279234991782,0.9999999999999998,1.2026375188488949e-39,7.195785149213716e-29,1.0996502017254621e-14,1.0996502017063245e-14,2.3799031824334254e-16,4.879373249032475e-31,6.212857219818148e-30,2.1016410517271567e-25,1.9120477497221637e-25,1.6752169997567288e-35,2.238010649697063e-34,2.3799031822459733e-16,1.1477339466200553e-28,6.560482404422362e-17,8.991460985261356e-23,7.191015790890284e-29,1.6803851335044767e-28,8.297748239332773e-34,2.3307583299448098e-38,2.746328803931008e-29,8.971670978252958e-41,3.21217517958835e-38,6.560482404422362e-17,3.2863637892786864e-34,3.7434098959293983e-50,1.4203053593780015e-37
1.5188768841915478e-17,0.44920111572930116,3.76,0.0,0.6060279234991668,0.9999999999999996,9.739270641567047e-39,2.908651474923519e-28,2.214788434461105e-14,2.214788434383747e-14,4.793326127995305e-16,1.9723207190538145e-30,2.5113362048382698e-29,8.110806191082351e-25,7.728802713715841e-25,1.3566341592066154e-34,9.725881567051958e-34,4.793326127621956e-16,4.639324117637921e-28,1.3213365969470222e-16,1.8109601924503964e-22,2.9067235633081617e-28,6.792385379987677e-28,3.3540825091426465e-33,9.421311774347268e-38,1.110110006391939e-28,7.265491764362451e-40,1.2984142503212646e-37,1.3213365969470225e-16,1.3284007893368419e-33,3.031514050615861e-49,5.741101349895082e-37
3.048375285055764e-17,0.44920111572930305,3.76,0.0,0.6060279234991439,0.9999999999999991,7.839012646328483e-38,1.1695560191579619e-27,4.4450648999322784e-14,4.445064899621223e-14,9.620172019105743e-16,7.930615165695549e-30,1.0097972278678792e-28,3.1844442327791563e-24,3.1077175780371612e-24,1.0919371956244581e-33,4.4571747925173756e-33,9.620172018373274e-16,1.8654518220311262e-27,2.651913309956544e-16,3.634600361207428e-22,1.1687807655412944e-27,2.73118828721247e-27,1.3486618261200715e-32,3.788279245195176e-37,4.463703461617187e-28,5.847899855288361e-39,5.2208801404137155e-37,2.6519133099565446e-16,5.341441158980452e-33,2.4400321392778233e-48,2.3084716025116975e-36
6.107372086784195e-17,0.4492011157293069,3.76,0.0,0.6060279234990981,0.9999999999999981,6.290314505105746e-37,4.6904431651044384e-27,8.905617830874176e-14,8.905617829626705e-14,1.9273863801273306e-15,3.1805316276617933e-29,4.049738407571126e-28,1.2617293801821975e-23,1.2463337443464832e-23,8.762108313499118e-33,2.2258216389673257e-32,1.9273863799873307e-15,7.481296140581101e-27,5.313066735975387e-16,7.281928622358357e-22,4.687333659656525e-27,1.0953286584862814e-26,5.408737134383604e-32,1.5192784094203e-36,1.7901446922830818e-27,4.6925713457295096e-38,2.0938173111155882e-36,5.313066735975388e-16,2.1421568147644173e-32,1.957981585531056e-47,9.258003615230855e-36
1.222536569024106e-16,0.4492011157293144,3.76,0.0,0.6060279234990064,0.9999999999999962,5.039907114388142e-36,1.878624133909471e-26,1.7826723692756179e-13,1.7826723687759779e-13,3.858124736539525e-15,1.2738718004322904e-28,1.622007600019103e-27,5.0227482294723164e-23,4.9918358155739425e-23,7.02034920062183e-32,1.2425832078426827e-31,3.8581247362862965e-15,2.996420671982442e-26,1.0635373588012265e-15,1.4576776839230319e-21,1.877378396048544e-26,4.3870278373492816e-26,2.1663160423887856e-31,6.085110223281633e-36,7.169915795113369e-27,3.7597674370878847e-37,8.386277572756417e-36,1.0635373588012263e-15,8.579800755506847e-32,1.5687830856564972e-46,3.708030395136578e-35
2.4461352897154784e-16,0.44920111572932936,3.76,0.0,0.6060279234988231,0.9999999999999923,4.034991556865977e-35,7.519395138855488e-26,3.566893541651301e-13,3.56689353965144e-13,7.719601449278632e-15,5.0988085514918215e-28,6.492256710606834e-27,2.0042581660388087e-22,1.9980352329023127e-22,5.620548024732857e-31,7.784149938610206e-31,7.719601448880072e-15,1.1993491524754156e-25,2.127998729208279e-15,2.9167240051435676e-21,7.514406429110769e-26,1.755954426955706e-25,8.670909802736133e-31,2.4356876101224597e-35,2.869834596538289e-26,3.01010004853633e-36,3.3567662296163143e-35,2.1279987292082788e-15,3.4341563155103133e-31,1.2560046327842592e-45,1.4841784986640207e-34
4.893332731098224e-16,0.44920111572935945,3.76,0.0,0.6060279234984564,0.9999999999999846,3.229221780350476e-34,3.0087397167811582e-25,7.135335886399794e-13,7.135335878397745e-13,1.544255487441573e-14,2.040188806800994e-27,2.5977477290265964e-26,8.0073431374836145e-22,7.994743466731092e-22,4.498146605266916e-30,5.36386917387497e-30,1.5442554874050975e-14,4.7989587858515425e-25,4.256921470021094e-15,5.835123359114025e-21,3.006741572967704e-25,7.026104940910005e-25,3.46949339992617e-30,9.746384792442042e-35,1.1483074474243148e-25,2.408994868572631e-35,1.3431994878471282e-34,4.256921470021092e-15,1.3741098879532282e-30,1.0052242895961853e-44,5.938647226673802e-34
9.787727613863716e-16,0.44920111572941956,3.76,0.0,0.6060279234977229,0.9999999999999691,2.5838716063286584e-33,1.2036935760975713e-24,1.427222057588529e-12,1.4272220543871879e-12,3.088846172332544e-14,8.162093605050735e-27,1.0392677580537473e-25,3.2009986160039346e-21,3.1984179520874348e-21,3.599200687860372e-29,3.9455459736126394e-29,3.0888461724326215e-14,1.9198959648311454e-24,8.514766951641563e-15,1.1673148914331005e-20,1.2028925801141864e-24,2.810899486062982e-24,1.3880233122399562e-29,3.899558015647469e-34,4.593975886672238e-25,1.927561903626928e-34,5.374118718585225e-34,8.514766951641552e-15,5.497334655885221e-30,8.043943448551647e-44,2.3758455921516783e-33
1.9576517379394695e-15,0.44920111572953964,3.76,0.0,0.6060279234962561,0.9999999999999383,2.0672992400838157e-32,4.8151803449198855e-24,2.854598995481033e-12,2.854598982674627e-12,6.1780275415687e-14,3.2651110694740645e-26,4.157405456340227e-25,1.2800116403277165e-20,1.2794712887054317e-20,2.8796339144353215e-28,3.018183054533833e-28,6.178027542461045e-14,7.68020857114263e-24,1.7030457914861884e-14,2.335410742313744e-20,4.8119632323996536e-24,1.1244513012139652e-23,5.552545380270689e-29,1.5602457657109423e-33,1.8377386029979183e-24,1.5421959399154056e-33,2.1501793738291385e-33,1.7030457914861796e-14,2.1991130984151715e-29,6.436760831562455e-43,9.504155826639394e-33
3.9154096910456654e-15,0.44920111572978005,3.76,0.0,0.6060279234933226,0.9999999999998765,1.653926996244578e-31,1.9261618559473037e-23,5.709352871247661e-12,5.7093528200199536e-12,1.2356390277857873e-13,1.306103901527534e-25,1.6630267234939342e-24,5.119270831603693e-20,5.118093276989257e-20,2.3038164406206845e-27,2.3592378991235497e-27,1.2356390282411387e-13,3.072208188333535e-23,3.4061839841220266e-14,4.673565410838585e-20,1.9248646638966196e-23,4.49798821160895e-23,2.2211087372626304e-28,6.243602362059804e-33,7.351243065587504e-24,1.2338153184505137e-32,8.603923044520139e-33,3.406183984121962e-14,8.79681249854315e-29,5.151245273552288e-42,3.801817027760933e-32
7.830925597258059e-15,0.44920111573026095,3.76,0.0,0.6060279234874555,0.999999999999753,1.3231875482662807e-30,7.704894919198664e-23,1.1418860622707391e-11,1.141886041779239e-11,2.4713115741703834e-13,5.224572526082602e-25,6.652217208203301e-24,2.0475531435172922e-19,2.0472788551800024e-19,1.8430968094098007e-26,1.8652650767825882e-26,2.471311576188605e-13,1.2289080782033805e-22,6.812460369360952e-14,9.357726674258973e-20,7.699623686295252e-23,1.7992318759730063e-22,8.884617367971361e-28,2.49938466393512e-32,2.940548675078372e-23,9.87075676528428e-32,3.4439237400059996e-32,6.812460369360455e-14,3.5187983176807123e-28,4.1236415260470934e-41,1.5207577510687138e-31
