Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144)
0.0,0.14484061187640643,3.76,0.0,0.5817461166798845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.229060295072328e-17,0.14484061187640643,3.76,0.0,0.5817461166798843,1.0,4.193258206835256e-39,3.421384557241074e-29,1.9636865946275404e-16,1.963686594410659e-16,1.3760234329452757e-17,1.9616424397320363e-31,2.5864060470893784e-30,2.1637472947215563e-26,2.1618010294214856e-26,5.417879749286134e-36,5.8312542326939207e-33,1.3760234329965423e-17,4.952471212110137e-28,7.437731571466761e-20,2.797490402867264e-26,3.422340709174877e-29,6.738119746589182e-29,8.51510444274984e-37,1.599858917339594e-43,2.673171649269559e-30,2.755806644368908e-41,9.777401105416853e-42,7.43773157146502e-20,4.83154482075968e-38,9.551632506133328e-52,1.1021226542020613e-34,1.863118909928195e-33
6.241368826202518e-17,0.14484061187640646,3.76,0.0,0.581746116679884,1.0,4.978236242042875e-38,2.06651631739868e-28,5.49832246495711e-16,5.498322463647146e-16,3.8528656120743584e-17,1.1848333161331463e-30,1.5621890543780587e-29,1.3062761750222834e-25,1.3057278213223086e-25,6.4321068363303e-35,3.525237235861182e-32,3.8528656123902805e-17,2.9912926108844618e-27,2.0825648400106923e-19,7.855673909513379e-26,2.06709379215492e-28,4.0698243265179e-28,5.143123890872271e-36,9.664977978582378e-43,1.6145956375703033e-29,3.2716936478841266e-40,5.905703329295547e-41,2.0825648400096413e-19,2.9182536204162824e-37,1.1339967215382736e-50,6.656849924744899e-34,1.1253235175099573e-32
1.4265985888462898e-16,0.14484061187640646,3.76,0.0,0.5817461166798832,1.0,4.887662072440144e-37,9.94938696483312e-28,1.2567594205616238e-15,1.2567594199309321e-15,8.806549969642874e-17,5.704475452760857e-30,7.52126581397778e-29,6.287786793732049e-25,6.286517386833654e-25,6.315080629499106e-34,1.7004682497584754e-31,8.806549971177608e-17,1.4401786266365373e-26,4.760148205738722e-19,1.8062844052284067e-25,9.952166839479967e-28,1.959445221675185e-27,2.4761935600586293e-35,4.655083148932751e-42,7.773582577248258e-29,3.21216822371341e-39,2.8434934606833485e-40,4.76014820573366e-19,1.4050140412165523e-36,1.1134201691841066e-49,3.2050163184427865e-33,5.417945228773558e-32
3.031522001298366e-16,0.14484061187640648,3.76,0.0,0.5817461166798816,0.9999999999999999,4.3230821246800974e-36,4.345159082484777e-27,2.6706137686934447e-15,2.670613765939048e-15,1.871391868202129e-16,2.491305777737089e-29,3.2847326098149895e-28,2.745763892245778e-24,2.745487300417129e-24,5.585617293159531e-33,7.454667902409182e-31,1.8713918688751658e-16,6.28963842031394e-26,1.0115314937194783e-18,3.8840396884045733e-25,4.34637275975816e-27,8.557412071627789e-27,1.0814194811737372e-34,2.034580702631179e-41,3.3949273964505234e-28,2.841126416056291e-38,1.2419606260933876e-39,1.0115314937172664e-18,6.1360701917173e-36,9.849055238132479e-49,1.3997408654787192e-32,2.366156302272992e-31
6.241368826202519e-16,0.1448406118764066,3.76,0.0,0.5817461166798786,0.9999999999999997,3.633811637878897e-35,1.8140187175589668e-26,5.498322464957066e-15,5.498322453458e-15,3.852865609574366e-16,1.0400807128775318e-28,1.3713097231799035e-27,1.1462466659207915e-23,1.1461868995459289e-23,4.6950478807712053e-32,3.135808515397497e-30,3.8528656123897337e-16,2.625800219501452e-25,2.082564840010696e-18,8.184835295890168e-25,1.8145250971999678e-26,3.572551083755157e-26,4.514719281906379e-34,8.507205710410852e-41,1.4173150701331861e-27,2.3881379414347944e-37,5.1860454910236443e-39,2.0825648400014533e-18,2.561692475031e-35,8.280370168152777e-48,5.843860163484701e-32,9.878214040508245e-31
1.2661062476010823e-15,0.14484061187640673,3.76,0.0,0.5817461166798725,0.9999999999999992,2.9792193543587416e-34,7.410861100655642e-26,1.1153739857484233e-14,1.1153739810506795e-14,7.815813087905064e-16,4.249147469792374e-28,5.6022355609956734e-27,4.682680143555631e-23,4.6825474488231446e-23,3.8492838944798457e-31,1.3003919547481525e-29,7.815813099417904e-16,1.072725059899661e-24,4.2246315325931995e-18,1.7367566856555556e-24,7.412927320089106e-26,1.4595036846063616e-25,1.8444148976979314e-33,3.486306189321254e-40,5.790192161498177e-27,1.9579397663761156e-36,2.119570993624115e-38,4.224631532555371e-18,1.0465381960976057e-34,6.791445602049029e-47,2.387585372861866e-31,4.0355541682738406e-30
2.550044977562743e-15,0.14484061187640704,3.76,0.0,0.5817461166798604,0.9999999999999984,2.4126507396372125e-33,2.9955907613030816e-25,2.2464574642538254e-14,2.2464574452647936e-14,1.5741708026911346e-15,1.717636718535564e-27,2.2645033989666515e-26,1.8927918697839856e-22,1.8927605241564134e-22,3.1172498631259977e-30,5.412521464057866e-29,1.5741708073470384e-15,4.336126145314092e-24,8.508764917758845e-18,3.805759280995249e-24,2.996423933716775e-25,5.899547226890545e-25,7.455458387771502e-33,1.4180209747722786e-39,2.3404863421135023e-26,1.5855903805974888e-35,8.57493816543566e-38,8.508764917605382e-18,4.230300859929155e-34,5.504257988258268e-46,9.652439375087408e-31,1.6312204923019053e-29
5.117922437486065e-15,0.14484061187640765,3.76,0.0,0.5817461166798362,0.9999999999999969,1.9419138914182921e-32,1.2045156512873674e-24,4.5086244212645057e-14,4.508624344910443e-14,3.15934978343035e-15,6.907051341176212e-27,9.105389866192236e-26,7.610788141882534e-22,7.610706642868348e-22,2.5090338296425792e-29,2.301909901688569e-28,3.1593498021559896e-15,1.7435372031751646e-23,1.7077031688095623e-17,8.873590763932508e-24,1.2048490365279399e-24,2.3721819760132913e-24,2.997837968107986e-32,5.7732331623539385e-39,9.410977309113995e-26,1.2762210731306564e-34,3.453810081243127e-37,1.7077031687474115e-17,1.7010063949776373e-33,4.437339069505453e-45,3.8823594702518545e-30,6.558945024340106e-29
1.0253677357332708e-14,0.14484061187640887,3.76,0.0,0.5817461166797878,0.9999999999999937,1.5582679019275555e-31,4.8306607817373254e-24,9.032958335285366e-14,9.032958029071428e-14,6.329707716660637e-15,2.7704452813820074e-26,3.651605458137293e-25,3.052257430413308e-21,3.0522336180859706e-21,2.0133415468933367e-28,1.0238782941905936e-27,6.329707791767716e-15,6.992363608743871e-23,3.42135652288146e-17,2.2728568174289053e-23,4.8319847337960055e-24,9.513510573638508e-24,1.202291923917097e-31,2.373683842893069e-38,3.77421051783514e-25,1.0240870240789481e-33,1.3898366868708866e-36,3.4213565226286407e-17,6.821965074309516e-33,3.57197277522291e-44,1.5579270003960165e-29,2.6303333978498127e-28
