Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245)
0.0,0.18586518622629816,3.76,0.0,0.844581023429146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.192616119961796e-23,0.1858651862262981,3.76,0.0,0.844581023429146,0.9999999999999997,8.385037278781683e-54,2.4681381411156584e-38,4.587599704220148e-19,4.587599704220147e-19,6.921983054803324e-21,6.390546283276381e-40,7.943150212550831e-39,9.774135714993444e-31,1.0111588278686507e-34,6.959533682330241e-50,4.108764570763267e-40,6.921983053826011e-21,6.085566719246014e-38,2.0791007117349476e-21,6.116436763146043e-27,2.539037630222107e-38,6.66016899807044e-38,1.2055058874497652e-42,6.161622814891414e-47,1.3301018565591083e-38,8.477072987910684e-55,3.3131178297991065e-47,2.0791007117349476e-21,3.1688731528917753e-43,8.188043259828072e-64,4.777440650883857e-41,7.134070596959738e-40,2.872273994139042e-16,1.9167928570239033e-64
6.139325135893029e-23,0.1858651862262981,3.76,0.0,0.844581023429146,0.9999999999999991,9.954716257375103e-53,1.490755437234686e-37,1.284527917181642e-18,1.2845279171816414e-18,1.93815525534493e-20,3.859889955099944e-39,4.79766272838021e-38,2.7370856312362664e-30,6.107399320326644e-34,8.262358387662454e-49,2.4816938011468692e-39,1.9381552550712822e-20,3.67568229842457e-37,5.821481992857853e-21,1.7126022937070442e-26,1.5335787286542161e-37,4.022742074834545e-37,7.281255560196616e-42,3.721620180349127e-46,8.033815213616366e-38,1.0063981051247563e-53,2.001123169264521e-46,5.821481992857853e-21,1.913999384346688e-42,9.720844958360463e-63,2.885574153140885e-40,4.3089786405629405e-39,8.04236718358754e-16,2.2756164798590243e-63
1.4032743167755494e-22,0.18586518622629816,3.76,0.0,0.844581023429146,0.9999999999999981,9.773599452164235e-52,7.177345714376761e-37,2.9360638107008958e-18,2.936063810700893e-18,4.430069155074122e-20,1.8583708591782858e-38,2.3098680818090413e-37,6.257740274862517e-30,2.940449871442024e-33,8.112032460124097e-48,1.1948287377867417e-38,4.4300691544486416e-20,1.769682801956707e-36,1.3306244555103665e-20,3.91451952859653e-26,7.383521428686835e-37,1.93677714463888e-36,3.5056111207039655e-41,1.7917999147980725e-45,3.867936198872918e-37,9.880876274708676e-53,9.634546650024893e-46,1.3306244555103665e-20,9.215083128610099e-42,9.543983224545841e-62,1.3892797412875788e-39,2.0745877295947805e-38,1.838255356247742e-15,2.234213754147799e-62
2.9819579231480423e-22,0.1858651862262981,3.76,0.0,0.844581023429146,0.999999999999996,8.644638032966354e-51,3.134535439229728e-36,6.239135597739403e-18,6.239135597739391e-18,9.413896954532495e-20,8.115993779776655e-38,1.0087800769931907e-36,1.3304291658724644e-29,1.2841717113931743e-32,7.175000845135122e-47,5.218131011160118e-38,9.413896953203353e-20,7.7286697334421e-36,2.8275769679595287e-20,8.318353998793928e-26,3.2245777903830565e-36,8.45841462754942e-36,1.530992477061251e-40,7.825260977243847e-45,1.689229357829067e-36,8.739523167616363e-52,4.207659644837481e-45,2.8275769679595287e-20,4.024468904173394e-41,8.441545081005119e-61,6.067349626731554e-39,9.060269658127393e-38,3.9062926320228714e-15,1.9761367638788928e-61
6.139325135893029e-22,0.1858651862262981,3.76,0.0,0.844581023429146,0.9999999999999919,7.266339145256132e-50,1.3086068424310807e-35,1.284527917181642e-17,1.2845279171816364e-17,1.93815525534492e-19,3.388267639407223e-37,4.211458242687565e-36,2.7418362812887393e-29,5.361164105359477e-32,6.031020536568354e-46,2.1784669810803758e-37,1.938155255071273e-19,3.226567474543934e-35,5.821481992857853e-20,1.712602294086243e-25,1.3461977515446438e-35,3.531221602776912e-35,6.391592215259097e-40,3.2668924185451637e-44,7.052200043467392e-36,7.346095818155525e-51,1.756615074249077e-44,5.821481992857853e-20,1.6801365456639712e-40,7.09562728362148e-60,2.532999033196772e-38,3.782484230497725e-37,8.042367183561744e-15,1.6610620212139601e-60
1.2454059561383001e-21,0.1858651862262981,3.76,0.0,0.844581023429146,0.9999999999999836,5.957383845053467e-49,5.346085939280025e-35,2.605756631997045e-17,2.6057566319970226e-17,3.9316863751282435e-19,1.384217887154723e-36,1.7205181086335307e-35,5.573037866696691e-29,2.1902104675165197e-31,4.944595014791735e-45,8.899748458791725e-37,3.931686374573132e-19,1.318158093655308e-34,1.1809292042654503e-19,3.474136083169427e-25,5.499657068573767e-35,1.4426192456580195e-34,2.6111739724520624e-39,1.3346321499623952e-43,2.8810538253736714e-35,6.022773184138851e-50,7.17634575157437e-44,1.1809292042654503e-19,6.863906004096057e-40,5.817423949789484e-59,1.0348127548271485e-37,1.545268227575124e-36,1.631451628659395e-14,1.361839002133875e-59
2.5083528412362945e-21,0.1858651862262981,3.76,0.0,0.844581023429146,0.999999999999967,4.8244438934161526e-48,2.1609734132580346e-34,5.248214061627852e-17,5.2482140616277634e-17,7.918748614694822e-19,5.595230017328169e-36,6.954609282250503e-35,1.1268990455814198e-28,8.853180894226653e-31,4.0042612402610734e-44,3.597420641833582e-36,7.918748613576784e-19,5.328205769900309e-34,2.3784912142247804e-19,6.99720366401373e-25,2.2230493190718525e-34,5.83129764592233e-34,1.0554782687451731e-38,5.394796546841637e-43,1.1645680203003472e-34,4.8773978754551774e-49,2.900793695821399e-43,2.3784912142247804e-19,2.7745005512733103e-39,4.7111007461908786e-58,4.182878607683637e-37,6.246221242954984e-36,3.285881449247617e-14,1.1028525319923965e-58
5.034246611432283e-21,0.1858651862262981,3.76,0.0,0.844581023429146,0.9999999999999339,3.883132162691567e-47,8.689179051976281e-34,1.0533128920889464e-16,1.0533128920889108e-16,1.58928730938277e-18,2.2498173812921522e-35,2.796417804890477e-34,2.2795093307255606e-28,3.5598250998640804e-30,3.2229778090165694e-43,1.446507034178368e-35,1.5892873091583823e-18,2.1424481057757335e-33,4.77361523414344e-19,1.404333883641407e-24,8.938783538751998e-34,2.3447391364464893e-33,4.2440316970048773e-38,2.1692239702362764e-42,4.682676790039771e-34,3.925754134191389e-48,1.1663963894593336e-42,4.773615234143439e-19,1.1156144689723947e-38,3.79190374468289e-57,1.6819170914607217e-36,2.5115780898837283e-35,6.594741090351192e-14,8.876716637556276e-58
1.008603415182426e-20,0.1858651862262981,3.76,0.0,0.8445810234291459,0.9999999999998678,3.1159690096588444e-46,3.484749433138322e-33,2.1102958639412688e-16,2.110295863941126e-16,3.1841122052092347e-18,9.022773954721162e-35,1.121488612588595e-33,4.6384089702963805e-28,1.427649082114282e-29,2.5862367156828122e-42,5.801140302499082e-35,3.184112204759684e-18,8.592175137489419e-33,9.563863273980758e-19,2.813560922406168e-24,3.584851995924977e-33,9.40345264736004e-33,1.7020465294569958e-37,8.699558377332527e-42,1.8779628306237204e-33,3.1501704573287687e-47,4.677771225510044e-42,9.563863273980756e-19,4.474112991363072e-38,3.0427639616231886e-56,6.745239794805227e-36,1.0072551470953972e-34,1.321246037226686e-13,7.123006065652922e-57
