Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125)
0.0,0.08374386065950987,3.76,0.0,0.505558308121845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3746986258559824e-23,0.08374386065950987,3.76,0.0,0.505558308121845,0.9999999999999997,7.837992363303745e-54,2.777614253607922e-38,2.972170994831661e-19,2.97217099483166e-19,5.671571351079206e-21,1.1978098625874156e-39,1.4894502873838905e-38,5.91310172282261e-31,9.087140258765465e-35,4.539513531821481e-50,2.182849755365223e-40,5.671571350487986e-21,1.239254967677202e-37,9.60754936253124e-22,7.731688534360621e-27,2.812333138744016e-38,6.011785711204371e-38,6.50533641407241e-43,2.290464831147147e-47,1.5019443066810392e-38,9.909774781273924e-55,1.2395190285392748e-47,9.60754936253124e-22,9.866011293273936e-44,7.535134459908241e-64,4.995653352930274e-41,7.601842909715957e-40,2.9580369040594695e-16,8.169497518152412e-65,1.932194987967898e-57,3.519588402666054e-57
3.8491561523967505e-23,0.08374386065950987,3.76,0.0,0.505558308121845,0.9999999999999991,9.305264533719738e-53,1.677679009180216e-37,8.322078785528652e-19,8.322078785528646e-19,1.5880399783021773e-20,7.234771570031448e-39,8.996279735797404e-38,1.6559629225833494e-30,5.488632716294334e-34,5.3893104649784576e-49,1.3184412525053293e-39,1.5880399781366358e-20,7.485100004770253e-37,2.6901138215087476e-21,2.164872789645466e-26,1.6986492158014705e-37,3.631118569567438e-37,3.929223194099779e-42,1.3834407581261658e-46,9.071743612352614e-38,1.17648846203284e-53,7.486694932939794e-47,2.6901138215087476e-21,5.959070821137883e-43,8.945711631418241e-63,3.017374625179796e-40,4.591513117467419e-39,8.282503331364616e-16,9.69882745355225e-64,2.9199330146843484e-56,5.3188019941089565e-56
8.798071205478287e-23,0.08374386065950987,3.76,0.0,0.505558308121845,0.999999999999998,9.1359638986835e-52,8.077302249507306e-37,1.9021894366922633e-18,1.9021894366922606e-18,3.6298056646906874e-20,3.483231080409392e-38,4.3313214357104105e-37,3.7864461839576006e-30,2.642540387248987e-33,5.291256972691101e-48,6.347727092573091e-39,3.629805664312307e-20,3.6037534460052314e-36,6.1488315920199954e-21,4.9482806621622426e-26,8.178264767468871e-37,1.7482272848182273e-36,1.891751829212321e-41,6.660671730642875e-46,4.367654043827166e-37,1.1550833485052867e-52,3.604521335819999e-46,6.1488315920199954e-21,2.8690360840846877e-42,8.782952728340917e-62,1.4527359950469881e-39,2.2106159181438716e-38,1.8931436185967312e-15,9.522366307163575e-63,3.141130675431121e-55,5.721724474446199e-55
1.869590131164136e-22,0.08374386065950987,3.76,0.0,0.505558308121845,0.9999999999999959,8.080656606906149e-51,3.5275701020980456e-36,4.04215255297106e-18,4.042152552971048e-18,7.713337037467699e-20,1.5212185254913776e-37,1.8916018649755338e-36,8.052123749794402e-30,1.1540668128632042e-32,4.680056870766638e-47,2.7722191934172216e-38,7.713337036663643e-20,1.5738538089499717e-35,1.306626713304249e-20,1.0515096407587667e-25,3.571663086206216e-36,7.63496785322951e-36,8.261777245872617e-41,2.908890337264307e-45,1.907469269483581e-36,1.0216581408502114e-51,1.5741891670927578e-45,1.306626713304249e-20,1.2529834342464318e-41,7.768422226682751e-61,6.344479758375047e-39,9.654340495323464e-38,4.022930189514231e-15,8.422425161325025e-62,2.887240253500725e-54,5.259250558335928e-54
3.849156152396751e-22,0.08374386065950985,3.76,0.0,0.505558308121845,0.9999999999999917,6.792278774223459e-50,1.472691077277307e-35,8.322078785528655e-18,8.322078785528606e-18,1.5880399783021687e-19,6.350787891486718e-37,7.89706542369133e-36,1.6602323053821205e-29,4.8180017651973596e-32,3.9338697944599185e-46,1.1573469439876906e-37,1.588039978136628e-19,6.570529838623852e-35,2.690113821508748e-20,2.164872790000601e-25,1.491099030163262e-35,3.1874487840805217e-35,3.4491293667417797e-40,1.2144044550044307e-44,7.963308714010824e-36,8.587652269055396e-51,6.571929896913993e-45,2.690113821508748e-20,5.230959187699591e-41,6.529826967841971e-60,2.6486954078618696e-38,4.030497110717176e-37,8.282503331337078e-15,7.07955583728973e-61,2.4700948212883266e-53,4.49939957890763e-53
7.80828819486198e-22,0.08374386065950987,3.76,0.0,0.505558308121845,0.9999999999999831,5.5687205113614254e-49,6.01642357800671e-35,1.6881931250643837e-17,1.6881931250643643e-17,3.22145252741295e-19,2.5945040747996886e-36,3.226208900469713e-35,3.377809835128758e-29,1.9683109286095584e-31,3.2252241319002634e-45,4.728139915379106e-37,3.2214525270771413e-19,2.6842758301869548e-34,5.457088037917746e-20,4.391599089111265e-25,6.091626071855119e-35,1.3021768321896808e-34,1.4090818886342365e-39,4.961238455787014e-44,3.2532714460331974e-35,7.0406761742678e-50,2.684847802997537e-44,5.457088037917746e-20,2.137017510173165e-40,5.353546669932398e-59,1.0820784989751504e-37,1.6465895816040715e-36,1.6801649614934148e-14,5.80424760417453e-60,2.04232216423957e-52,3.720190581697635e-52
1.572655227979244e-21,0.08374386065950987,3.76,0.0,0.505558308121845,0.9999999999999661,4.509694249017813e-48,2.431934604618105e-34,3.4001636180874213e-17,3.400163618087342e-17,6.488277625634452e-19,1.0487400296022835e-35,1.3040852202058135e-34,6.843115570387141e-29,7.956227479280956e-31,2.611870121595165e-44,1.911189763330812e-36,6.4882776249581125e-19,1.0850272084393684e-33,1.0991036470735742e-19,8.845051689840577e-25,2.4623326549692953e-34,5.26360695587331e-34,5.695734286672345e-39,2.0054119126055292e-43,1.3150243338175794e-34,5.701722107778757e-49,1.0852584116753389e-43,1.0991036470735742e-19,8.638166455843314e-40,4.335440903369821e-58,4.373934302814154e-37,6.655778355816916e-36,3.383994218193381e-14,4.700430195169036e-59,1.660782465554588e-51,3.025197197675125e-51
3.156308044965336e-21,0.08374386065950988,3.76,0.0,0.505558308121845,0.999999999999932,3.6297942662842233e-47,9.778702085209532e-34,6.824104604133496e-17,6.824104604133174e-17,1.3021927822077212e-18,4.2169375339060046e-35,5.243669314644466e-34,1.3894329743964319e-28,3.199164076658903e-30,2.102260301424746e-43,7.684810086373703e-36,1.302192782071983e-18,4.362846683902479e-33,2.2058933336371736e-19,1.7751956901331133e-24,9.90093130834077e-34,2.116473206772135e-33,2.2902297059231502e-38,8.063673142777856e-43,5.2876550093748044e-34,4.589241990952775e-48,4.363776363504757e-43,2.2058933336371727e-19,3.473368739874612e-39,3.4895400299444065e-57,1.7587397462934183e-36,2.6762592036567814e-35,6.791652731515522e-14,3.783315149300699e-58,1.33948122429595e-50,2.439931135220156e-50
6.32361367893752e-21,0.08374386065950987,3.76,0.0,0.5055583081218449,0.9999999999998639,2.9126813024628278e-46,3.921696899638141e-33,1.3671986576225643e-16,1.3671986576224359e-16,2.608922821496175e-18,1.6911805583475022e-34,2.1029459239734153e-33,2.8479168903360177e-28,1.2830078808505266e-29,1.686931496163836e-42,3.081952640547681e-35,2.6089228212242367e-18,1.7496966533305598e-32,4.419472706764371e-19,3.556576736443998e-24,3.970716284647742e-33,8.488004174933504e-33,9.184845451036941e-38,3.2338936216696624e-42,2.120586154882295e-33,3.6825776773740045e-47,1.7500695137243115e-42,4.419472706764369e-19,1.3929762149166217e-38,2.800136136278776e-56,7.053333001372407e-36,1.0732996392523191e-34,1.3606969757848639e-13,3.035872142518264e-57,1.0759441634075337e-49,1.9598853769567526e-49
