Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908)
0.0,0.2081939881011282,3.76,0.0,0.581331168063383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6165389801216795e-22,0.20819398810112816,3.76,0.0,0.581331168063383,0.9999999999999996,5.787533950556583e-54,4.2113081390659155e-39,2.09294048553575e-21,2.0929404855357472e-21,1.484146842009205e-22,1.6342457489074343e-41,2.1543531889187102e-40,2.338618598789348e-34,2.5850071078750007e-36,9.154168545683093e-51,5.519271688083047e-29,1.4841468420068926e-22,4.711911073018778e-38,1.0493566908367421e-24,2.8735971435763067e-31,4.212868720779995e-39,8.1445215779616e-39,1.175011592041155e-46,6.859267802582858e-45,3.200442541215091e-40,3.6568911757012167e-56,1.5170518394397757e-51,1.0493566908367421e-24,8.657565783019657e-48,1.3281979918606298e-66,1.2570505261012747e-44,2.1197876094486533e-43,3.082207001334478e-16,3.879220822422182e-70,1.4083312807961768e-60,4.582775574807442e-60,3.7907782981849855e-59,5.519271688083474e-29,5.434225515340276e-76
1.0126309144340704e-21,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999999991,6.870960306102248e-53,2.5436301159964087e-38,5.860233359500099e-21,5.860233359500083e-21,4.155611157625771e-22,9.870844323509448e-41,1.3012293261051572e-39,6.63188670047074e-34,1.5613442931564925e-35,1.0867828897434918e-49,1.5453960726631142e-28,4.1556111576192986e-22,2.8459942881033256e-37,2.9381987343428785e-24,8.046072276316924e-31,2.5445727073511695e-38,4.919291033088798e-38,7.097070015937972e-46,4.1429977527600425e-44,1.9330672948933633e-39,4.341461203792477e-55,9.162993112407569e-51,2.9381987343428785e-24,5.229169732952134e-47,1.5768366562821957e-65,7.592585178023799e-44,1.280351716103048e-42,8.630179603713289e-16,4.605410960434418e-69,2.1282702314287427e-59,6.925490448649012e-59,5.728624164217143e-58,1.545396072663372e-28,1.532538542934109e-74
2.314584947277875e-21,0.20819398810112816,3.76,0.0,0.581331168063383,0.999999999999998,6.745949572773328e-52,1.2246484068412626e-37,1.3394819107428799e-20,1.3394819107428722e-20,9.498539788858892e-22,4.752386637985635e-40,6.264859073349452e-39,1.555344139927579e-33,7.517200669700387e-35,1.0670098856848061e-48,3.532333880372178e-28,9.498539788844107e-22,1.3702237400338368e-36,6.715882821355151e-24,1.8391023639011238e-30,1.225102224002902e-37,2.3684268748712216e-37,3.416933709669504e-45,1.9946750769910913e-43,9.306886909845218e-39,4.262472354397319e-54,4.411586752315247e-50,6.715882821355151e-24,2.517620129714275e-46,1.5481475803633125e-64,3.655502930460659e-43,6.164342368217606e-42,1.972612480837791e-15,4.521619790779451e-68,2.289495996407866e-58,7.450126596452979e-58,6.162592463793335e-57,3.53233388037342e-28,3.3336060791729934e-73
4.918493012965484e-21,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999999958,5.966716001675411e-51,5.348361336622949e-37,2.84639906032862e-20,2.846399060328587e-20,2.0184397051325075e-21,2.0754921012806833e-39,2.7360285498997293e-38,3.47366247786549e-33,3.28295902700113e-34,9.43758160385712e-48,7.506209495788081e-28,2.0184397051293692e-21,5.984127062733597e-36,1.4271250995379696e-23,3.9080930753252135e-30,5.35034327539141e-37,1.0343542404011108e-36,1.4922647219064266e-44,8.711270109280187e-43,4.0645620273346186e-38,3.7701085265008834e-53,1.9266558393911544e-49,1.4271250995379696e-23,1.0995108544559503e-45,1.3693190038750806e-63,1.5964541687253743e-42,2.6921302639387414e-41,4.191801521733515e-15,3.999321499424379e-67,2.104441266110063e-57,6.847949885923292e-57,5.664484195411783e-56,7.506209495793506e-28,6.179943850119646e-72
1.0126309144340704e-20,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999999913,5.015384321026537e-50,2.2328355753410618e-36,5.860233359500099e-20,5.860233359499962e-20,4.155611157625725e-21,8.664770962221392e-39,1.1422380607403705e-37,7.846328746448896e-33,1.3705707685952162e-33,7.932855994991648e-47,1.5453960726611002e-27,4.1556111576192765e-21,2.4982552509143304e-35,2.9381987343428786e-23,8.046076253714303e-30,2.233662995758288e-36,4.318225340635129e-36,6.229911461129103e-44,3.636783788929394e-42,1.6968746353445486e-37,3.169003382603787e-52,8.043408882308224e-49,2.9381987343428786e-23,4.590241378268635e-45,1.150995132527911e-62,6.664881894579757e-42,1.1239113904747323e-40,8.630179603376162e-15,3.3616706977910017e-66,1.8003938092538464e-56,5.858565301526984e-56,4.846085487059959e-55,1.5453960726633641e-27,1.0621744495872673e-70
2.054194140709114e-20,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999999825,4.111915083150422e-49,9.121861881612719e-36,1.1887901957843056e-19,1.1887901957842495e-19,8.429954062612078e-21,3.5398416632454613e-38,4.66641518111949e-37,1.8735779654445847e-32,5.5992287959406404e-33,6.503834627665347e-46,3.1349463188221277e-27,8.429954062599054e-21,1.0206187860599679e-34,5.960346003952696e-23,1.6322049632656123e-29,9.125242163964517e-36,1.7641359518726998e-35,2.545122108932042e-43,1.4857448431106262e-41,6.932286561908406e-37,2.598140436178425e-51,3.2859949913084674e-48,5.960346003952696e-23,1.875263378959494e-44,9.436553533045462e-62,2.7228217259512806e-41,4.591544753104973e-40,1.7506935766066248e-14,2.756100742174463e-65,1.4886004176913692e-55,4.8439750848472e-55,4.0068371948058126e-54,3.134946318831377e-27,1.7604762540006922e-69
4.137320593259201e-20,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999999647,3.3299354429578165e-48,3.687202418600782e-35,2.3943239154528974e-19,2.3943239154526706e-19,1.6978639872584465e-20,1.4308605980189566e-37,1.886239625681953e-36,4.90911549537588e-32,2.2632978032849797e-32,5.2669739047823694e-45,6.3140468111299586e-27,1.6978639872558462e-20,4.1255043161578716e-34,1.2004640543172332e-22,3.287402447919434e-29,3.6885687827465954e-35,7.130919578540347e-35,1.0287790494765545e-42,6.005618206015561e-41,2.802141066022217e-36,2.104041486556883e-50,1.328251724468153e-47,1.200464054317233e-22,7.580114406966232e-44,7.64196576628917e-61,1.1006080776420586e-40,1.855975801494894e-39,3.526044808906561e-14,2.231961838619167e-64,1.2105051376153122e-54,3.9390400922954524e-54,3.2582934629477487e-53,6.314046811167344e-27,2.8664792059499335e-68
8.303573498359376e-20,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999999292,2.680221742368624e-47,1.4826078756376742e-34,4.805391354790082e-19,4.80539135478917e-19,3.4076011492527945e-20,5.753427537412156e-37,7.584486574341483e-36,1.4410779948564861e-31,9.100620923552078e-32,4.2393188149412835e-44,1.2672247795688721e-26,3.4076011492476655e-20,1.6588471408992774e-33,2.4093229621611606e-22,6.597808652688907e-29,1.4831572846296277e-34,2.8673113996070644e-34,4.1366753109588356e-42,2.4148326669702997e-40,1.1267285983614828e-35,1.6935156358531677e-49,5.340841849422556e-47,2.409322962161159e-22,3.047930664803442e-43,6.150918974942637e-60,4.425496688483381e-40,7.462797067464599e-39,7.076747272554103e-14,1.7964770654112073e-63,9.763162470459704e-54,3.1769785359635322e-53,2.6279317176538912e-52,1.2672247795839051e-26,4.626508995157731e-67
1.6636079308559726e-19,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999998581,2.1507091538455183e-46,5.945920694076622e-34,9.627526233464449e-19,9.62752623346079e-19,6.827075473240973e-20,2.30738177429792e-36,3.041718340208103e-35,4.71364664282386e-31,3.649756025561091e-31,3.401786366014823e-43,2.5388649764578655e-26,6.827075473231064e-20,6.652718972518501e-33,4.827040777849015e-22,1.3218666004075169e-28,5.948124069690357e-34,1.1499201148789453e-33,1.6589918173085593e-41,9.684559054858263e-40,4.5186856209363075e-35,1.358939643882507e-48,2.141916523959196e-46,4.827040777849011e-22,1.2223565188710019e-42,4.935725250863553e-59,1.774822119119095e-39,2.99291540455478e-38,1.4178152196039877e-13,1.441559709064031e-62,7.842303039813431e-53,2.5519219315904806e-52,2.1108976686765725e-51,2.5388649765181546e-26,7.434675753171606e-66
