Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64)
0.0,0.6111870774285706,3.76,0.0,0.8983227083265958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.260070055710497e-22,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999996,6.897732759602213e-54,9.763350723971232e-39,4.4933858611434555e-20,4.4933858611434537e-20,1.1930527758685373e-21,3.898462992418695e-41,5.098282815521154e-40,2.830518199552841e-32,1.885927397272663e-35,5.446845463032189e-50,1.0425043996908132e-26,1.1930527758402511e-21,2.1744886026126662e-38,1.3686150025005383e-22,4.5115896260851246e-29,9.870717876274512e-39,2.6915418643741404e-38,2.4086503917639526e-44,3.078404805053085e-43,2.04931542078323e-39,1.909641904544785e-55,7.881049506560755e-49,1.3686150025005383e-22,7.34073807995198e-45,4.043477116017211e-65,7.80581217929299e-43,1.2752864887086234e-41,3.1622775962726117e-16,1.065562506431608e-66,2.038093821707357e-59,5.212697108594176e-59,1.5312246391894487e-57,1.0425043996908415e-26,3.904504346293132e-76,1.458699864103691e-69,1.6647166849061007e-78
6.328196155989391e-22,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999991,8.188988332202541e-53,5.897063837280815e-38,1.258148041120168e-19,1.2581480411201667e-19,3.340547772431904e-21,2.3546716474233025e-40,3.079362820573986e-39,7.931561439307054e-32,1.1391001479526852e-34,6.466494933711798e-49,2.9190123191341854e-26,3.3405477723527024e-21,1.3133911159780426e-37,3.8321220070015075e-22,1.2632450962458294e-28,5.961913597269985e-38,1.6256912860819798e-37,1.4548248366254665e-43,1.8593565022520637e-42,1.2377865141528895e-38,2.2671268690755688e-54,4.760153902135149e-48,3.8321220070015075e-22,4.4338058002911954e-44,4.800416032294636e-64,4.7147105563371036e-42,7.702730391795087e-41,8.854377269556368e-16,1.265035807636042e-65,3.0799673058077237e-58,7.877427870507545e-58,2.313986674743094e-56,2.9190123191343564e-26,1.1011326977241517e-74,1.7317684786641142e-68,4.694767406104771e-77
1.4464448356547181e-21,0.6111870774285706,3.76,0.0,0.8983227083265958,0.999999999999998,8.039997304600977e-52,2.8391823905341166e-37,2.8757669511318127e-19,2.8757669511318074e-19,7.635537765558633e-21,1.1336730381989723e-39,1.4825806427523637e-38,1.815808984105186e-31,5.484276871268846e-34,6.348843071710257e-48,6.672028158020563e-26,7.6355377653776e-21,6.32341285639751e-37,8.759136016003447e-22,2.88741736728844e-28,2.8704047584208952e-37,7.827003741599982e-37,7.004355339250153e-43,8.952001173094367e-42,5.959409243634908e-38,2.225878603937397e-53,2.291809196761618e-47,8.759136016003447e-22,2.1346866336503303e-43,4.713076926913464e-63,2.269930181804606e-41,3.708533109157176e-40,2.02385766160961e-15,1.2420196574979904e-64,3.313288253943012e-57,8.474177435499465e-57,2.4892812714374992e-55,6.672028158021386e-26,2.3952041350175218e-73,1.7002605615998697e-67,1.0212144573755705e-75
3.0736952757662757e-21,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999957,7.111286565857614e-51,1.239945541947736e-36,6.111004771155102e-19,6.111004771155077e-19,1.6225517751812064e-20,4.951048000409099e-39,6.474819175699582e-38,3.8708914333487006e-31,2.3951277945362193e-33,5.61547979856753e-47,1.4178059835791848e-25,1.6225517751427375e-20,2.7616005253179546e-36,1.8613164034007328e-21,6.13576192444557e-28,1.2535811702871383e-36,3.418258167755138e-36,3.0589859975408127e-42,3.909574102417411e-41,2.6026305843918857e-37,1.9687644179094817e-52,1.0008932875931247e-46,1.8613164034007328e-21,9.322737361542026e-43,4.168663168535986e-62,9.913381468386207e-41,1.619613840652199e-39,4.300697530906442e-15,1.0985523216334386e-63,3.0454827249949574e-56,7.78922903543028e-56,2.2880783538479975e-54,1.4178059835795446e-25,4.440304796797043e-72,1.5038612118975764e-66,1.8931594962409793e-74
6.328196155989392e-21,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999911,5.977464845779979e-50,5.176528553880052e-36,1.2581480411201681e-18,1.258148041120158e-18,3.340547772431886e-20,2.0669650786140117e-38,2.7031095487782614e-37,8.020163407413943e-31,9.999187060339089e-33,4.720149128736036e-46,2.919012319132854e-25,3.340547772352685e-20,1.1529138571051168e-35,3.832122007001508e-21,1.2632451099047463e-27,5.233454618003219e-36,1.42705549649115e-35,1.277066437713778e-41,1.6321702276391385e-40,1.086547036096733e-36,1.6548651202080184e-51,4.1785324507078325e-46,3.832122007001508e-21,3.8920593299932373e-42,3.504012574925365e-61,4.138641618076839e-40,6.761568963063341e-39,8.854377269455652e-15,9.233994190784099e-63,2.605474585970161e-55,6.663849431261812e-55,1.9574992040440979e-53,2.9190123191343563e-25,7.631749442912649e-71,1.2640859630366401e-65,3.253857469696503e-73
1.2837197916435622e-20,0.6111870774285706,3.76,0.0,0.8983227083265958,0.999999999999982,4.900686823813883e-49,2.1147808202408912e-35,2.552243169129484e-18,2.5522431691294427e-18,6.77653976693321e-20,8.444226780383229e-38,1.1043084509637836e-36,1.6475135657857266e-30,4.084994179587993e-32,3.869863435136117e-45,5.921424990237841e-25,6.77653976677255e-20,4.71002929280213e-35,7.773733214203059e-21,2.5625829689401777e-27,2.1380369748746566e-35,5.829987339908799e-35,5.21723309458087e-41,6.667947943937123e-40,4.4388991740118366e-36,1.3567584082857828e-50,1.7070668492871697e-45,7.773733214203059e-21,1.590033231072197e-41,2.872801214040536e-60,1.6907701418048662e-39,2.7623215459433435e-38,1.7961736746376246e-14,7.570586332077889e-62,2.1542567711744918e-54,5.509799575980384e-54,1.6184981962266782e-52,5.92142499024398e-25,1.2649065015595915e-69,1.0363740453563996e-64,5.39303012940585e-72
2.5855201437328086e-20,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999638,3.96870324885746e-48,8.548282199883995e-35,5.140433425148114e-18,5.14043342514795e-18,1.3648523755935714e-19,3.4132914763203397e-37,4.463791322486917e-36,3.401079336799522e-30,1.6512199608268833e-31,3.1339157427578816e-44,1.192625033243841e-24,1.364852375561215e-19,1.903869147039482e-34,1.5656955628606163e-20,5.1612587834712506e-27,8.642287295153599e-35,2.356574096268914e-34,2.1088890332118236e-40,2.6952911702545652e-39,1.794274018018252e-35,1.0987381353669807e-49,6.900237149542772e-45,1.5656955628606163e-20,6.427168544444517e-41,2.326468908112713e-59,6.834363246243625e-39,1.116574534567256e-37,3.617645569950616e-14,6.130857092491298e-61,1.7518058287563499e-53,4.480477510752028e-53,1.3161358538336858e-51,1.1926250332463227e-24,2.0595723321763488e-68,8.392825717443541e-64,8.781151513917672e-71
5.1891208479113014e-20,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999999274,3.19435764413523e-47,3.437226675949269e-34,1.0316813937185377e-17,1.0316813937184713e-17,2.739249173394019e-19,1.3724694905228801e-36,1.7948708582730291e-35,7.158496162527581e-30,6.639482839191031e-31,2.52244803427867e-43,2.3935901016801927e-24,2.7392491733290857e-19,7.655374105035239e-34,3.142340045741237e-20,1.0358610798374239e-26,3.4750257112278966e-34,9.47568079520263e-34,8.479750050250485e-40,1.083764725238115e-38,7.214696911340919e-35,8.843600394007344e-49,2.7745550160937697e-44,3.142340045741236e-20,2.5843362040145894e-40,1.8725445796252583e-58,2.7480674044468623e-38,4.48969709456404e-37,7.260589360292088e-14,4.9346471606609076e-60,1.4128948641881381e-52,3.613667428866891e-52,1.0615112464124826e-50,2.3935901016901723e-24,3.324158047692459e-67,6.755276296783965e-63,1.4172813946397534e-69
1.0396322256268287e-19,0.6111870774285706,3.76,0.0,0.8983227083265958,0.9999999999998546,2.5632708359219334e-46,1.3784816308458525e-33,2.0669574961259902e-17,2.0669574961257236e-17,5.488042768994696e-19,5.504216509747733e-36,7.198234917034334e-35,1.567447094878514e-29,2.6627295766422544e-30,2.0241056892793316e-42,4.7955202385378485e-24,5.488042768864625e-19,3.0701474110917635e-33,6.295629011502478e-20,2.075331637154359e-26,1.393640734531708e-33,3.8001718090577685e-33,3.4007590362531865e-39,4.346381273825265e-38,2.893416146595907e-34,7.096432365691292e-48,1.1127206617600176e-43,6.295629011502475e-20,1.0364344050777923e-39,1.5025991030797708e-57,1.1020979409086774e-37,1.8005693413712252e-36,1.454647693983698e-13,3.959743573386069e-59,1.134913991342381e-51,2.9026941985322124e-51,8.526635605764052e-50,4.795520238577871e-24,5.341832743177693e-66,5.420683795808289e-62,2.277533153239782e-68
