Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321)
0.0,0.15663041303967457,3.76,0.0,0.5845504949051195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.81902188729098e-23,0.15663041303967454,3.76,0.0,0.5845504949051195,0.9999999999999996,7.434746087494895e-54,1.4379154050842415e-38,5.939072875881966e-20,5.939072875881964e-20,1.64472968786934e-21,2.1079871787554553e-40,2.7334246781322923e-39,4.493072463003311e-32,2.82026124271249e-35,3.812642750016512e-50,2.393630386655259e-26,1.6447296878244372e-21,7.421324575233742e-38,1.1173810926612696e-22,1.9716558795765895e-28,1.4462176088280152e-38,3.3244605873270283e-38,3.6615108770864883e-44,5.4432824143006936e-43,3.8743920554671585e-39,3.4906937264461934e-55,7.307322450644045e-49,1.1173810926612696e-22,5.03525056436026e-45,9.04030886690024e-65,2.854195106785902e-42,4.647779699925104e-41,3.278719154486014e-16,1.3949518127752706e-66,1.3338404143684912e-58,3.127445913253077e-58,2.73451945120375e-57,2.3936303866553068e-26,6.260005034031318e-75,2.874284743319234e-69,4.300742547930845e-78,6.5483376791638214e-80,1.596924641685885e-58,4.82780236950399e-80
1.6293261284414745e-22,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999999991,8.826530555077688e-53,8.685009046712829e-38,1.6629404052469506e-19,1.662940405246949e-19,4.60524312603415e-21,1.2732242559700081e-39,1.6509885055914268e-38,1.2589740745476093e-31,1.7034377905983407e-34,4.5263694728195944e-49,6.70216508263457e-26,4.605243125908422e-21,4.482480043441151e-37,3.1286670594515556e-22,5.520636464019978e-28,8.735154357321534e-38,2.0079741947455237e-37,2.2115525697603538e-43,3.287742578237618e-42,2.3401328015018348e-38,4.144151592036919e-54,4.413622760590515e-48,3.1286670594515556e-22,3.041291340873967e-44,1.0732654687677536e-63,1.7239338445139206e-41,2.8072589387531608e-40,9.18041363255528e-16,1.6560867921276806e-65,2.015699626803774e-57,4.726196264108059e-57,4.132405794659098e-56,6.702165082634859e-26,1.7654215796772933e-73,3.412350847269905e-68,1.2128782103972627e-76,1.8467359989270574e-78,1.895868934609478e-57,1.3615175130457062e-78
3.7241740078662275e-22,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999999979,8.665940039595642e-52,4.18145799799099e-37,3.801006640564458e-19,3.80100664056445e-19,1.052627000236376e-20,6.13002671584656e-39,7.948798964001545e-38,2.881962870668895e-31,8.201319693807866e-34,4.444016389419218e-48,1.5319234474592576e-25,1.0526270002076388e-20,2.1581211864779275e-36,7.151238993032126e-22,1.2618597637728861e-27,4.205600806472349e-37,9.66753138794697e-37,1.0647673630569196e-42,1.58290652607864e-41,1.1266732097293553e-37,4.068752607545673e-53,2.1249693692380856e-47,7.151238993032126e-22,1.4642508641165073e-43,1.05373840179779e-62,8.299999370761942e-41,1.3515743367358148e-39,2.0983802588671555e-15,1.625955832973493e-64,2.1683976743368903e-56,5.084226272257293e-56,4.4454535814328934e-55,1.5319234474593965e-25,3.840177552107832e-72,3.3502662968167915e-67,2.6382750333549837e-75,4.017054175267332e-77,1.861375362349054e-56,2.9615979835070155e-77
7.913869766715734e-22,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999999956,7.664925826388058e-51,1.8261525644632034e-36,8.077139111199474e-19,8.077139111199437e-19,2.236832375502295e-20,2.67714371704598e-38,3.471449341220611e-37,6.14256102141838e-31,3.5817317782448036e-33,3.9306821695569624e-47,3.2553373258506114e-25,2.236832375441229e-20,9.425082210546391e-36,1.5196382860193268e-21,2.6814520004435048e-27,1.836696363212078e-36,4.222064945905297e-36,4.65011881390157e-42,6.912968666161864e-41,4.920477910438183e-37,3.5987656042169456e-52,9.280299518369306e-47,1.5196382860193268e-21,6.394768216743103e-43,9.320196835078239e-62,3.6248277858542517e-40,5.90268021888003e-39,4.459058050081509e-15,1.4381395209042585e-63,1.9931310438149e-55,4.67327987925588e-55,4.0861377255447074e-54,3.2553373258512157e-25,7.119041987230078e-71,2.963272598980431e-66,4.890917276991324e-74,7.446941437125471e-76,1.6463654285924525e-55,5.490303536200184e-76
1.6293261284414746e-21,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999999908,6.442832003529786e-50,7.623827477812602e-36,1.6629404052469504e-18,1.6629404052469354e-18,4.6052431260341197e-20,1.1176548022000395e-37,1.4492617643390814e-36,1.2722239556945013e-30,1.4953025108861094e-32,3.3039752048802e-46,6.702165082632329e-25,4.6052431259083974e-20,3.934786289788515e-35,3.1286670594515552e-21,5.520636481500113e-27,7.667845762010629e-36,1.762629003400764e-35,1.9413330670328056e-41,2.886028336062213e-40,2.0542026678040908e-36,3.0249793322386067e-51,3.8743423687547614e-46,3.1286670594515552e-21,2.669689849228802e-42,7.83418702933524e-61,1.513294245830425e-39,2.4642527968779225e-38,9.180413632474615e-15,1.2088429217319004e-62,1.705165570250936e-54,3.998089326151912e-54,3.4957768521854045e-53,6.702165082634853e-25,1.2235814252955403e-69,2.490809170019012e-65,8.406237164383269e-73,1.2799389628658194e-74,1.3838693436906708e-54,9.436429000190758e-75
3.305204431981277e-21,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999999813,5.282222936046481e-49,3.114582284076044e-35,3.373393393500957e-18,3.3733933935008956e-18,9.342064627097715e-20,4.565984548873797e-37,5.920707189765286e-36,2.6115525564108897e-30,6.108798662164516e-32,2.708798490734627e-45,1.35958205961918e-24,9.342064626842689e-20,1.6074885882935786e-34,6.346724606316012e-21,1.1199005474474807e-26,3.1325651894296366e-35,7.200914610573614e-35,7.93097902021751e-41,1.1790367440671752e-39,8.392088167785163e-36,2.48006081812247e-50,1.5827952766815367e-45,6.346724606316012e-21,1.0906554132469074e-41,6.422939857251145e-60,6.182300770902036e-39,1.0067276741036392e-37,1.8623124797118414e-14,9.910824624575097e-62,1.40986386801472e-53,3.305697570329414e-53,2.8903759030829122e-52,1.3595820596202117e-24,2.0279964792099284e-68,2.042115845945667e-64,1.393272161570108e-71,2.121404964667786e-73,1.1345796978216487e-53,1.564018903311779e-73
6.656961039060882e-21,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999999625,4.2776810845511715e-48,1.2589639571296663e-34,6.794299370008969e-18,6.7942993700087224e-18,1.8815707629224698e-19,1.845643958551415e-36,2.3932445100429925e-35,5.383781332287906e-30,2.469274090534068e-31,2.1936552481402556e-44,2.738313162329491e-24,1.8815707628711093e-19,6.497725889193866e-34,1.2782839700044926e-20,2.2555743583870114e-26,1.266232934977279e-34,2.910724818312823e-34,3.205828525422078e-40,4.765855031276044e-39,3.392216215348143e-35,2.008417550434384e-49,6.397911594670518e-45,1.2782839700044926e-20,4.4086035611591544e-41,5.20146323687132e-59,2.498984818836417e-38,4.069354220554245e-37,3.750854712583636e-14,8.026042736601152e-61,1.1464778829882379e-52,2.688138364556169e-52,2.3504056822387354e-51,2.7383131623336594e-24,3.302066542611761e-67,1.653758357495957e-63,2.2685825328810082e-70,3.454158046614801e-72,9.188120552610198e-53,2.546599338688049e-72
1.3360474253220091e-20,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999999247,3.443049886791541e-47,5.062238700531357e-34,1.3636111323024993e-17,1.3636111323023998e-17,3.7762993633477833e-19,7.421253183645695e-36,9.623130915975671e-35,1.1302525181818824e-29,9.928842515416049e-31,1.7656445873964502e-43,5.495775367743775e-24,3.776299363244719e-19,2.6127070020069992e-33,2.5655069887502753e-20,4.526922029644442e-26,5.0914669406087535e-34,1.1703896476106818e-33,1.2890495503305275e-39,1.9163293470841364e-38,1.3639952206694663e-34,1.6165491729674317e-48,2.5725721285650966e-44,2.565506988750275e-20,1.772680102213383e-40,4.186590153462809e-58,1.0048308053250378e-37,1.6362694343510777e-36,7.527939178099364e-14,6.460057444578777e-60,9.246759466213985e-52,2.1680809755148553e-51,1.895687332018753e-50,5.4957753677605375e-24,5.329548712688807e-66,1.3310885998711593e-62,3.661501354305565e-69,5.5750250133508245e-71,7.395398769161945e-52,4.110221600031038e-71
2.676750068153851e-20,0.15663041303967457,3.76,0.0,0.5845504949051195,0.9999999999998492,2.7628306986046867e-46,2.030184133200617e-33,2.731973522905704e-17,2.7319735229053056e-17,7.565756564198073e-19,2.9762544508491684e-35,3.8593059022038916e-34,2.4637158071987568e-29,3.981909927015907e-30,1.4168185849731705e-42,1.1010699778546995e-23,7.565756563991652e-19,1.0478123639806218e-32,5.139953026241841e-20,9.069617569672775e-26,2.04190596461906e-33,4.693785956482318e-33,5.169665238363379e-39,7.685337781056022e-38,5.470230896552568e-34,1.2971789045953534e-47,1.0317164969958216e-43,5.139953026241839e-20,7.109240060543126e-40,3.359474973396128e-57,4.029820955771622e-37,6.562172270628248e-36,1.508210810821938e-13,5.183789259428262e-59,7.427500063519311e-51,1.7415205448354478e-50,1.5227191569768629e-49,1.1010699778614222e-23,8.564441705643279e-65,1.0681147724175422e-61,5.883934380712073e-68,8.958915530864159e-70,5.934341766304435e-51,6.605015770252126e-70
