Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089),C2HF2O3(622),CHFCF[Z](71),CHO2(135)
0.0,0.2811010056289304,3.76,0.0,0.8162798951192449,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.834977948369182e-22,0.2811010056289304,3.76,0.0,0.8162798951192449,0.9999999999999997,1.5002450163933724e-53,7.603980694403811e-39,4.6245187084057e-21,4.624518708405693e-21,2.6305124884722825e-22,2.8352897077269025e-41,3.740893647755705e-40,5.688266184411211e-34,5.848021531548398e-36,4.337555619875852e-50,1.3314909320693643e-28,2.630512488466654e-22,6.62601682260729e-38,2.7828719964841214e-24,4.884836632851009e-31,7.608506872856583e-39,1.7377023978649778e-38,4.6315002270671855e-46,2.0901204802271097e-44,6.205033998999749e-40,9.371401935178093e-56,6.804957553558059e-51,2.7828719964841214e-24,4.325087844970279e-47,4.77262334756725e-66,2.9921103318821726e-44,5.043635063913735e-43,3.708099242959784e-16,2.356331191072735e-69,4.293618812242036e-60,1.38097583987211e-59,2.270008352153994e-44,1.3314909319780026e-28,1.2979673278188293e-75,6.314760816086792e-73,4.50325942452242e-66,5.675958779588418e-68,5.937113072610513e-54,4.1254398094207384e-68,8.910325289367089e-80,7.548938644520731e-52,1.906875055312079e-65,3.4088018449455444e-45,5.901923770149343e-81,1.703455388034011e-58,7.980219486174118e-41,2.274899778565061e-62,1.6350242289569354e-76,6.84218089386173e-92,2.4341125786792798e-64,9.151059631029415e-39
1.3537938255433711e-21,0.2811010056289304,3.76,0.0,0.8162798951192449,0.999999999999999,1.7810908834627198e-52,4.592804339421332e-38,1.2948652383535959e-20,1.2948652383535921e-20,7.365434967722387e-22,1.7125149834844416e-40,2.259499763241443e-39,1.611662207452418e-33,3.5322050050552113e-35,5.149546031913308e-49,3.728174610090231e-28,7.365434967706629e-22,4.002114160854776e-37,7.792041590155539e-24,1.367754315525124e-30,4.595538151205493e-38,1.049572248310445e-37,2.797426137151106e-45,1.2624327700571738e-43,3.747840535394635e-39,1.1125728377443524e-54,4.1101943632129404e-50,7.792041590155539e-24,2.612353058364934e-46,5.666058439322055e-65,1.807234640546591e-43,3.046355578594281e-42,1.038267788025681e-15,2.7974363900658363e-68,6.48851668302962e-59,2.0869293497228317e-58,1.371085044701024e-43,3.7281746095384065e-28,3.6604732730628e-74,7.496884041150091e-72,5.346269588793038e-65,6.738498263127407e-67,7.048540639794629e-53,4.897722141764189e-67,2.8011734669097207e-78,4.559561585485039e-51,2.2638420656664648e-64,2.05891631433909e-44,1.3210627770759366e-79,2.022342236673312e-57,4.820052569649167e-40,3.437828522439327e-61,4.611029937256597e-75,3.541709891288735e-90,3.6784309288999e-63,5.52724001713189e-38
3.0943858869562768e-21,0.2811010056289304,3.76,0.0,0.8162798951192449,0.9999999999999977,1.7486855911096905e-51,2.2112375859347746e-37,2.959691973379648e-20,2.9596919733796305e-20,1.6835279926222575e-21,8.245022470330718e-40,1.087851872762854e-38,3.7731240887441266e-33,1.7006046613742422e-34,5.0558548305170497e-48,8.52154196731601e-28,1.6835279926186566e-21,1.926845692014159e-36,1.7810380777498377e-23,3.1262958533125356e-30,2.2125537986268697e-37,5.053238572991329e-37,1.346840266034853e-44,6.078070356500425e-43,1.8044238869073077e-38,1.0923306095643864e-53,1.97888165784581e-49,1.7810380777498377e-23,1.2577355453216022e-45,5.562969777241736e-64,8.701056846459735e-43,1.4666890765716907e-41,2.3731835154728533e-15,2.746539636387112e-67,6.980050136922215e-58,2.245022901284832e-57,6.601184288063988e-43,8.521541964659211e-28,7.962327183173155e-73,7.360485208102525e-71,5.248999185223399e-64,6.615897553488379e-66,6.920298997408239e-52,4.808612641920256e-66,6.249027784420809e-77,2.195235248569988e-50,2.2226535644716497e-63,9.912795764981362e-44,2.6109277856350226e-78,1.9855476002903794e-56,2.3206478265794313e-39,3.698259039459558e-60,1.0029997285990913e-73,1.5464491465669726e-88,3.95708813690706e-62,2.6611281406885375e-37
6.5755700097820884e-21,0.2811010056289304,3.76,0.0,0.8162798951192449,0.999999999999995,1.5466926021042187e-50,9.657055481915013e-37,6.289345443431752e-20,6.289345443431677e-20,3.577496984322286e-21,3.600817929082748e-39,4.75093493260319e-38,8.399210664404003e-33,7.426987345066134e-34,4.471846341845698e-47,1.8108276686503737e-27,3.577496984314639e-21,8.415041364710832e-36,3.784705915218405e-23,6.643379862116822e-30,9.662803728529667e-37,2.2068820452884946e-36,5.88200528841338e-44,2.6544530098884182e-42,7.880393178710879e-38,9.66154053909179e-53,8.642296106038523e-49,3.784705915218405e-23,5.492861563155732e-45,4.920383773312048e-63,3.799980122881612e-42,6.405416531021401e-41,5.043014970318263e-15,2.429283204898987e-66,6.415868624333216e-57,2.063562662530796e-56,2.882910607235752e-42,1.8108276674900803e-27,1.4760811409898104e-71,6.510265812756756e-70,4.642680336305774e-63,5.851686463404717e-65,6.120926093282726e-51,4.2531634260434505e-65,1.1703566559766876e-75,9.587191930330095e-50,1.965911907024311e-62,4.329178342956552e-43,4.646603302814246e-77,1.7561943668432086e-55,1.0134878747441106e-38,3.399337208326719e-59,1.8593924587317413e-72,5.7570424312225485e-87,3.637245744068705e-61,1.1621845731254269e-36
1.3537938255433711e-20,0.2811010056289304,3.76,0.0,0.8162798951192449,0.9999999999999897,1.3000883272922347e-49,4.0316305641928566e-36,1.2948652383535958e-19,1.2948652383535647e-19,7.365434967722306e-21,1.503270603279427e-38,1.9834218119981742e-37,1.8864035068029582e-32,3.1006210160266604e-33,3.758856299255465e-46,3.728174614382391e-27,7.365434967706583e-21,3.5131141193459995e-35,7.79204159015554e-23,1.3677551612643236e-29,4.034030343990184e-36,9.21329811347986e-36,2.4556214204251253e-43,1.1081818786164031e-41,3.289909026252744e-37,8.121106974595423e-52,3.607988506564927e-48,7.79204159015554e-23,2.293161575442207e-44,4.13587904349906e-62,1.586416899216056e-41,2.674135310752923e-40,1.0382677879813349e-14,2.041958909156205e-65,5.488910682219365e-56,1.7654212394884625e-55,1.2035584283122078e-41,3.7281746095383925e-27,2.5370062429033652e-70,5.47227069029934e-69,3.9024525651405875e-62,4.918695063051281e-64,5.145007194813856e-50,3.575040132028882e-64,2.021486862192951e-74,4.002482984837951e-49,1.6524674129321446e-61,1.8073467380782675e-42,7.837661349169483e-76,1.4761871839761994e-54,4.231112371569494e-38,2.908204548978153e-58,3.1958205597388187e-71,1.9833884067602905e-85,3.1117403112326813e-60,4.8518918162340114e-36
2.746267474673696e-20,0.2811010056289304,3.76,0.0,0.8162798951192449,0.999999999999979,1.0658909587477301e-48,1.6470526343475392e-35,2.626726626374437e-19,2.6267266263743094e-19,1.4941310934522206e-20,6.141350920578988e-38,8.102925276430009e-37,4.4644288884503906e-32,1.2667048558192552e-32,3.081737494627355e-45,7.562868513424308e-27,1.494131093449039e-20,1.4352217478437028e-34,1.580671294002981e-22,2.7745910045367456e-29,1.648033022689602e-35,3.76393290187124e-35,1.0032014752124752e-42,4.527284564991037e-41,1.3440351843050132e-36,6.658174154391086e-51,1.4739810357897686e-47,1.5806712940029807e-22,9.36831327604864e-44,3.390843530077083e-61,6.481030673871407e-41,1.0924715292703994e-39,2.1062003698020574e-14,1.674121283924916e-64,4.5383374959548955e-55,1.4596843957772398e-54,4.916928891100988e-41,7.562868493634994e-27,4.204901715448691e-69,4.486498135421689e-68,3.1994663891555065e-61,4.0326433877284444e-63,4.218187746460996e-49,2.931033895258414e-63,3.358720220275423e-73,1.635160482838802e-48,1.3547926229972993e-60,7.383601147278765e-42,1.287377511285378e-74,1.2102674408898242e-53,1.7285474615832386e-37,2.4045597598298476e-57,5.2968382074395927e-70,6.582142986949707e-84,2.5728470644850163e-59,1.9821561202028376e-35
5.531214772934345e-20,0.2811010056289304,3.76,0.0,0.8162798951192449,0.9999999999999577,8.631861334917617e-48,6.657650089162849e-35,5.290449402416118e-19,5.290449402415605e-19,3.009306286812143e-20,2.4824322347106256e-37,3.2753319512133935e-36,1.1560721655434428e-31,5.120223555902046e-32,2.4956709225337287e-44,1.5232256341819665e-26,3.009306286805769e-20,5.801395776997476e-34,3.183605563977835e-22,5.588268663750141e-29,6.66161297552714e-35,1.5214418590457075e-34,4.0551007610449995e-42,1.8300008062218091e-40,5.43280510763837e-36,5.391962055049657e-50,5.958067057116946e-47,3.183605563977834e-22,3.786822012758568e-43,2.7459930219127085e-60,2.6197362255792345e-40,4.4159445920053267e-39,4.242065533130324e-14,1.3557468206328193e-63,3.6905006804221883e-54,1.1869910989596468e-53,1.987501272712835e-40,1.52322562618281e-26,6.846592333025975e-68,3.6332825149914976e-67,2.591010833706331e-60,3.2657391687233906e-62,3.415997800842418e-48,2.3736272408801133e-62,5.475553353888143e-72,6.609706106027696e-48,1.0971461914733755e-59,2.9845696369593303e-41,2.0869260373066608e-73,9.801059519237397e-53,6.9870652106806105e-37,1.9553480626063847e-56,8.624527905199844e-69,2.1446954616842482e-82,2.092196504077008e-58,8.012191956868938e-35
1.1101109369455643e-19,0.2811010056289304,3.76,0.0,0.8162798951192449,0.999999999999915,6.947672957443558e-47,2.6770118195003672e-34,1.0617894954499485e-18,1.0617894954497416e-18,6.039656673531761e-20,9.981750841346635e-37,1.3169965720302888e-35,3.3514275204158482e-31,2.058819372266043e-31,2.0087330768288466e-43,3.05710321198565e-26,6.039656673519097e-20,2.332715726464004e-33,6.389474103927544e-22,1.121564787285114e-28,2.678605278625819e-34,6.117650799778125e-34,1.630538181131867e-41,7.35835275545813e-40,2.1845070393882572e-35,4.339920152003475e-49,2.3957125922384877e-46,6.389474103927541e-22,1.5226644763924845e-42,2.210214108523118e-59,1.0533844178537095e-39,1.7756318980333326e-38,8.513795858534144e-14,1.0912229891728403e-62,2.9765224961349927e-53,9.573513190942033e-53,7.991655204101222e-40,3.057103179821393e-26,1.1050427580323002e-66,2.9243818639176166e-66,2.085470931815506e-59,2.6285509958761417e-61,2.7494922149777544e-47,1.9105017048693235e-61,8.84302666733355e-71,2.657835077434346e-47,8.83078704458261e-59,1.2000823240885616e-40,3.3609554184839186e-72,7.888745373809057e-52,2.8094681909854053e-36,1.5770590497722211e-55,1.3920022810536237e-67,6.925091683672069e-81,1.687432275562397e-57,3.2216671465640837e-34
2.224089856249824e-19,0.2811010056289304,3.76,0.0,0.8162798951192449,0.9999999999998295,5.57506999940995e-46,1.0736014719452612e-33,2.1272786058666214e-18,2.1272786058657925e-18,1.2100357446970087e-19,4.003128537641525e-36,5.281745293997763e-35,1.0846525436062473e-30,8.256786512250328e-31,1.611881788421e-42,6.124858416091463e-26,1.2100357446945235e-19,9.355233395720718e-33,1.280121118382696e-21,2.2470501853749983e-28,1.0742405202818813e-33,2.4534515893300123e-33,6.53918738314063e-41,2.951028565309276e-39,8.760850272213673e-35,3.4825126033623497e-48,9.60787926903436e-46,1.280121118382695e-21,6.10656557955265e-42,1.773557673396356e-58,4.224542681898416e-39,7.121078078825624e-38,1.7057256504330933e-13,8.756377269825351e-62,2.3909047390546143e-52,7.689966409307058e-52,3.205011172363358e-39,6.124858287098404e-26,1.7757740425973058e-65,2.3466322865611047e-65,1.6734590844111477e-58,2.1092466338326926e-60,2.2062943451753273e-46,1.5330572997751417e-60,1.4214901803870445e-69,1.0659920103090647e-46,7.086150459719882e-58,4.812866866977539e-40,5.395098116245995e-71,6.330221346361933e-51,1.126722401121121e-35,1.2667795928991033e-54,2.236910296347667e-66,2.2260088415293486e-79,1.3554373702368259e-56,1.2920326180422979e-33
