grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_C2H3F2(63),Y_C2H3F2(64),Y_C2H2F3(66),Y_C2H2F3(67),Y_C2HF4(68),Y_C2HF2(71),Y_CF2CH(72),Y_CHF2(81),Y_S(128),Y_S(130),Y_CHFO2(136),Y_CHFO2(138),Y_CHO2(142),Y_CFO2(143),Y_CHF2O(146),Y_CF2O2(147),Y_CF2O2(152),Y_O2(176),Y_CHF2O(220),Y_S(252),Y_C2HF3(276),Y_S(286),Y_S(406),Y_CF3O2(416),Y_S(444),Y_S(467),Y_S(603),Y_S(899),Y_CF2O2(932),Y_S(962),Y_S(1007),Y_S(1017),Y_S(1096),Y_S(1175),Y_S(1224),Y_S(2126)
0.0,0.03581939931411364,298.0,1.3857594026609208,0.4919538385857121,0.0,0.3585996414977567,0.1494460228897251,8.117765804915057e-11,0.0,0.0,8.881058930231964e-15,4.966405914107393e-07,6.976880425767265e-15,6.520917219893622e-15,7.086076201235441e-11,2.484460799503033e-12,3.1919389641044405e-29,5.7393585397922406e-15,0.0,2.314110711651753e-10,0.0,4.8163100938120744e-14,0.0,8.189106222546207e-16,0.0,0.0,0.0,3.801971432308681e-14,5.880286565706906e-20,3.2289172861238626e-14,5.679578902230182e-14,2.854739980354249e-16,1.5973281673493306e-34,1.623882277643582e-30,3.762945163405786e-32,3.7198746347438656e-33,1.3172105278051246e-15,3.907614163519787e-15,2.493287718179711e-15,1.0866012993341932e-14,0.0,0.0,0.0,0.0,0.0,1.6760113900109433e-22,0.0,4.903342178853457e-40,1.5911497504556818e-33,2.1401679474678226e-15,0.0,1.1125513085923866e-29,3.5369414732779324e-17,4.98262510039192e-14,4.0131503129600925e-17,2.9953875837012744e-17,0.0,2.4886133101266193e-36,0.0,9.434096833433087e-17,5.856688619117508e-15,0.0,1.1610593758152933e-21,0.0,0.0,2.3697818510857453e-18,0.0,1.538709499531272e-28
0.008,0.03582053340240613,298.00002365647714,1.3857155291354053,0.49195180891044005,0.0,0.35860007414402073,0.14944560437967927,1.347353285619525e-09,0.0,0.0,8.960288009123967e-15,2.506054152995788e-06,1.1601690676269979e-13,1.6703221731217957e-14,1.1761944327973242e-09,5.485077443672398e-11,7.031296363402748e-28,1.9010169934002694e-13,0.0,3.930131716312361e-09,0.0,9.119374164926366e-13,3.8968179853310735e-16,2.1754133176421404e-22,0.0,0.0,3.866739632579545e-13,8.518966896769219e-13,1.8299080347373194e-18,2.1014727782846356e-13,4.034738544373196e-13,7.171837959529951e-16,5.225176938516511e-33,5.314278783384364e-29,1.280488211294243e-30,1.2657978351926033e-31,9.755380661753057e-23,3.907620594730784e-15,3.722517921630513e-22,0.0,0.0,1.2508338349564176e-14,0.0,0.0,2.772952255102709e-29,2.525583206120396e-21,0.0,1.8522331728009868e-38,7.308688418560212e-32,4.400491752484993e-18,0.0,4.958795976880882e-28,3.536953226126368e-17,4.982639380033706e-14,1.788858901705828e-15,1.2578360137482036e-15,0.0,1.0288991268224334e-34,0.0,4.575407984104696e-15,5.856705971818566e-15,0.0,3.9604543809409964e-20,0.0,0.0,2.9688520654806632e-18,0.0,7.751005008174995e-27
0.012,0.03582283538707669,298.00018593282493,1.385626482714658,0.4919476968443128,0.0,0.35860095335472125,0.1494447440282645,9.386664981734028e-09,8.91089357334415e-21,6.106401576268687e-25,8.682736910654682e-15,6.559716334069932e-06,9.117184195996647e-13,1.0696201228032532e-13,8.194735386001495e-09,4.949134253121041e-10,5.815412932499534e-27,1.7504204932016134e-12,0.0,2.7949344927311148e-08,1.5273911196503703e-25,9.826549947040597e-12,3.6569775893158274e-15,1.187337882851172e-28,0.0,0.0,5.429142576286174e-12,6.088306179275098e-12,3.572857742824981e-18,2.198933719233799e-12,4.131205963591784e-12,5.984913381050774e-15,4.574221810967244e-31,4.6519674992545245e-27,1.1674097214921262e-28,1.1540314235439014e-29,5.561042304408677e-29,3.907634128686421e-15,1.1376421451883666e-28,9.057617560261498e-22,0.0,1.798918603240956e-13,0.0,0.0,3.6134807453832706e-30,5.176055143485201e-21,3.9106841766212566e-36,1.7381354803271963e-37,7.309290487193848e-32,4.400553167818415e-18,1.167090076529202e-39,4.1378444877031e-27,3.536996473190115e-17,4.982668354483009e-14,1.7928975312799012e-15,1.260307621479586e-15,0.0,3.4870000665852874e-33,0.0,4.575501849813012e-15,5.856745057017386e-15,0.0,1.0279957845329198e-24,0.0,0.0,1.0789539531168606e-17,0.0,2.09034589655412e-31
0.016,0.035829924434146176,298.0017234976079,1.3853523328219501,0.4919351179001997,0.0,0.3586036641187969,0.14944200232623142,8.013065865666924e-08,1.042592587168745e-20,1.6763970684905388e-24,8.309734286061937e-15,1.8815640197737937e-05,7.889928680214322e-12,1.254180385034252e-12,6.996046107563136e-08,5.572786694447112e-09,6.262671798185955e-26,1.987929983805496e-11,4.099419440574524e-27,2.4394603683282723e-07,4.31398737273651e-24,1.3547893323434611e-10,3.924960461486991e-14,7.933317197393544e-32,1.5346567550846301e-13,0.0,9.24216800918174e-11,5.2758535340603593e-11,6.671473744270969e-18,3.251526240582879e-11,5.882227263464744e-11,9.224728942772597e-14,5.642796698782162e-29,5.73840445263037e-25,1.4955712065484797e-26,1.4784502712564585e-27,5.763776869470789e-27,3.907681773902881e-15,2.4248723013342737e-34,9.686296215032254e-22,3.985726380239499e-14,3.2101731213797164e-12,0.0,0.0,1.0196005563923925e-28,1.2478228826051514e-20,4.182947167488011e-36,1.865355313777947e-36,7.31532015470075e-32,4.401336747644554e-18,1.6078727589236821e-38,6.376507406287548e-26,3.5375011468303666e-17,4.98275804608271e-14,1.8844959288040294e-15,1.3136849923615287e-15,0.0,5.272261519296737e-32,0.0,4.575651485097015e-15,5.85694008727567e-15,0.0,1.8805974010871785e-26,0.0,0.0,1.4953654018538258e-16,0.0,6.182378145876092e-33
0.018000000000000002,0.03583930736592596,298.0073746376968,1.3849896398504564,0.4919188093578044,0.0,0.35860723823850166,0.1494380732568686,3.2243508955066363e-07,1.3520415904788225e-20,2.9364544318981234e-24,7.993562265911982e-15,3.4245185167178196e-05,3.179725713629114e-11,6.764004972652544e-12,2.8152819861235335e-07,2.81809073395792e-08,3.0622058230180474e-25,1.0113620770555163e-10,3.187357823646885e-26,9.993789079525315e-07,5.235937296593826e-23,8.153589174845513e-10,1.891090924736249e-13,4.7588787397756815e-31,1.174418434201268e-12,0.0,6.661057227102627e-10,2.145840163992683e-10,8.494255619333866e-18,2.0960798905982561e-10,3.6656460076168853e-10,6.32540155653171e-13,1.4177633458902615e-27,1.4415079700260676e-23,3.8865406237761513e-25,3.842220709986872e-26,1.593647599352818e-25,3.9077769068442246e-15,6.352486409548707e-34,1.119153223623642e-21,4.0069256375416065e-13,2.4161691560830527e-11,0.0,0.0,1.2371443295392523e-27,2.966903701981948e-20,4.836476806348205e-36,8.989383320936312e-36,7.339822947561648e-32,4.40439900629951e-18,1.317060193127667e-37,4.371353532441496e-25,3.541158709414109e-17,4.982881731203129e-14,2.676502290797156e-15,1.7537765184352898e-15,1.466730775374288e-34,3.280027595351752e-31,0.0,4.576191497701969e-15,5.857734457885073e-15,0.0,1.1312325537330106e-25,0.0,0.0,1.089964774878508e-15,0.0,2.4630825664686658e-32
0.02,0.03586042910629041,298.03691236705265,1.384173883088337,0.4918838995739354,0.0,0.35861508616988413,0.14942792946455455,1.509874621705628e-06,3.583935327718248e-20,5.187908969528289e-24,7.372703211713362e-15,6.529388118931959e-05,1.4912273449313082e-10,4.374305119047885e-11,1.3184190189723721e-06,1.699398560726058e-07,1.7151156487494625e-24,6.138768939765925e-10,3.678488873576972e-25,4.774332985797487e-06,9.909884973433464e-22,5.94729077685636e-09,1.0805372381852767e-12,4.017665254819961e-30,9.996798506815893e-12,0.0,5.902040346970558e-09,1.016770941286417e-09,1.0005816995816935e-17,1.648058051277944e-09,2.7781838504376034e-09,5.311375125519048e-12,5.049106391220521e-26,5.128515833981036e-22,1.4347851158273388e-23,1.4187560339033923e-24,6.275987351130314e-24,3.908225283573798e-15,1.2514432094071294e-32,2.286472430557498e-21,4.070459849023108e-12,2.243050520382017e-10,0.0,1.702318709690543e-32,2.3401025343197743e-26,1.4303994738878476e-19,9.920826527810818e-36,5.146390116307194e-35,7.484419831936494e-32,4.4207451660204786e-18,2.0123091603630902e-36,3.669304912361537e-24,3.5812689596368526e-17,4.9832178169817475e-14,1.2071458947582315e-14,6.740427193735937e-15,2.3715404221455394e-33,2.377178234516788e-30,0.0,4.5816524871277805e-15,5.86465916776888e-15,0.0,7.933876230615251e-25,0.0,0.0,9.902986675620438e-15,3.0187035042703018e-15,1.5757130746045573e-31
0.020999999999999998,0.035883391116804074,298.0984070401878,1.3832881415823555,0.4918494973590961,0.0,0.35862298660707453,0.14941480688696393,3.840198436887512e-06,1.470050270832926e-19,6.906499881049564e-24,6.789516667245947e-15,9.260734320205014e-05,3.7996747874596144e-10,1.4119860762366096e-10,3.3535014065140046e-06,5.209315218601916e-07,4.876618666413945e-24,1.8910578009375257e-09,1.7358879049478557e-24,1.231914374685323e-05,6.1946809534186854e-21,2.1112470694931183e-08,3.1811559562909115e-12,2.718550527157856e-29,3.968280198397627e-11,1.3373815726867753e-24,2.447316131597531e-08,2.608080163336556e-09,1.0092857523705139e-17,6.208467954876724e-09,1.0165261310501557e-08,2.108574558429812e-11,4.7261011129836925e-25,4.790407860842315e-21,1.3804440224558568e-22,1.365687864697247e-23,6.348101358465538e-23,3.9093623142750294e-15,1.8966817472522105e-31,8.225698009731332e-21,1.85659068616545e-11,9.66132411554231e-10,0.0,1.4114551983999352e-31,1.4618979012663329e-25,4.19614979796018e-19,3.5958554326279804e-35,1.5222511525466862e-34,7.831438400462229e-32,4.455198826887299e-18,1.756011521466256e-35,1.4565563367536005e-23,3.753640808780143e-17,4.983803197951252e-14,5.4941537939822476e-14,2.854871493914219e-14,3.2103193844773e-32,8.235731392375207e-30,0.0,4.607482175225884e-15,5.890818990080144e-15,0.0,2.6811327848875126e-24,2.60319219904393e-14,1.784771176631517e-22,4.196889626887967e-14,1.5237954791374938e-14,5.25983277901788e-31
0.022,0.03593010025031192,298.2892212116255,1.3814898673632048,0.4917885036940149,0.0,0.35863678567547486,0.14938387735174521,1.0712034888140625e-05,1.124110306878417e-18,9.908831959286199e-24,5.823591910754638e-15,0.00013374258301774124,1.0629256904543265e-09,5.157147077580019e-10,9.35573137342318e-06,1.7962097602853915e-06,1.470250913647014e-23,6.556747096891469e-09,9.638761897086709e-24,3.4931840107936486e-05,4.677623065827999e-20,8.589448371528415e-08,1.0481645469924754e-11,5.956220318880713e-28,1.8270747386623446e-10,1.1530326125063625e-23,1.1845134811842624e-07,7.346056837402268e-09,8.863703623914763e-18,2.699807508026273e-08,4.2785141917794666e-08,9.712783287112233e-11,5.6332650567152164e-24,5.673035771421117e-20,1.6913969458724582e-21,1.6758486081527756e-22,8.178077614729626e-22,3.914074209214081e-15,5.3315532857788326e-30,6.076539656696134e-20,9.973773653052545e-11,4.877897450638561e-09,0.0,1.1145191619524016e-30,1.1025843003153505e-24,1.4546488680215446e-18,2.714888618227769e-34,5.093119979613764e-34,9.106366567189366e-32,4.5640298541831136e-18,3.393830224972661e-34,6.712819098280685e-23,4.800166949051843e-17,4.986099281800674e-14,3.29860870592045e-13,1.6292918400544217e-13,1.0372532651379466e-30,3.062878289871345e-29,0.0,4.785043720801462e-15,6.034397143876279e-15,0.0,9.727528486180779e-24,3.1768525493965864e-13,2.2071494094886516e-21,2.08150424790777e-13,8.326519615717411e-14,1.8970383040410382e-30
0.023,0.0360378649844138,298.8793108621019,1.3773587724835195,0.49167123508731775,0.0,0.358660675968821,0.14930408992995092,3.09469001429268e-05,1.0647688663217472e-17,2.932969716202182e-23,4.359721368865298e-15,0.0001956413473678466,3.0877703787053867e-09,1.9486887943153152e-09,2.703719849454665e-05,6.4233966100895945e-06,4.4618255131382796e-23,2.3575853845746643e-08,5.501841082895379e-23,0.00010260895148850306,3.710915238326887e-19,3.6222081720104753e-07,3.585888627441059e-11,2.2874101883145456e-26,8.707499987036111e-10,9.289234092577668e-23,5.932969992187253e-07,2.1435804775959575e-08,5.9295231233294934e-18,1.2163233496118483e-07,1.866177838875357e-07,4.63130159202471e-10,7.412129129846164e-23,7.316752646419888e-19,2.2630024668254844e-20,2.2526783549678233e-21,1.1318900570093397e-20,3.934293816681021e-15,1.9102471528107544e-28,5.776939342803114e-19,5.535286040437768e-10,2.5473485849175383e-08,0.0,9.031493832300367e-30,8.725590205836224e-24,4.8792112513986956e-18,2.7624895480800314e-33,1.8290949830480112e-33,1.417278919250543e-31,4.917253442855242e-18,1.0316936467299601e-32,3.210045552310871e-22,1.114641903221211e-16,4.997041925564712e-14,2.0846010934105872e-12,9.89659754629379e-13,4.5448402219591454e-29,1.025732310886456e-28,0.0,6.011714054114409e-15,6.8251651988614194e-15,0.0,3.2105895036219404e-23,2.325090242936593e-12,1.6836558659697002e-20,1.068060418072884e-12,4.614494262269306e-13,6.2141034243916355e-30
0.024,0.03631460972636591,300.6922059502601,1.366862262415766,0.49142621758011856,0.0,0.35869632051195693,0.14908629687220193,9.024168479260694e-05,1.0512910626606183e-16,3.350300213621781e-22,2.6087759034968623e-15,0.0002884886145360007,9.124315305883607e-09,7.368714832939158e-09,7.890897530443446e-05,2.313593466912521e-05,2.596236220165073e-22,8.535260399786335e-08,2.959578443370106e-22,0.0003041979443153271,2.8027420188175285e-18,1.535194197111463e-06,1.2408138141516246e-10,9.909697885008156e-25,4.164300476471534e-09,7.637334638497518e-22,2.980579214011294e-06,6.316256590827916e-08,2.4986160345131274e-18,5.503267298637082e-07,8.177822074888048e-07,2.2162765628603067e-09,1.076548708135794e-21,9.998979996584152e-18,3.2354777823839155e-19,3.266790520465369e-20,1.5971051181722457e-19,4.021887016515719e-15,7.695244394550141e-27,5.848421897590857e-18,3.076795952916458e-09,1.3336670419250337e-07,0.0,7.177187536090231e-29,6.555428697133615e-23,1.4801445185166088e-17,3.453393905046754e-32,7.362272796224986e-33,3.858339791970123e-31,6.1725104534704435e-18,3.6888742573453586e-31,1.5544840291108925e-21,4.94430106822951e-16,5.0534072778128774e-14,1.3146608046761455e-11,6.049714623325541e-12,2.226562243312519e-27,2.7269529625593665e-28,0.0,1.4456481449487824e-14,1.1164769831293304e-14,0.0,8.708123132553223e-23,1.6069561030270078e-11,1.3165212521374537e-19,5.495379457208422e-12,2.553485817132154e-12,1.6528019340417157e-29
