Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143)
0.0,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,-1.7822867454643545e-75,3.029346081196518e-51,2.4326039096331992e-18,1.171380484754324e-18,2.4326039096331372e-18,1.1713804825268549e-18,1.7334910909883906e-32,2.2726008710802932e-31,2.2272863544282093e-27,2.2272241320396525e-27
3.0000000000000002e-15,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,1.5459775478731408e-73,1.1023947359210406e-49,6.0070423074615715e-18,2.8925926256178205e-18,6.007042307461405e-18,2.892592614435018e-18,8.703286756197603e-32,1.1409332998591559e-30,1.118174544420695e-26,1.1181574199948277e-26
7e-15,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,1.2814736256155142e-71,2.5323464891717444e-48,1.5737457945994367e-17,7.578114564635115e-18,1.5737457945993806e-17,7.578114495810877e-18,5.357472772454004e-31,7.021722547348504e-30,6.881725085306901e-26,6.88166799126836e-26
1.5e-14,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,1.2376567934403725e-69,5.395688878368431e-47,3.5198289223059964e-17,1.6949158442669702e-17,3.519828922305816e-17,1.6949158116004598e-17,2.5437516456962492e-30,3.332666524758673e-29,3.266310431728375e-25,3.2662923227746413e-25
3.1e-14,0.18138240816916681,3.76,0.0,0.9756803565501532,1.0,9.593266802347109e-68,9.904905606159518e-46,7.411995177719115e-17,3.5691246198738873e-17,7.41199517771851e-17,3.569124478616009e-17,1.1007484552473308e-29,1.441039198042834e-28,1.412429732851928e-24,1.4124236840805276e-24
6.300000000000001e-14,0.18138240816916681,3.76,0.0,0.9756803565501531,0.9999999999999999,6.735190391239742e-66,1.6935937828696776e-44,1.519632768854535e-16,7.31754217108772e-17,1.51963276885432e-16,7.317541584554332e-17,4.576921375582562e-29,5.982792144132159e-28,5.864711364618226e-24,5.864689842509663e-24
1.2700000000000001e-13,0.18138240816916681,3.76,0.0,0.9756803565501528,0.9999999999999998,4.511107223132826e-64,2.799572367586298e-43,3.076499271019782e-16,1.4814377273515388e-16,3.07649927101898e-16,1.4814374884060008e-16,1.8697651421657223e-28,2.436723579537521e-27,2.3892010295764932e-23,2.3891930110874334e-23
2.55e-13,0.18138240816916681,3.76,0.0,0.9756803565501524,0.9999999999999994,2.9529337866950314e-62,4.5522841146477164e-42,6.190232275350273e-16,2.9808047478370703e-16,6.190232275347211e-16,2.980803783358834e-16,7.588984702554652e-28,9.830875089969795e-27,9.643754009208656e-23,9.64372339110622e-23
5.11e-13,0.18138240816916681,3.76,0.0,0.9756803565501515,0.9999999999999988,1.911206388029951e-60,7.342473129250382e-41,1.2417698284011244e-15,5.979538788808131e-16,1.2417698283999492e-15,5.979534913472008e-16,3.0829106231585777e-27,3.9463372256986366e-26,3.8749224152492398e-22,3.8749106622023216e-22
1e-12,0.18138240816916684,3.76,0.0,0.9756803565501497,0.9999999999999977,1.175642267066052e-58,1.1298306656688751e-39,2.4313131402117515e-15,1.1707589359256745e-15,2.431313140207456e-15,1.1707574346869165e-15,1.2199338209384433e-26,1.5258624332717385e-25,1.5010782676594246e-21,1.5010739727199518e-21
