Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13)
0.0,0.25182957220617497,3.76,0.0,0.8993497241277353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7696783101375286e-18,0.2518295722061749,3.76,0.0,0.8993497241277351,1.0,-6.941611532253003e-79,4.345003620270355e-53,1.8197053721506695e-17,1.4024573874405003e-16,1.8197053721060948e-17,1.4024573874246652e-16,6.654546277709466e-33,9.354707021599261e-32,2.0492571342682523e-27,1.5834196427425855e-27,2.009364700497078e-29,0.0
7.75509926838508e-18,0.25182957220617497,3.76,0.0,0.8993497241277348,1.0,2.412363430028551e-77,1.2048767655672114e-51,5.0951750420153617e-17,3.926880684833399e-16,5.095175041897039e-17,3.926880684737755e-16,4.0193461558963037e-32,5.650242993446343e-31,1.0868449540637348e-26,9.563854642063656e-27,1.213656278961363e-28,0.0
1.7725941184880183e-17,0.25182957220617497,3.76,0.0,0.8993497241277343,0.9999999999999999,2.392860662540882e-75,2.515615949456398e-50,1.16461143817187e-16,8.975727279619193e-16,1.1646114381478822e-16,8.975727279158707e-16,1.9351423637975882e-31,2.7203487304816524e-30,4.902895261127823e-26,4.604584320943101e-26,5.84323254696243e-28,0.0
3.7667625017870386e-17,0.251829572206175,3.76,0.0,0.8993497241277332,0.9999999999999998,1.8481176459105996e-73,4.558357706408262e-49,2.474799306102119e-16,1.9073420469190765e-15,2.474799306064197e-16,1.90734204671797e-15,8.451276937167568e-31,1.1880477179637151e-29,2.0743843177743244e-25,2.0109429461256676e-25,2.5518931674787813e-27,0.0
7.75509926838508e-17,0.25182957220617513,3.76,0.0,0.8993497241277308,0.9999999999999996,1.2946856517198593e-71,7.744791047290549e-48,5.095175041920942e-16,3.926880684833383e-15,5.095175041896657e-16,3.9268806839938e-15,3.528243284470259e-30,4.9598649988374536e-29,8.52611282155324e-25,8.395290944404448e-25,1.065365162266294e-26,0.0
1.5731772801581162e-16,0.25182957220617536,3.76,0.0,0.8993497241277263,0.999999999999999,8.661917950415776e-70,1.2762708866057038e-46,1.0335926513391892e-15,7.965957960661966e-15,1.0335926513560906e-15,7.965957957232e-15,1.4414037532676238e-29,2.026266397507639e-28,3.456372550662187e-24,3.429750281766644e-24,4.3523642994625863e-26,0.0
3.168511986797333e-16,0.25182957220617563,3.76,0.0,0.8993497241277172,0.999999999999998,5.666852605591989e-68,2.0721148523277316e-45,2.0817429455667e-15,1.6044112512319014e-14,2.0817429456886713e-15,1.604411249845454e-14,5.826394519489801e-29,8.190490398809525e-28,1.3917557355230218e-23,1.3863599003772956e-23,1.759295231298763e-25,0.0
6.359181400075766e-16,0.25182957220617636,3.76,0.0,0.899349724127699,0.9999999999999959,3.6666914738944213e-66,3.3396085559826715e-44,4.178043533755006e-15,3.220042161563265e-14,4.178043534352757e-15,3.22004215598842e-14,2.3427757237415255e-28,3.293358274770232e-27,5.585457600698334e-23,5.574492181057834e-23,7.0740486932524505e-25,0.0
1.2740520226632633e-15,0.25182957220617785,3.76,0.0,0.8993497241276625,0.9999999999999917,2.359528637431826e-64,5.36281747997292e-43,8.370644709064749e-15,6.451303982225804e-14,8.370644711676619e-15,6.451303959868184e-14,9.395643556758495e-28,1.3207824500742547e-26,2.2378720926015654e-22,2.235620686623769e-22,2.8370098762920082e-24,0.0
