Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6)
0.0,0.4512776060402667,3.76,0.0,0.6623679504014137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.4512776060402667,3.76,0.0,0.6623679504014137,1.0,1.23287622658776e-38,1.2488265225222512e-29,6.410846647098057e-19,2.507838923730055e-19,6.410846650246795e-19,2.5078389218210125e-19,5.652360621235905e-34,7.405257807296279e-33,1.9091530633153862e-28,1.9089628097906924e-28,3.024043341964322e-28,3.0118093472021056e-37,3.0118092852290978e-37,6.627181956149254e-38,1.2488264947741942e-29,2.1630007774712893e-30
3.0000000000000002e-15,0.4512776060402667,3.76,0.0,0.6623679504014137,1.0,1.041654607849768e-37,6.269618868825002e-29,1.5830866202147946e-18,6.192826730027281e-19,1.5830866217956357e-18,6.192826720443105e-19,2.8377615880924712e-33,3.7177363849308147e-32,9.584259673627694e-28,9.58377245840489e-28,1.5181931870262756e-27,2.5446715679247944e-36,2.5446712492309678e-36,5.599074193372675e-37,6.269618726853535e-29,5.3412884395720015e-30
7e-15,0.4512776060402667,3.76,0.0,0.6623679504014137,1.0,1.627899834649786e-36,3.858619093961732e-28,4.147425272164939e-18,1.62241824249475e-18,4.1474252818943386e-18,1.6224182365961983e-18,1.746599327397372e-32,2.288057930065087e-31,5.8984452166644275e-27,5.898305453053726e-27,9.34367674604839e-27,3.976817619577693e-35,3.9768156892410747e-35,8.749941096643491e-36,3.8586190003644607e-28,1.399329982977976e-29
1.5e-14,0.4512776060402667,3.76,0.0,0.6623679504014137,1.0,1.6092305671252186e-35,1.831442326865739e-27,9.276102555912103e-18,3.628689381478794e-18,9.2761026020917e-18,3.628689353482101e-18,8.290909182111385e-32,1.0859858512759629e-30,2.799588913760741e-26,2.7995523467009333e-26,4.434852100618822e-26,3.931210181696845e-34,3.931206111450202e-34,8.649492861143752e-35,1.8314422771669248e-27,3.129735841543841e-29
3.1e-14,0.4512776060402667,3.76,0.0,0.6623679504014137,1.0,1.411874761676175e-34,7.91959907380975e-27,1.9533457042793923e-17,7.641231659446882e-18,1.9533457242486246e-17,7.64123153838242e-18,3.5859659903673394e-31,4.6959755764393884e-30,1.2106039767124361e-25,1.210594040725827e-25,1.9177371692371553e-25,3.449087056963273e-33,3.449079798235892e-33,7.588678658826985e-34,7.919598813759912e-27,6.590570114293796e-29
6.300000000000001e-14,0.4512776060402667,3.76,0.0,0.6623679504014137,1.0,1.1800321381631161e-33,3.28838962780373e-26,4.004816569410757e-17,1.566631621538306e-17,4.004816652327465e-17,1.5666315712697114e-17,1.4896149800996125e-30,1.949796796538914e-29,5.026678895246455e-25,5.026649290307391e-25,7.962861289786831e-25,2.882715601044207e-32,2.8827034027766746e-32,6.34253175354751e-33,3.288389482390124e-26,1.351239475043119e-28
1.2700000000000001e-13,0.4512776060402667,3.76,0.0,0.6623679504014136,1.0,9.644249863346509e-33,1.3396442602641037e-25,8.107758170693495e-17,3.171648532725541e-17,8.107758508484865e-17,3.171648327938276e-17,6.073729750586778e-30,7.942596106975365e-29,2.0477967085289273e-24,2.0477869174259206e-24,3.2439589590156537e-24,2.35600593308626e-31,2.3559859531723268e-31,5.183661947617796e-32,1.339644170530232e-25,2.7357195330520826e-28
2.55e-13,0.4512776060402665,3.76,0.0,0.6623679504014135,0.9999999999999999,7.797408835993802e-32,5.40733230871303e-25,1.631364085733909e-16,6.38168235510001e-17,1.6313642220798559e-16,6.381681528497938e-17,2.455830018431242e-29,3.205456417814269e-28,8.265709176949998e-24,8.265673716057473e-24,1.3093896043176894e-23,1.9048384923404574e-30,1.904806156348176e-30,4.191005151741577e-31,5.407331700347698e-25,5.505561728325268e-28
5.11e-13,0.4512776060402667,3.76,0.0,0.6623679504014133,0.9999999999999998,6.270817011337164e-31,2.1727018538614036e-24,3.2725404166951377e-16,1.2801749999848947e-16,3.27254096454215e-16,1.2801746678507643e-16,9.901691595498205e-29,1.2875812086604657e-27,3.3212149349205613e-23,3.3212011144076186e-23,5.2612131110883086e-23,1.5319049991412903e-29,1.5318529684211733e-29,3.3704802681679286e-30,2.1727014115974653e-24,1.1052146883605045e-27
1e-12,0.4512776060402667,3.76,0.0,0.6623679504014128,0.9999999999999994,4.832047796209642e-30,8.41667939316269e-24,6.407442854243438e-16,2.50650823368889e-16,6.407444976509467e-16,2.5065069470578e-16,3.8617654166575487e-28,4.98486969296495e-27,1.2865817650436624e-22,1.2865761990811803e-22,2.0381043003606378e-22,1.1804256410397369e-28,1.1803456761718648e-28,2.597159627888109e-29,8.416676165052352e-24,2.1699121849988612e-27
1.023e-12,0.4512776060402667,3.76,0.0,0.6623679504014128,0.9999999999999994,5.0298273875935815e-30,8.710363408303649e-24,6.554892253146528e-16,2.5641885289346813e-16,6.554894449464985e-16,2.564187197409051e-16,3.9968302712863375e-28,5.158770787318739e-27,1.3314745794520202e-22,1.3314688167002592e-22,2.1092200646812748e-22,1.2287414043237633e-28,1.228657923052405e-28,2.7034634455254104e-29,8.710360049161682e-24,2.2199899813642645e-27
2.047e-12,0.4512776060402667,3.76,0.0,0.6623679504014119,0.9999999999999988,4.029135241085449e-29,3.488058579310559e-23,1.311959262416902e-15,5.132215586834251e-16,1.3119601419303784e-15,5.13221025475257e-16,1.6223081030081168e-27,2.0633127890240265e-26,5.331875266173713e-22,5.331849281729095e-22,8.446350710646566e-22,9.842800171920991e-28,9.84146268304967e-28,2.165603232701015e-28,3.4880559638389205e-23,4.4929572297507414e-27
4.095e-12,0.4512776060402667,3.76,0.0,0.6623679504014102,0.9999999999999974,3.22541864541689e-28,1.3960064400266246e-22,2.6248980158724688e-15,1.026826970263339e-15,2.6249015358955124e-15,1.0268248362359874e-15,6.666622339544759e-27,8.237834771783966e-26,2.1339433776059983e-21,2.1339304250930745e-21,3.3804319997489364e-21,7.879374426820399e-27,7.877233229543227e-27,1.7336141489607024e-27,1.396004376441136e-22,9.38522675116182e-27
8.191e-12,0.45127760604026684,3.76,0.0,0.6623679504014065,0.9999999999999948,2.5811798854572357e-27,5.585593448675126e-22,5.250770239813346e-15,2.0540377934231867e-15,5.2507843238162256e-15,2.0540292549355395e-15,2.805493814392624e-26,3.28012452895449e-25,8.538141194834267e-21,8.53806849052125e-21,1.352548940687263e-20,6.305529546506032e-26,6.302103347590093e-26,1.3873411202473497e-26,5.585577055335853e-22,2.193644422776937e-26
1e-11,0.45127760604026695,3.76,0.0,0.6623679504014048,0.9999999999999937,6.5718554533805e-27,9.286607789421573e-22,6.410483066841457e-15,2.5077058547260545e-15,6.410506482830126e-15,2.5076916586684703e-15,4.9051336119350204e-26,5.425759084456585e-25,1.4195463234564246e-20,1.4195305266635736e-20,2.248741758052914e-20,1.6054176341340337e-25,1.6039405638105416e-25,3.5322473286946813e-26,9.286566157845759e-22,3.2363747391414055e-26
1.6383e-11,0.45127760604026695,3.76,0.0,0.6623679504013992,0.9999999999999896,2.0652829555124116e-26,2.234552129798131e-21,1.0502493556018034e-14,4.1084594397433005e-15,1.0502549899627099e-14,4.108425281126899e-15,1.2313647060090413e-25,1.2996563599531144e-24,3.415714735816649e-20,3.4156688540233714e-20,5.410930123583566e-20,5.045197208010613e-25,5.039717264770149e-25,1.110048189393476e-25,2.2345390614076126e-21,6.915616093123936e-26
3.2767e-11,0.45127760604026734,3.76,0.0,0.6623679504013845,0.999999999999979,1.6523636379259868e-25,8.938847594696408e-21,2.1005855663353443e-14,8.217302732390588e-15,2.100608105118786e-14,8.217166089317764e-15,5.774916488561618e-25,5.101019625712256e-24,1.36636530072817e-19,1.3663334914594608e-19,2.164504555001757e-19,4.036405599691095e-24,4.027646302854487e-24,8.881012418401971e-25,8.938743234703606e-21,3.404670463347417e-25
6.5535e-11,0.45127760604026795,3.76,0.0,0.6623679504013553,0.999999999999958,1.3219484584927542e-24,3.575674498475488e-20,4.2012241790845303e-14,1.643498931779934e-14,4.201314335455534e-14,1.6434442734044883e-14,2.954641670898017e-24,1.9661047048566823e-23,5.465521992002339e-19,5.465287076568731e-19,8.6581682718741815e-19,3.229125021920617e-23,3.215139459079582e-23,7.104941770524182e-24,3.5755910884913875e-20,2.2977577054658823e-24
9.999999999999999e-11,0.45127760604026934,3.76,0.0,0.6623679504013247,0.9999999999999359,6.188526565161733e-24,9.21712818213045e-20,6.410580244009587e-14,2.5078256169531147e-14,6.410812633703947e-14,2.5076847261913084e-14,1.0067729170920676e-23,4.785194046713297e-23,1.4088031573303314e-18,1.4086973048597137e-18,2.231768298156186e-18,1.5115542337777653e-22,1.499173083091524e-22,3.325934956488963e-23,9.216737909011145e-20,1.0307206206965635e-23
1.31071e-10,0.45127760604026934,3.76,0.0,0.6623679504012969,0.9999999999999161,1.0575860044120441e-23,1.4303030036325818e-19,8.40236618027207e-14,3.287036249044103e-14,8.402726796619266e-14,3.286817617778114e-14,1.6480343176816633e-23,7.326668729458892e-23,2.1861424731597314e-18,2.185962370395459e-18,3.4632053547199635e-18,2.583142431720589e-22,2.560860216456694e-22,5.68381571835964e-23,1.4302363118944978e-19,1.7527910527003324e-23
2.62143e-10,0.451277606040272,3.76,0.0,0.66236795040118,0.999999999999832,8.460864411834681e-23,5.721327270531473e-19,1.6804109370948437e-13,6.574110886466257e-14,1.6805551724042015e-13,6.573236400955257e-14,9.682467350745668e-23,2.57407638437082e-22,8.743808639267336e-18,8.742399328319338e-18,1.3851961889825765e-17,2.066198302418949e-21,2.030847210448786e-21,4.5466924452476145e-22,5.720793962428434e-19,1.384965614546516e-22
5.24287e-10,0.45127760604027756,3.76,0.0,0.6623679504009462,0.9999999999996639,6.768869756794054e-22,2.288592960828253e-18,3.3605433206246276e-13,1.3148260206770222e-13,3.3611201624334994e-13,1.314476260671362e-13,5.648675252626936e-22,8.24673893639937e-22,3.4968675685488365e-17,3.4957530519350564e-17,5.5400245107037883e-17,1.6524280072225348e-20,1.5968054921683454e-20,3.636721104289064e-21,2.2881665341582905e-18,1.1042898084935477e-21
9.999999999999999e-10,0.4512776060402885,3.76,0.0,0.6623679504005219,0.9999999999993587,4.9763237412921705e-21,8.51865576025467e-18,6.408697028097104e-13,2.5078376717022894e-13,6.410843300069074e-13,2.506536075544803e-13,2.8561610472960915e-21,2.1989950846802172e-21,1.3010671044381264e-16,1.30025294537351e-16,2.061460929440165e-16,1.2139951189218363e-19,1.1353296862685488e-19,2.6725785154427957e-20,8.515523584413413e-18,8.108359280365318e-21
1.0485750000000002e-09,0.4512776060402885,3.76,0.0,0.6623679504004786,0.9999999999993275,5.415338737497113e-21,9.154806759874484e-18,6.719943654404303e-13,2.6296559548867995e-13,6.722250180710657e-13,2.628257166848757e-13,3.0901247666663276e-21,2.339326864250635e-21,1.3982124428750753e-16,1.3973265304379167e-16,2.2153873421865327e-16,1.3210830981373404e-19,1.2349531080213438e-19,2.908340684278944e-20,9.151398300294932e-18,8.823544012748442e-21
