Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152)
0.0,0.09238092347746492,3.76,0.0,0.7631876129494064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.693962957041625e-23,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999997,9.48188504268122e-54,1.6594574144094717e-38,2.8018064180294312e-21,3.4478304019540365e-20,2.8018064178985417e-21,3.447830401954035e-20,1.4998260306790441e-40,2.0598832356402294e-39,1.3090329149656038e-31,1.4019643727300705e-35,1.2497629115939202e-37,1.083836729591341e-50,2.885472782221548e-41,9.125141550481412e-23,1.6663657616990779e-38,4.316323441614355e-28,5.279055680874725e-39,2.7386127438307537e-16,1.536011946288248e-38,4.190372939896003e-44,1.7424070037915547e-55,1.7731734153348704e-49,9.125141550481412e-23,5.285522609456059e-52,2.824326284942863e-42,4.842490818104525e-41
7.54309627971655e-23,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999993,1.1256893922673032e-52,1.0023122783034987e-37,7.845057970482404e-21,9.653925125471303e-20,7.845057970115915e-21,9.653925125471294e-20,9.05894922531343e-40,1.244169474326382e-38,3.6657464410763613e-31,8.467864811289613e-35,7.548567986027202e-37,1.2867309653708381e-49,1.7428255610938723e-40,2.555039634134796e-22,1.0064849200663366e-37,1.2085705637191587e-27,3.1885496312473966e-38,7.668115682722906e-16,9.277512155581013e-38,2.5309852556974356e-43,2.068585594901333e-54,1.0709967431411698e-48,2.555039634134796e-22,6.27497273282976e-51,1.705893076117974e-41,2.9248644541337633e-40
1.72413629250664e-22,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999983,1.105208520575498e-51,4.82570216110541e-37,1.7931561075388342e-20,2.206611457250584e-19,1.7931561074550652e-20,2.2066114572505796e-19,4.361494097232661e-39,5.990140449237036e-38,8.380990609988556e-31,4.0769123958990255e-34,3.634310546915005e-36,1.2633200920116617e-48,8.390954860181117e-40,5.840090592308105e-22,4.845791635022317e-37,2.762447003103161e-27,1.5351493919969633e-37,1.752712156049439e-15,4.466722739806216e-37,1.2185604509221242e-42,2.0309496036194322e-53,5.1563882958977335e-48,5.840090592308105e-22,6.160805566091753e-50,8.213140836801115e-41,1.4081963299027413e-39
3.66378962157661e-22,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999963,9.775444203614617e-51,2.1075109163027848e-36,3.8104567285200165e-20,4.689049346657491e-19,3.810456728342008e-20,4.689049346657472e-19,1.9047790589809849e-38,2.616051709258181e-37,1.7818747414575668e-30,1.78049475336717e-33,1.5871988977241586e-35,1.1173923147394777e-47,3.664550443218246e-39,1.2410192508654723e-21,2.1162845173592737e-36,5.870199882945387e-27,6.704400714696359e-37,3.724513331598608e-15,1.9507351717860642e-36,5.3217736336716774e-42,1.7963519246289323e-52,2.2519302416788244e-47,1.2410192508654723e-21,5.44916280376078e-49,3.5868943820709443e-40,6.149963338971511e-39
7.54309627971655e-22,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999923,8.216849867848531e-50,8.798443211223821e-36,7.845057970482361e-20,9.653925125471305e-19,7.845057970115877e-20,9.65392512547123e-19,7.952077614827682e-38,1.0921500915320298e-36,3.672333489080077e-30,7.433215104214657e-33,6.626242957269881e-35,9.392355684761622e-47,1.5298776779510562e-38,2.555039634134796e-21,8.835071268541506e-36,1.2085705646926733e-26,2.798955321986692e-36,7.668115682676435e-15,8.143935339220189e-36,2.2217357327362227e-41,1.5099420309736834e-51,9.401365485777946e-47,2.555039634134796e-21,4.5803496912876286e-48,1.497457796450863e-39,2.5674886317399054e-38
1.530170959599643e-21,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999845,6.73666996284004e-49,3.594451137928489e-35,1.5914260454406973e-19,1.9583676683098932e-18,1.5914260453663556e-19,1.958367668309863e-18,3.248683175633757e-37,4.4617894836887407e-36,7.464880531145453e-30,3.0367109099080906e-32,2.707036457027977e-34,7.700420652596228e-46,6.250049539855381e-38,5.1830804006734435e-21,3.609414894481672e-35,2.4516717192077002e-26,1.1434645766891077e-35,1.5555320384750046e-14,3.3270633161381105e-35,9.076515402760741e-41,1.237941703847226e-50,3.840764576382083e-46,5.1830804006734435e-21,3.755247414614415e-47,6.117603707712169e-39,1.0489028811485287e-37
3.081893622855619e-21,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999687,5.455529995902181e-48,1.452934620288656e-34,3.2052665422255904e-19,3.944317979835418e-18,3.2052665420758652e-19,3.9443179798352966e-18,1.3131696816255525e-36,1.803526647167548e-35,1.509649280255762e-29,1.2274871026149432e-31,1.0942274177194785e-33,6.236000291359649e-45,2.5263699849359823e-37,1.0439161933750738e-20,1.458983209933154e-34,4.9378740351127837e-26,4.6220666431873496e-35,3.13297297885691e-14,1.3448521875487126e-34,3.668872646803402e-40,1.0025172875815529e-49,1.5524984636056967e-45,1.0439161933750738e-20,3.0410967154479778e-46,2.472833231342072e-38,4.239833150676652e-37
6.185338949367571e-21,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999999372,4.391085161134611e-47,5.842186205865215e-34,6.432947535795253e-19,7.916218602886469e-18,6.432947535494782e-19,7.916218602885976e-18,5.280197534992368e-36,7.251901326151161e-35,3.054579009450755e-29,4.935671652770114e-31,4.399840320776734e-33,5.019275554249883e-44,1.0158422846805058e-36,2.0951324999905327e-20,5.866507318765474e-34,9.910278694423068e-26,1.8585126686007342e-34,6.287854859489451e-14,5.407591497385054e-34,1.4752375550010653e-39,8.069131300784627e-49,6.242528147669953e-45,2.0951324999905324e-20,2.4477391985113425e-45,9.943153669030852e-38,1.7048182623689877e-36
1.2392229602391476e-20,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999998741,3.523569301006046e-46,2.3429779667730942e-33,1.2888309522934098e-18,1.586001984898857e-17,1.288830952233221e-18,1.586001984898659e-17,2.1175953745212222e-35,2.9083367808998953e-34,6.218867567490958e-29,1.979425086070537e-30,1.7645327562970521e-32,4.027652529351664e-43,4.073982109593493e-36,4.1975651132214504e-20,2.352731820807483e-33,1.9855088123044112e-25,7.4534670408973735e-34,1.2597618620229458e-13,2.1686860508922358e-33,5.916362411753872e-39,6.474969692740025e-48,2.503533076833765e-44,4.1975651132214486e-20,1.964156539977352e-44,3.987649343677827e-37,6.837083730267049e-36
