grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_CHF2-CH2(63),Y_CH3-CF2(64),Y_CHF2-CHF(66),Y_CH2F-CF2(67),Y_CHF2-CF2(68),Y_CHFCF[Z](71),Y_CF2CH(72),Y_CHF2(81),Y_CHF(88),Y_CF2(89),Y_CH2F(91),Y_[O]OC(F)F(128),Y_FC(F)C(F)F(130),Y_FC1OO1(136),Y_[O]C([O])F(138),Y_CHO2(142),Y_CFO2(143),Y_[O]C(F)F(146),Y_[O]O[C](F)F(147),Y_CF2O2(152),Y_O2(176),Y_F[C]C(F)F(182),Y_O[C](F)F(220),Y_C2F4O2(252),Y_F[C]C(F)F(276),Y_FC1OC1(F)F(286),Y_C2HF4O2(406),Y_CF3O2(416),Y_C3H2F5(444),Y_C2HF3O(467),Y_OO[C](F)F(503),Y_C2H2F3O2(603),Y_C2HF2O3(899),Y_FC1(F)OO1(932),Y_C2H2F3(962),Y_C2HF2O(1007),Y_C3H2F5O2(1017),Y_C3H2F5O2(1096),Y_C3H3F4(1175),Y_FC1(F)CO1(1224),Y_C2HF2O3(2126)
0.0,0.0771030618987282,298.0,1.3457474658458797,0.5349850756542983,0.0,0.3024968917898903,0.16251802429731813,3.650513626098994e-12,1.0584958101407886e-18,0.0,3.558875580138984e-14,8.243156161322806e-09,0.0,2.295377174779815e-13,2.2227235213215032e-12,8.63496962045102e-14,0.0,1.5362245697469502e-13,2.799137037961063e-14,8.541425566192102e-12,0.0,5.498895516847617e-14,2.27818993968371e-13,0.0,0.0,0.0,4.787771007251075e-15,0.0,8.284314825583032e-22,0.0,1.0794844873229877e-14,0.0,1.8416464280278046e-34,1.8791850903835154e-30,0.0,0.0,2.3808136230144604e-16,0.0,3.5629468502086127e-14,3.592882870109806e-15,3.5544721504132954e-26,2.34384694089121e-16,0.0,1.5923841326882148e-14,0.0,0.0,0.0,2.5316782766453284e-28,0.0,2.822973232438267e-35,4.433942421098083e-30,2.9313598549235744e-29,0.0,1.3743077249475435e-17,5.838238688140556e-37,0.0,1.5615154833708002e-30,0.0,3.4673716169111022e-18,0.0,3.367418093935406e-14,0.0,4.860873886955383e-30,0.0,6.514170977391549e-16,2.451890227502226e-18,0.0,1.6007485551676114e-20,4.2754694190493064e-16,1.1553046019168078e-21,0.0,0.0,1.5706132199479473e-27
0.008,0.0771031436702033,298.00000218193964,1.3457460386192357,0.5349850062988832,0.0,0.30249690522447775,0.1625180107713933,1.2583701924392775e-10,2.3810554332307493e-17,0.0,1.6951688554895526e-14,7.719658192549505e-08,0.0,2.678601935168538e-13,8.062735765013509e-11,4.6233719635201595e-12,0.0,1.5434008152267698e-13,5.796371413303537e-22,2.950521398876683e-10,0.0,8.3968040391581e-14,1.599931095219121e-20,0.0,0.0,0.0,3.353179391854362e-13,3.3536520746788524e-13,5.323528107393506e-20,0.0,1.3857664501357064e-14,0.0,1.4136808585051292e-32,1.434191227592457e-28,0.0,0.0,3.494263804590394e-23,0.0,9.024489215052944e-21,4.2001289620958205e-19,1.738006968197456e-24,9.848449908953631e-15,0.0,1.1998892794793587e-12,0.0,0.0,0.0,0.0,0.0,1.940939116373375e-33,3.508130780695221e-28,2.832605752651416e-27,4.7852066581388554e-18,1.3743721405330528e-17,4.275428808810043e-35,0.0,1.746328124547448e-30,0.0,3.1798437445371115e-16,0.0,4.421162162257427e-21,0.0,1.761693672873236e-28,0.0,6.388579844778534e-14,4.757288886528218e-18,0.0,1.0994636713541737e-18,4.237332067333099e-14,1.1455691559832892e-19,0.0,0.0,1.5998015963617962e-25
0.016,0.07710392451894707,298.0000794033831,1.345732409962706,0.534984348128522,0.0,0.3024970334507553,0.16251787824835306,4.065617820713933e-09,3.556533738374618e-18,1.8903692343297092e-25,2.5087099719428505e-15,7.229440231175104e-07,4.031970341399514e-12,1.556368486148961e-12,2.736496759726106e-09,2.0968782660327652e-10,0.0,1.870522286480819e-13,1.274743576297657e-28,1.0191704580205157e-08,0.0,1.7021404084886703e-12,1.130317091386469e-27,0.0,0.0,0.0,2.378295707831896e-12,1.274639023449822e-11,1.4882508995417173e-19,1.841132359586611e-13,1.925474103571111e-13,0.0,9.944031490741815e-32,1.0113082588988987e-27,0.0,0.0,0.0,0.0,2.2979989119744383e-27,5.85886224831715e-20,7.706500459783756e-24,3.9579703045080786e-13,3.936841677779446e-38,1.3555604713460278e-12,0.0,0.0,0.0,2.0513307716679467e-28,0.0,2.7442594156755456e-34,4.737668825121179e-35,7.210709074216851e-34,4.785439962699993e-18,1.375300662114718e-17,3.1483371637458894e-35,0.0,8.077891526832149e-30,0.0,3.2691355703157087e-16,0.0,5.835047282966981e-28,0.0,1.990368973119547e-28,0.0,6.388857508645479e-14,4.795006843992e-18,0.0,2.737123007386541e-23,4.2373784610404596e-14,6.974501290248476e-22,0.0,0.0,4.2215400452538886e-30
0.02,0.07710696467572012,298.0011158976805,1.3456793507875422,0.5349818491060043,0.0,0.30249752841139843,0.16251731826389637,5.224017068254248e-08,9.686200307699823e-19,3.076173033562005e-25,6.575112655180926e-16,3.0714828797368657e-06,1.5797118859985374e-11,3.9368790027571864e-11,3.68057205567941e-08,3.7110580957240863e-09,0.0,7.503803887188133e-13,3.1099660871526808e-27,1.3963797446681643e-07,1.7367480903442383e-32,3.578896549108627e-11,2.2657872217858066e-33,1.7026058918934983e-32,3.2610703477510916e-13,0.0,5.5638359779746254e-11,1.7424981965594712e-10,1.9946568378720958e-19,6.2494746956736636e-12,4.124587371622955e-12,0.0,7.25451856711117e-30,7.37758808111929e-26,5.0735525210382764e-27,5.015447377144497e-28,0.0,0.0,1.3046770105631234e-33,1.5658927609727587e-20,2.7750628204660954e-22,6.6166027306935236e-12,4.5489616644391935e-36,1.3856256112839275e-12,4.937148120340903e-13,0.0,0.0,7.385468701888554e-27,2.785801424404311e-20,7.333760868709236e-35,3.732538364321546e-34,7.718968906334357e-33,4.786056990444958e-18,1.405489212503465e-17,1.3990405735487738e-34,0.0,1.5727845767215944e-28,0.0,6.367428240567087e-16,0.0,1.7925370757642315e-34,2.693747673833185e-34,2.0411486010290022e-28,7.21957422026873e-18,6.393123387706957e-14,5.8884376364908466e-18,0.0,1.38295085966558e-27,4.238494362141675e-14,2.915051306498068e-22,0.0,0.0,3.5182660400824024e-32
0.022,0.07711459609789921,298.0083288139411,1.3455461797599872,0.5349760356888874,0.0,0.3024987184179965,0.1625156376734107,3.5882004781211247e-07,8.851776857965203e-19,1.5047380699386745e-24,2.8263359399679643e-16,7.929479753968712e-06,8.753685637986793e-11,2.970234399864926e-10,2.638437002877709e-07,3.447861414719238e-08,1.6100036415421637e-28,5.741709216486497e-12,8.569682458838609e-26,1.0185724594900084e-06,2.239644177418361e-31,4.0333149907069324e-10,2.7109602374378353e-32,2.722188036872415e-31,8.863152077738569e-12,0.0,7.630871035409747e-10,1.2654507995569406e-09,2.2492519044399138e-19,7.716770638199919e-11,4.836970485354468e-11,5.361364971358587e-13,4.7323465397078085e-28,4.811448475217875e-24,3.618150993574439e-25,3.5769185899825117e-26,3.436096264300704e-25,0.0,2.1652437232656648e-33,1.0627382504612702e-20,1.1152914242717252e-20,5.830629577437594e-11,8.747344124877977e-34,1.5348305746216628e-12,8.062743027082663e-12,0.0,8.717108581850503e-32,2.967844021664045e-25,9.92805609776576e-18,5.011585999216167e-35,3.290703339395033e-33,6.76836782095404e-32,4.790418813698978e-18,1.9026354588299753e-17,1.181711779625687e-33,1.8385806985240916e-26,1.9755982192684102e-27,0.0,6.0797284663530954e-15,3.85370198810439e-15,4.196383904337672e-34,3.473264916200235e-33,2.5725884648676687e-28,2.7455699229725986e-16,6.474324489312337e-14,2.201257194096327e-17,1.43847536514325e-32,1.1051575329829571e-28,4.259377842196493e-14,2.901609279711376e-22,0.0,0.0,3.5472726992075537e-32
0.024,0.07715063243944612,298.07760897334117,1.3449176890101326,0.5349526316143135,0.0,0.30250366447578786,0.16250562854643585,3.062106791441549e-06,3.4136346735243334e-17,1.2044596142040825e-22,2.401761993277354e-16,2.294638005509998e-05,7.469680131757339e-10,2.69304097487873e-09,2.356644913160931e-06,4.051773090518874e-07,4.762598071856468e-26,6.636526549297186e-11,5.812872684628395e-24,9.267851445928922e-06,3.4979975290303886e-30,5.8092568062531025e-09,4.234808406473763e-31,1.6690803155515134e-28,1.5436053739857948e-10,0.0,1.3526619015056557e-08,1.1458537169482467e-08,3.610809494138577e-19,1.2062722101337114e-09,7.268602036700048e-10,1.0620508858349237e-11,6.099263967568753e-26,6.186628880696393e-22,4.8436615301308614e-23,4.791094895004771e-24,5.77842863131763e-23,0.0,1.4176107622197641e-30,2.8669405790863274e-19,8.517120580796281e-19,6.481416309836218e-10,5.680661170144009e-31,4.427386884767154e-12,1.511029763668741e-10,0.0,1.989463376159898e-29,2.2649576180238858e-23,1.6257526737777905e-16,1.501799766370129e-33,3.676463429140805e-32,7.578994685282454e-31,4.832688735892268e-18,1.298402670744917e-16,5.193993051190895e-31,3.6436672033920863e-25,3.220809443525919e-26,0.0,1.3534497256567382e-13,9.592205155168426e-14,2.037498642009287e-31,5.42027772933003e-32,3.66563016342467e-27,6.886355389917536e-15,8.574229082972352e-14,3.4438104805147924e-16,1.2981739340806866e-30,1.890277502262214e-27,4.794550510414727e-14,3.281698937459723e-22,2.268041687052551e-15,0.0,4.773440827478627e-32
0.025,0.07724164879237266,298.33544721155977,1.3433329326824353,0.534904900969738,0.0,0.3025134132478143,0.16247562806291677,1.2331909092487884e-05,5.90769715603239e-16,2.9895239518083086e-21,8.40448257228405e-16,4.2222238325926116e-05,3.132625278041238e-09,1.1326140930610194e-08,9.847692556266695e-06,2.1251638652926017e-06,4.132695565427302e-24,3.498521871918133e-10,9.908848590478576e-23,3.931137711593027e-05,8.703214876469652e-29,3.6279666189607436e-08,1.0543161281930898e-29,1.7645392880711516e-26,1.1017336777982464e-09,1.4120853142361865e-23,1.0140898692071292e-07,4.841511282404533e-08,1.7144100320394501e-18,8.083651554300903e-09,4.710472671256853e-09,7.616874621857715e-11,1.6852978268751408e-24,1.6945384828294022e-20,1.374478706965086e-21,1.3623416671830978e-22,1.7374419767274437e-21,0.0,1.6043659977865142e-28,4.941697699575321e-18,1.476845077218918e-17,3.2441862196119665e-09,4.145857296242876e-29,2.53718789375065e-11,1.1818998052814464e-09,0.0,3.4892802649477246e-28,3.9201277152076967e-22,7.961514505858658e-16,3.688973458950235e-32,1.8762143789392346e-31,3.8908160858496676e-30,4.993351224336088e-18,1.0692675138404843e-15,4.50175426079791e-29,2.618903994274222e-24,2.2986182635671793e-25,0.0,1.3007910301962526e-12,8.88377537381367e-13,2.3948856798778187e-29,1.3451625194827908e-30,6.736155302899478e-26,6.89857606630688e-14,2.91977945650919e-13,2.7997230661100167e-15,1.6161578395619856e-28,6.201594192253487e-26,1.0008112642831188e-13,6.9777128486877e-22,4.9731447385408274e-14,0.0,1.764061340544154e-31
0.025500000000000002,0.07740584955278436,298.87862448412005,1.340483333115569,0.5348329281410449,0.0,0.3025258212465102,0.16241747995153671,3.0513440272717895e-05,3.878040984973329e-15,2.7461133830622753e-20,2.22379189453892e-15,5.939524999960632e-05,8.101191049649591e-09,2.8979861793197413e-08,2.5106210740760556e-05,6.538557505158148e-06,8.310832655737857e-23,1.0823407233761601e-09,6.315416695896629e-22,0.00010143179495716444,8.834518351905835e-28,1.2962104891645824e-07,1.071605378180513e-28,4.0970292249872536e-25,4.417444350035209e-09,1.3818349129914656e-22,4.2539941698185675e-07,1.2454499408823602e-07,8.942738353987336e-18,3.071197027168011e-08,1.7380722243018943e-08,3.0507513674581e-10,1.664733582087273e-23,1.6433560320763497e-19,1.377983791680488e-20,1.371688767899105e-21,1.7981366617320993e-20,0.0,3.954867474381102e-27,3.265941941875409e-17,9.444084572276816e-17,9.597172159745682e-09,6.908540988979886e-28,1.0532607084869128e-10,5.147192726856565e-09,0.0,2.2465693900432967e-27,2.4981523451262122e-21,2.1346970151976285e-15,4.201209347568525e-31,5.784836924765133e-31,1.2120312236420606e-29,5.34868644058705e-18,5.27917231995011e-15,8.749023329555203e-28,1.0543598973410688e-23,9.50820952376574e-25,0.0,6.832974769195767e-12,4.490842712532671e-12,6.17649667990022e-28,1.3587452610658632e-29,5.0808176580754185e-25,3.7561450093976227e-13,1.354537251019106e-12,1.274766483743535e-14,5.5223844550202364e-27,9.078550854847854e-25,3.666562795888571e-13,2.668147915107649e-21,2.28962198151145e-13,0.0,9.662379637841317e-31
0.026,0.07788744935251604,300.57865307741855,1.3321947748323502,0.5346503380922877,0.0,0.3025470182037151,0.1622430266869439,8.385505172785903e-05,3.1133095115834423e-14,3.7581624668722593e-19,6.183197588056622e-15,8.542488436645797e-05,2.3657701863292188e-08,8.267099601216879e-08,7.143053700465975e-05,2.3030336756737613e-05,2.345855995802939e-21,3.836193771267393e-09,4.7194989491569724e-21,0.0002924564722496194,1.1128625432936413e-26,5.399805382922801e-07,1.3547934807001218e-27,1.3879314654174666e-23,2.091320642083579e-08,1.550808384481468e-21,2.1174942068172043e-06,3.5800813467566693e-07,6.321380144885357e-17,1.3700758700137655e-07,7.505596982234533e-08,1.4413198992396828e-09,2.3373549070193733e-22,2.1792037605786694e-18,1.911187482580819e-19,1.927974300634543e-20,2.475174353692868e-19,7.257462957368878e-17,1.447996401340743e-25,2.687538470164444e-16,7.03160213564689e-16,3.2342829325572494e-08,1.5378921420557208e-26,5.409687876479539e-10,2.669933737768146e-08,0.0,1.7092078453342517e-26,1.8414234990975792e-20,6.240982377529938e-15,8.613458088254786e-30,2.2230686235683345e-30,4.7857548240093e-29,6.622311009886495e-18,3.170396438480529e-14,2.373489004846308e-26,5.071459194188688e-23,4.783814193446525e-24,0.0,4.3497843724883794e-11,2.7410100278794325e-11,2.4362648078599104e-26,1.6862979564870562e-28,5.10612262858859e-24,2.485701906325091e-12,8.968702650106776e-12,6.951668148294677e-14,3.332232162335722e-25,2.2737451587615305e-23,2.263143788965355e-12,1.8617334172904815e-20,1.1863155293127357e-12,0.0,1.0166060295653711e-29
0.026249999999999996,0.07849185354684775,302.7752422849331,1.3219366165684858,0.534448218182139,0.0,0.3025541219314741,0.16202382668987306,0.00014885798833171986,1.0299731442529466e-13,1.8446072072039147e-18,1.0865185840436766e-14,0.00010342872105268686,4.464416311531223e-08,1.498601191023349e-07,0.00012970212247686666,4.80696562694967e-05,1.6159076704388938e-20,8.039113119036478e-09,1.455996590803273e-20,0.0005353175740637805,4.896158773112019e-26,1.263774235461787e-06,5.983823215809766e-27,1.111411110175559e-22,5.355986476102245e-08,6.648647161377429e-21,5.62231104502023e-06,6.543594149895686e-07,2.5555673296011446e-16,3.364241702561952e-07,1.8013458372837876e-07,3.6858064738229475e-09,1.2139690125064056e-21,1.0522817292292186e-17,9.592225440687947e-19,9.842213208134118e-20,1.1918959362311326e-18,3.6963725026503534e-15,1.2327676977365204e-24,9.192986767152828e-16,2.148036322219992e-15,6.556943092965416e-08,9.138896175794008e-26,1.4530444757564043e-09,7.304670202878404e-08,0.0,5.384387831203618e-26,5.558324112398327e-20,1.1329957201355262e-14,5.548150523220309e-29,5.355391121592325e-30,1.1956679011705585e-28,8.696325585505687e-18,9.68123247470599e-14,1.5989467246976006e-25,1.3309527068442402e-22,1.4002940858998072e-23,0.0,1.3845345633857384e-10,8.460268054576598e-11,2.221910945636939e-25,7.280777135422004e-28,2.034972733097873e-23,8.159191675629761e-12,3.0246348839650287e-11,1.9732999245559187e-13,4.000217979615693e-24,1.7105969858997376e-22,7.526524175635297e-12,7.408616343411461e-20,3.211638893525797e-12,0.0,5.496361010751205e-29
