Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF3O(47),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),[O]OC(F)F(128),FC(F)C(F)F(130),FC1OO1(136),[O]C([O])F(138),CHO2(142),CFO2(143),[O]C(F)F(146),[O]O[C](F)F(147),CF2O2(152),O2(176),O[C](F)F(220),C2F4O2(252),F[C]C(F)F(276),FC1OC1(F)F(286),C2HF4O2(406),CF3O2(416),C3H2F5(444),C2HF3O(467),C2H2F3O2(603),C2HF2O3(899),FC1(F)OO1(932),C2H2F3(962),C2HF2O(1007),C3H2F5O2(1017),C3H2F5O2(1096),C3H3F4(1175),FC1(F)CO1(1224),C2HF2O3(2126),CHF(88)
0.0,0.09848492499044195,3.76,0.0,0.6090358000148987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.800926967533167e-24,0.09848492499044194,3.76,0.0,0.6090358000148987,0.9999999999999997,2.237219147266662e-53,7.882698783578309e-38,6.049468474497871e-31,1.8257492087049686e-25,3.3845004676628383e-46,2.4832304226732395e-20,2.3287594375029416e-38,1.4575012537930985e-54,7.371311522623489e-50,1.0765571460391319e-62,6.340368512824119e-98,1.56151735011247e-38,6.404273542447292e-19,5.90116162384356e-38,8.904885103092296e-60,3.5607138914680225e-43,8.627489192131864e-80,5.248479018958513e-38,6.738764993973015e-83,7.789435226273856e-38,7.451750179459387e-37,2.076069518290723e-55,1.2426783497552747e-53,2.590036154193822e-56,2.5981820812963074e-77,5.479558782377097e-77,1.6041034414688844e-75,8.772476275493296e-56,1.822395661765075e-57,6.6924608879609404e-62,1.0255838831853645e-77,4.5257198076368435e-76,2.4832304227337167e-20,1.906015918679209e-37,2.507676350632547e-56,1.1897960402208597e-39,1.5026219867021895e-38,1.560636061650224e-38,1.7251611721549329e-34,6.738882621273292e-38,2.1088784133885955e-43,2.361204139554962e-56,4.06200908999816e-16,3.123450847763762e-56,7.035919032901522e-107,1.076130040224618e-57,5.808618983650293e-78,4.700833477654276e-78,7.753806841906039e-87,-2.6208500080059246e-89,3.608729592845697e-80,2.9823009455663533e-74,1.1751738789593612e-116,2.3871260944580628e-57,3.5922245712170143e-57,5.886907924483681e-115,-2.274793715924311e-105,-5.483991407639456e-107,0.0,0.0,2.972947565550117e-121,6.404273542447289e-19
2.744259550909287e-23,0.09848492499044194,3.76,0.0,0.6090358000148987,0.9999999999999988,2.65602657163604e-52,4.761150065283216e-37,1.694410310416263e-30,5.112097784377819e-25,2.0448013604305228e-45,6.953045183485067e-20,1.406570700251776e-37,1.7303454885031664e-53,8.751221039658569e-49,1.2780886437775643e-61,3.857155576334059e-96,9.43156479472099e-38,1.793196591885242e-18,3.5643016208015086e-37,1.345706238913921e-58,2.1506711904466823e-42,2.4345849168117836e-78,3.170081327450941e-37,2.1187755343814623e-81,4.7048188766700805e-37,4.500857108393468e-36,2.4647097321147426e-54,1.877935522150171e-52,3.914062636217704e-55,7.327289178388606e-76,1.545323249570854e-75,4.523828361492877e-74,1.3256966147525347e-54,2.754004324059372e-56,1.0113646893886576e-60,2.892310644004078e-76,1.276325397270511e-74,6.953045183654404e-20,1.1512336148822318e-36,3.789600501075906e-55,7.186368082935422e-39,9.075836799680535e-38,9.426241812366096e-38,1.0419973479815784e-33,4.07028510324839e-37,1.273762561686505e-42,2.8032215544788716e-55,1.137362545199308e-15,3.708160846471309e-55,3.3611429530454317e-105,1.6262477167874425e-56,1.8263227490185487e-76,1.3259745766824326e-76,2.1866975905493738e-85,2.589567542310329e-88,1.1346423301896445e-78,8.410565834648278e-73,9.068168127948156e-115,2.833996099343483e-56,5.4285697720232555e-56,4.542601888006602e-113,3.8182758294169816e-104,9.204962935210494e-106,0.0,0.0,2.2940595296293944e-119,1.793196591885241e-18
6.272593259221228e-23,0.09848492499044194,3.76,0.0,0.6090358000148987,0.9999999999999973,2.6077026380571696e-51,2.2922888062674474e-36,3.875573786576654e-30,1.1684794935739158e-24,9.850573529396063e-45,1.589267470510871e-19,6.772032444258545e-37,1.6988634614212337e-52,8.592000710769816e-48,1.254835009422922e-60,1.7413044030443583e-94,4.540892454189565e-37,4.098735067166267e-18,1.7160578002137033e-36,1.4476493684837308e-57,1.0354555996388969e-41,5.296562416470145e-77,1.526257698713133e-36,4.726871663841773e-80,2.2651677638014432e-36,2.166968952186785e-35,2.419866630519654e-53,2.020197339630152e-51,4.210569975149807e-54,1.59384544431573e-74,3.3614156086375675e-74,9.840314813966882e-73,1.4261239231543514e-53,2.962632179418212e-55,1.0879799816340345e-59,6.291407410381093e-75,2.7762865234035062e-73,1.5892674705495767e-19,5.542694291518983e-36,4.076679289696314e-54,3.4599268849644025e-38,4.369624737328931e-37,4.538329667276961e-37,5.016768688626527e-33,1.9596670662652557e-36,6.132618426130938e-42,2.7522195450628465e-54,2.599685817597584e-15,3.640694308160975e-54,1.7501401672767388e-103,1.749443083792354e-55,4.074425589272553e-75,2.88442727417903e-75,4.756544895016602e-84,1.4282626137228422e-86,2.531324627191186e-77,1.829481778774191e-71,9.88293321355108e-113,2.782434175709216e-55,5.839807640936418e-55,4.9507497480727066e-111,4.501013561985135e-102,1.0850882665333359e-103,0.0,0.0,2.5001782939337365e-117,4.0987350671662624e-18
1.332926067584511e-22,0.09848492499044194,3.76,0.0,0.6090358000148987,0.9999999999999944,2.3064834520725265e-50,1.0011027455174163e-35,8.246846939807189e-30,2.4830189238524367e-24,4.3070433023454154e-44,3.377193374835596e-19,2.9575244856287274e-36,1.5026254926105277e-51,7.599527327363651e-47,1.1098873552798925e-59,6.57483410278487e-93,1.9831270347074217e-36,8.709812017728318e-18,7.494475262281278e-36,1.3306391864046647e-56,4.522106642164347e-41,9.819550934879507e-76,6.665568354077281e-36,8.852907494524885e-79,9.892582737378191e-36,9.463722727913367e-35,2.140344630576977e-52,1.8569094044723044e-50,3.870239224488728e-53,2.95472083914798e-73,6.231498030941466e-73,1.824228525312676e-71,1.3108535848943185e-52,2.723169389462236e-54,1.0000410455662277e-58,1.1663209032796074e-73,5.146767320132336e-72,3.3771933749178442e-19,2.420640216722433e-35,3.7471706172231845e-53,1.5110409710827054e-37,1.9083299231107078e-36,1.9820077982938305e-36,2.1909546886367457e-32,8.558380929006566e-36,2.6782755850003175e-41,2.4343070197105064e-53,5.524332362391303e-15,3.2201528860156384e-53,6.984349979201505e-102,1.6080395965068346e-54,7.63094821051833e-74,5.347351104716459e-74,8.817832607373446e-83,5.621147758462768e-85,4.740890897359337e-76,3.391550890874502e-70,8.084853001839414e-111,2.46103151836117e-54,5.367789332278903e-54,4.050020686892752e-109,3.5578418975181074e-100,8.577118117967242e-102,0.0,0.0,2.045301080971374e-115,8.709812017728296e-18
2.744259550909287e-22,0.09848492499044194,3.76,0.0,0.6090358000148987,0.9999999999999886,1.9387383175265995e-49,4.1794068950799556e-35,1.7025178049907264e-29,5.1120977844344916e-24,1.802317085527086e-43,6.953045183485024e-19,1.234708253764052e-35,1.2630472665170284e-50,6.387860624520673e-46,9.329271978420657e-59,2.2811153820555082e-91,8.279164990877575e-36,1.793196591885242e-17,3.128795892961815e-35,1.1383898537083715e-55,1.8878905052563076e-40,1.687781500377293e-74,2.7827435758517747e-35,1.529119613821341e-77,4.12995855697975e-35,3.950917945149316e-34,1.7990886274383977e-51,1.5886250901869298e-49,3.311071139087497e-52,5.078410188058486e-72,1.071035296056044e-71,3.1353827426099424e-70,1.1214628400873582e-51,2.3297287452523784e-53,8.555561689638609e-58,2.0046076364592787e-72,8.845978018574266e-71,6.953045183654356e-19,1.010569640083569e-34,3.205783354532399e-52,6.308298605270918e-37,7.966901773485345e-36,8.274492398851896e-36,9.146804534765278e-32,3.572955565789635e-35,1.1181273347757539e-40,2.0461817280628838e-52,1.1373625451967418e-14,2.7067325294586477e-52,2.482347374146983e-100,1.375711729862654e-53,1.318056537577433e-72,9.190821467034784e-73,1.5155601299813285e-81,1.9860782808040296e-83,8.188710110062101e-75,5.829209436415113e-69,5.8187274233990815e-109,2.0686452794737456e-53,4.592256785150344e-53,2.914829302498743e-107,2.5179037967370545e-98,6.070072503602997e-100,0.0,0.0,1.472018042411936e-113,1.793196591885233e-17
5.5669265175588395e-22,0.09848492499044195,3.76,0.0,0.6090358000148987,0.9999999999999769,1.5894948063539375e-48,1.7074240873408323e-34,3.4724979484663447e-29,1.0370255505698645e-23,7.39746853108812e-43,1.4104748800783803e-18,5.044186092008803e-35,1.0355224591922948e-49,5.237154078264749e-45,7.648700818771319e-58,7.5970666263226755e-90,3.3823090415297454e-35,3.6376273721100615e-17,1.2782152123709748e-34,9.412427701063627e-55,7.712648717475076e-40,2.7974169348218516e-73,1.136841549422465e-34,2.540655109621242e-76,1.6872228277597393e-34,1.6140788958715765e-33,1.4750015531305084e-50,1.3135059455636299e-48,2.7376576476352977e-51,8.41709245372609e-71,1.7751624572006755e-70,5.19666695778528e-69,9.272471631490219e-51,1.92626477911112e-52,7.073903853334282e-57,3.322490146464045e-71,1.4661559832454735e-69,1.4104748801127291e-18,4.128506720494665e-34,2.650603671299017e-51,2.5771458149768553e-36,3.254739328068227e-35,3.3804001349619544e-35,3.7367681053343186e-31,1.459668931290266e-34,4.567914998511854e-40,1.6775834057507364e-51,2.3072211631074328e-14,2.2191428615341332e-51,8.361229617607542e-99,1.1374650619068305e-52,2.189970658660463e-71,1.523318824062999e-71,2.511929774066734e-80,6.672392667708545e-82,1.360566452362023e-73,9.661487146863245e-68,3.944122915323027e-107,1.6960003824259166e-52,3.7969667155024734e-52,1.9757662130742213e-105,1.6930941256645974e-96,4.0816508206313866e-98,0.0,0.0,9.97781760578556e-112,3.6376273721100245e-17
1.1212260450857944e-21,0.09848492499044194,3.76,0.0,0.6090358000148987,0.9999999999999535,1.2872141046376927e-47,6.901681154750623e-34,7.069713921239987e-29,2.088657094862714e-23,3.0179984548757284e-42,2.840815603538105e-18,2.038940667986769e-34,8.3859293518668e-49,4.2411831549669346e-44,6.194116228985466e-57,2.4798090784515098e-88,1.3671833932610898e-34,7.326488932559702e-17,5.166750257432688e-34,7.654030291548643e-54,3.1175759262467816e-39,4.554903519087615e-72,4.595295308090882e-34,4.141909061287492e-75,6.820024433558747e-34,6.524364966124942e-33,1.1944944997227509e-49,1.0681212207776226e-47,2.2262177331893543e-50,1.370505307207949e-69,2.890391880716991e-69,8.461424992763747e-68,7.540219937413547e-50,1.566406527777068e-51,5.75238113310929e-56,5.409813904160478e-70,2.38725494258179e-68,2.8408156036072827e-18,1.668808425566717e-33,2.155426885388532e-50,1.0417235434371651e-35,1.315617675206396e-34,1.3664117824934754e-34,1.5104614139577814e-30,5.900215201224666e-34,1.846424277065504e-39,1.358550536250764e-50,4.646938398910691e-14,1.797119424422126e-50,2.7442392809481346e-97,9.249676978009229e-52,3.5702049206428024e-70,2.4803359976442076e-70,4.0900264765681394e-79,2.1873028771809632e-80,2.2180667728521828e-72,1.573122724157475e-66,2.596987633716335e-105,1.3734650815161498e-51,3.087630274621178e-51,1.3009331941796427e-103,1.1104623480242256e-94,2.6770629496631727e-96,0.0,0.0,6.569843153982941e-110,7.32648893255955e-17
2.2502928317456152e-21,0.09848492499044194,3.76,0.0,0.6090358000148985,0.9999999999999066,1.0360618965351392e-46,2.7751356377049094e-33,1.4493168610076865e-28,4.191920183608489e-23,1.2358994418343019e-41,5.7014970504574286e-18,8.198490750106144e-34,6.749725501747342e-48,3.4136731777117427e-43,4.985563616995074e-56,8.014314436755103e-87,5.49738429504847e-34,1.4704212053458982e-16,2.0775275543203822e-33,6.173253365993213e-53,1.2535635683466702e-38,7.351661708329734e-71,1.8477480325402525e-33,6.689194211676642e-74,2.7423018292034396e-33,2.6234184576790973e-32,9.614330920496128e-49,8.614784599056773e-47,1.7955252520930394e-49,2.2120010912950866e-68,4.6651041486584735e-68,1.3656774052215167e-66,6.08146054274624e-49,1.2633636116253214e-50,4.639503778170323e-55,8.73146145205078e-69,3.853039102014182e-67,5.70149705059625e-18,6.710205282338572e-33,1.7384298687670792e-49,4.188724551551661e-35,5.290040809009914e-34,5.494281680382678e-34,6.073498913017305e-30,2.372450582296278e-33,7.424390809308424e-39,1.0934796627789415e-49,9.32637287044471e-14,1.4464780586115657e-49,8.892870586196225e-96,7.460199575324548e-51,5.765890570455383e-69,4.0032773076189645e-69,6.601319270688557e-78,7.083945886871366e-79,3.5821839769305242e-71,2.539026419141042e-65,1.6857268672437255e-103,1.1054841864435734e-50,2.490285673573462e-50,8.444468542884717e-102,7.194214635409471e-93,1.7343555580057593e-94,0.0,0.0,4.264541337995451e-108,1.4704212053458373e-16
4.508426405065257e-21,0.09848492499044194,3.76,0.0,0.6090358000148984,0.999999999999813,8.313744231129118e-46,1.1129535117558083e-32,3.0256168960908643e-28,8.398446361740344e-23,5.135981745952796e-41,1.1422859944295574e-17,3.287961477253405e-33,5.41622963228767e-47,2.7392577394844985e-42,4.000600822768218e-55,2.5772834171299765e-85,2.2046969801646047e-33,2.945965829525754e-16,8.331814689733054e-33,4.95869386302751e-52,5.027350579078635e-38,1.181394818758119e-69,7.410296035992056e-33,1.0752684375166241e-72,1.0997856859790199e-32,1.0521081367875229e-31,7.714895074284328e-48,6.919863482045804e-46,1.4422635273330007e-48,3.554626370940358e-67,7.496697128790515e-67,2.194606927591253e-65,4.884959831939075e-48,1.0148023575173951e-49,3.7267017416653945e-54,1.4031224151066673e-67,6.19173039931164e-66,1.1422859944573632e-17,2.6910924394809523e-32,1.3964014104654166e-48,1.6798658905022223e-34,2.12154296724891e-33,2.203452691547512e-33,2.435744707997693e-29,9.514587939249324e-33,2.9775127784618545e-38,8.77448564402423e-49,1.8685241813222754e-13,1.1607075459977913e-48,2.863646025115154e-94,5.992438001956981e-50,9.268500972773812e-68,6.433163192365043e-68,1.0608143004306198e-76,2.280488132393422e-77,5.758256809262832e-70,4.080147293549033e-64,1.0864952520686691e-101,8.87081438783578e-50,2.0003328805638548e-49,5.442681822523836e-100,4.6324178290090607e-91,1.1167667377229795e-92,0.0,0.0,2.7486089271143596e-106,2.9459658295255093e-16
