grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_C2HF(57),Y_CF2CF2(60),Y_CHF2-CH2(63),Y_CH3-CF2(64),Y_CHF2-CHF(66),Y_CH2F-CF2(67),Y_CHF2-CF2(68),Y_HCCO(68),Y_C2H2(70),Y_CHFCF[Z](71),Y_CF2CH(72),Y_CH2CO(75),Y_CHF2(81),Y_CHF(86),Y_CF2(87),Y_CH2F(89),Y_FC1OO1(129),Y_[O]C([O])F(131),Y_CHO2(135),Y_CFO2(136),Y_CF2O2(144),Y_[O]OC(F)F(163),Y_FC(F)C(F)F(164),Y_[O]C(F)F(170),Y_[O]O[C](F)F(171),Y_O2(177),Y_F[C]C(F)F(180),Y_O[C](F)F(232),Y_C2F4O2(248),Y_FC1OC1(F)F(275),Y_F[C]C(F)F(316),Y_C2HFO(390),Y_C2HF4O2(419),Y_CF3O2(433),Y_C2HF3O(474),Y_C2HF(510),Y_C2HFO2(557),Y_C2H2F3O2(649),Y_C2HF2O3(898),Y_FC1(F)OO1(924),Y_C2HF2O(1009),Y_C2H2F3(1097),Y_FC1(F)CO1(1188),Y_C2H3F2O2(1290),Y_[C]#CF(2151),Y_C2HF(2152),Y_C2HFO3(2756)
0.0,0.09012330075604366,298.0,1.340427026583642,0.5408990685016198,3.892482120540932e-41,0.2947863506600261,0.1643145791636713,3.084802892519386e-13,0.0,2.4339815252045925e-15,0.0,1.671726271038921e-09,0.0,2.6788116574952373e-13,6.309897566380261e-14,0.0,0.0,0.0,1.3565483874434318e-14,2.3246337827784594e-13,0.0,0.0,2.2131067776931042e-13,2.698478398148349e-13,0.0,3.751511504571583e-15,0.0,0.0,1.4066052179160062e-13,1.1819776124272112e-13,5.754140386750376e-15,3.2981775095547692e-15,0.0,0.0,4.498270669309599e-29,1.2881295631261376e-29,2.1602584465279644e-15,0.0,0.0,0.0,8.43616930446853e-14,0.0,0.0,0.0,0.0,0.0,5.678687238522427e-13,0.0,0.0,0.0,3.292338695272679e-29,0.0,3.6480134417538026e-14,0.0,4.759987854183561e-30,6.013864337790698e-16,0.0,0.0,0.0,2.3715716734542666e-16,0.0,1.030160349361162e-14,2.7441208044137317e-17,3.941300077258092e-15,3.419725450927639e-36,2.0946700805151564e-13,1.449564482979366e-16,0.0,1.2949554072805092e-15,0.0,3.7341129346567476e-20,0.0,6.611403296813154e-14,0.0,3.2276285684947074e-13,0.0,4.600998411453975e-28
0.008,0.09012332315433008,298.0000000992029,1.3404266934513311,0.5408990521543686,2.539589199087887e-40,0.2947863537896801,0.1643145760432304,3.3328293009267796e-12,0.0,3.2153692783813815e-21,0.0,1.7987251312832172e-08,0.0,7.938489359889973e-12,2.516837924449451e-12,0.0,0.0,0.0,1.8064551029372972e-21,9.338836637403077e-12,0.0,0.0,1.916704133143048e-20,1.688812676410337e-19,0.0,2.956467500840414e-13,0.0,0.0,1.4072960588063641e-13,1.182437489924059e-13,3.356486839194854e-13,3.305637936913307e-15,0.0,0.0,4.0663454410964965e-27,1.1581343085506721e-27,3.6263271719127374e-22,1.1648775231795604e-19,0.0,0.0,5.222182325641936e-20,0.0,0.0,0.0,0.0,0.0,5.6786877629128e-13,0.0,0.0,0.0,3.5774354072222774e-27,0.0,3.646843399281569e-14,0.0,4.235851241980066e-28,4.838417084701302e-18,0.0,0.0,2.948338464988744e-31,2.3715717607449813e-16,0.0,2.304809068386651e-20,2.873377373251162e-15,4.018725563589759e-13,3.7713868305751188e-34,2.0946701080385303e-13,1.3212516571293984e-14,0.0,1.5083878033665414e-13,0.0,3.0468597197475344e-18,0.0,6.611403357442113e-14,0.0,7.457816316037446e-19,0.0,5.086194808464646e-26
0.016,0.09012356459121584,298.0000025716444,1.3404231025162794,0.540898876003483,2.553405827303098e-40,0.294786387597875,0.1643145422480506,1.2066208098339014e-10,0.0,0.0,0.0,1.9353776133445843e-07,0.0,1.2428871019079614e-11,9.900859749814329e-11,4.42278026578775e-12,5.436597777251631e-29,0.0,0.0,3.736031554349512e-10,0.0,0.0,1.6695588377907965e-27,1.0629383084641687e-25,0.0,3.039251200333555e-13,2.174839680651264e-13,0.0,1.4449110121222087e-13,1.212858771539041e-13,3.386492207662173e-13,3.5310045673194352e-15,0.0,0.0,6.447335033159181e-27,1.836259986025685e-27,0.0,1.075379307242915e-24,1.0956345208168803e-14,4.6950642388897445e-17,3.249460446330648e-26,4.1339072080627143e-16,0.0,0.0,1.149254853391953e-13,0.0,5.678689114828079e-13,1.706711034726736e-30,0.0,0.0,0.0,0.0,3.6725156714848877e-14,0.0,4.333990644268003e-35,4.838296324600922e-18,0.0,2.683078758360363e-34,3.1495246962060686e-31,2.3715741428375883e-16,0.0,5.178362245227995e-26,2.8673731105025956e-15,4.018729368133415e-13,7.395867573613854e-35,2.094670437158086e-13,1.321255043760606e-14,0.0,1.5084322663177783e-13,0.0,8.981090517017187e-23,0.0,6.61140531890511e-14,0.0,1.7313977522048166e-24,0.0,1.1477544466358297e-31
0.02,0.0901245775459329,298.0000405856277,1.3404080368708897,0.5408981383630896,2.5529896254141034e-40,0.29478652955072415,0.16431439894699765,1.7817931918873202e-09,0.0,0.0,0.0,9.238142242516696e-07,0.0,1.3736357184403711e-11,1.5338338413960784e-09,9.432965130884441e-11,1.8602371615372357e-28,4.0919725123374205e-15,0.0,5.8917271834780795e-09,0.0,3.1745744320490633e-14,1.3726498996164122e-33,1.432192071726473e-31,0.0,5.557591172321928e-13,3.764436063386877e-12,0.0,2.455153809733045e-13,1.990027662846515e-13,4.0554312745169563e-13,9.810240385341883e-15,0.0,0.0,1.0953983422687229e-26,3.1197938083035633e-27,0.0,0.0,2.1316124373712956e-13,1.0106277355710674e-16,4.100463972277971e-32,1.0011045952419229e-14,0.0,0.0,2.6478359652388324e-12,0.0,5.678694432328266e-13,1.909609329009527e-30,0.0,0.0,0.0,0.0,4.486324046988625e-14,0.0,1.4018526679312336e-34,4.838315545518607e-18,0.0,0.0,8.75028943409461e-31,2.371634151338613e-16,0.0,2.3675596891326154e-31,2.8662388572977692e-15,4.0187397198888456e-13,1.0529151798703186e-34,2.0946718552704921e-13,1.3212613753179216e-14,0.0,1.5084351204159222e-13,0.0,5.2531097307900264e-27,0.0,6.611421064660614e-14,0.0,8.264788881857792e-30,0.0,2.463933009244672e-37
0.022,0.09012700452684129,298.0003447908018,1.3403719418457698,0.5408963845898561,2.5509949991359575e-40,0.29478686964090944,0.164314043730322,1.3954334581986191e-08,0.0,0.0,0.0,2.6253552906052653e-06,0.0,1.4216853861263321e-11,1.2560533777238732e-08,1.0072902990567633e-09,2.549489205675372e-28,6.332199371611014e-13,3.655645622126958e-27,4.906787676468965e-08,0.0,7.995408283070907e-12,9.877039651261979e-34,3.270091804624387e-33,9.662522702963587e-15,4.435894148875833e-12,3.14058832154238e-11,0.0,1.613260769568977e-12,1.2111601509255155e-12,1.1629198081547475e-12,1.0061305706102759e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.125802118790588e-12,1.3201217509658892e-16,0.0,1.2379331554069792e-13,0.0,0.0,2.6963274108095183e-11,0.0,5.678706975333855e-13,1.9036732527724204e-30,0.0,0.0,0.0,0.0,1.7614424003118274e-13,0.0,1.4275246546508587e-33,4.838493077254359e-18,0.0,0.0,8.973714507768574e-30,2.3726069119313186e-16,5.587112029116116e-19,2.924551341671939e-34,2.8998001956205597e-15,4.018857590610679e-13,9.67050061304141e-35,2.0946752737483395e-13,1.3213505536677134e-14,0.0,1.5084570192626217e-13,0.0,0.0,0.0,6.61158533258652e-14,0.0,3.499154709044352e-32,0.0,0.0
0.023,0.0901307059402378,298.0016380681214,1.3403168967142673,0.5408937729591382,2.545965748175562e-40,0.2947873848324535,0.16431345474346243,6.159716072915617e-08,0.0,0.0,0.0,5.033080167292077e-06,0.0,1.464096163442144e-11,5.768796802626046e-08,5.870897062097427e-09,7.588645969732583e-29,4.011574855133457e-12,2.4248018126746505e-26,2.2877768915111703e-07,0.0,5.965105083189223e-11,1.430674460944156e-33,0.0,8.614381156816044e-13,3.527522939603775e-11,1.460223573929495e-10,0.0,1.1211165890337285e-11,8.055229040447776e-12,5.6387621604471535e-12,7.800630766095426e-13,0.0,0.0,0.0,0.0,0.0,1.0894263111016888e-27,1.1649798298322103e-11,1.4695993677003413e-16,0.0,8.266993592301272e-13,0.0,0.0,1.49758754717692e-10,0.0,5.678725467883335e-13,1.8590292991933168e-30,0.0,0.0,0.0,0.0,1.2678739743660474e-12,0.0,7.929331583687557e-33,4.839275069798415e-18,0.0,0.0,6.957244162048235e-29,2.381008206795088e-16,9.746341612691729e-18,4.53477064103446e-34,3.2644336962297282e-15,4.01993306483036e-13,1.4009648313796407e-34,2.0946803870254365e-13,1.3221161230439247e-14,0.0,1.5086573828782211e-13,0.0,1.4965103081733677e-30,0.0,6.612917139562717e-14,0.0,5.633983890064276e-32,0.0,0.0
0.024,0.09014043691411386,298.00939820314477,1.3401722053136287,0.5408872913193021,2.52714085020705e-40,0.29478869977470934,0.16431165420237923,3.261099930781268e-07,0.0,0.0,1.334284936165999e-15,1.0378438915931128e-05,0.0,1.6355804890085045e-11,3.189826492688143e-07,4.2038834562639025e-08,7.946622926361932e-27,2.932644318226498e-11,1.8264425864828926e-25,1.2860199725692602e-06,0.0,5.23618922579091e-10,1.750973459920024e-31,0.0,9.674336323993008e-12,3.722894860418478e-10,8.179188359204916e-10,0.0,1.042119237204911e-10,7.204183891491717e-11,4.239821881940171e-11,7.785450316207761e-12,0.0,0.0,0.0,0.0,0.0,3.405437214420669e-25,7.805812056237753e-11,1.5586563997179628e-16,0.0,6.850771621278997e-12,0.0,0.0,1.0175549940825703e-09,0.0,5.678771128795969e-13,1.5966209176788444e-30,0.0,0.0,4.764892386316286e-32,0.0,1.3736906828207792e-11,0.0,5.39097402864893e-32,4.8440209423795576e-18,0.0,0.0,6.944656115226881e-28,2.48099259601205e-16,1.0221671830801176e-16,3.9703185024079365e-32,8.473909670920696e-15,4.03437336565948e-13,1.713877058720297e-32,2.0946929012325257e-13,1.3313561277586024e-14,0.0,1.5116678201201546e-13,0.0,1.5336028958396989e-27,0.0,6.628876615566102e-14,0.0,2.637849280304541e-31,0.0,4.820429856331469e-38
0.0245,0.09015315825290306,298.0278239503278,1.3399830969218547,0.5408796578664218,2.4979270972824024e-40,0.29479028985934164,0.16430881747264933,9.098650846241684e-07,0.0,0.0,4.5948967721532214e-15,1.5496816025918196e-05,0.0,2.0138345322292633e-11,9.189745628698627e-07,1.474152552320313e-07,9.272778926815542e-26,1.036211895285838e-10,6.547279911212025e-25,3.7505008087182707e-06,1.3774227333232959e-24,2.1442808760932993e-09,2.5236460611179374e-30,0.0,4.4967551970116404e-11,1.7953611960655084e-09,2.3788795721381216e-09,0.0,4.537492636393317e-10,3.043622862955683e-10,1.6020003934197449e-10,3.574521140312004e-11,0.0,0.0,0.0,0.0,0.0,3.765951631991622e-24,2.5999445397172004e-10,1.524271392693885e-16,0.0,2.696314342164726e-11,0.0,0.0,3.425701579608611e-09,6.9468443798205e-30,5.678826949312568e-13,1.000711372654948e-30,0.0,0.0,4.319519306766955e-30,5.7233542073748595e-12,6.869742404882659e-11,0.0,1.8177825146807323e-31,4.855349655923088e-18,0.0,0.0,3.1898496391237112e-27,2.939998588023079e-16,4.627624545022322e-16,4.996709802354835e-31,3.6982343643495946e-14,4.109662651021744e-13,2.4696475523765134e-31,2.0947070892779768e-13,1.3744945072240666e-14,0.0,1.5294482079062744e-13,0.0,2.1623974327978265e-26,0.0,6.7034615912724e-14,0.0,8.542472733166998e-31,0.0,1.104628172057327e-36
0.025,0.09018440686388643,298.09226966877304,1.3395187990989297,0.5408631837034099,2.425938404284745e-40,0.2947937008445789,0.16430073034341247,2.8218787151892848e-06,0.0,0.0,1.4977360803786594e-14,2.3736910201153368e-05,0.0,3.2971728969794395e-11,2.955662649034732e-06,5.918306801315553e-07,1.0474875352632806e-24,4.190589036577327e-10,2.68982703762238e-24,1.2230457577588785e-05,2.4708913916229053e-23,1.0231305247469765e-08,4.1772663023086905e-29,0.0,2.4515271540949465e-10,1.028001440252282e-08,7.733764971284818e-09,0.0,2.321588032001468e-09,1.5062847783566238e-09,7.027401304066819e-10,1.9382997963656572e-10,0.0,0.0,0.0,0.0,0.0,4.6034021144516073e-23,9.851277542301748e-10,1.3242317438203278e-16,0.0,1.231831825570783e-10,0.0,0.0,1.3137343334398376e-08,1.8415623789068297e-28,5.678965475576845e-13,0.0,0.0,0.0,2.175305555580032e-29,4.467236409250532e-11,4.0996602153509474e-10,0.0,7.010636347945506e-31,4.895225156826308e-18,0.0,0.0,1.7327264200087534e-26,5.902465993987601e-16,2.457002464482692e-15,7.164738046985857e-30,2.543587828420142e-13,4.658966699073171e-13,4.085478689866873e-30,2.0947356464457292e-13,1.6575489848817876e-14,2.636348974257187e-16,1.6758927188990274e-13,0.0,3.4825824627410637e-25,0.0,7.194014132504232e-14,0.0,3.410365137047043e-30,0.0,1.5930228070794975e-35
0.025500000000000002,0.09027232384889051,298.31747010660683,1.3382142368494838,0.5408231117504197,2.2425416802061754e-40,0.2948014059771953,0.16427545772644436,9.08063815416077e-06,0.0,0.0,4.8212221393325235e-14,3.699734690087648e-05,0.0,7.673462022824589e-11,9.865618863700472e-06,2.465010653884758e-06,1.3932389988785338e-23,1.7575028359821108e-09,1.170887100662575e-23,4.1391349574226795e-05,3.695341990663543e-22,5.056068362630398e-08,7.121907673310298e-28,0.0,1.379908354316896e-09,6.083501890064682e-08,2.609408577627105e-08,4.6306180575619934e-18,1.229678790663947e-08,7.720743751745191e-09,3.1999567820086004e-09,1.0870966065268755e-09,0.0,0.0,0.0,0.0,0.0,5.817955770777988e-22,3.873601928780989e-09,8.790286327146166e-17,0.0,5.832246657440804e-10,0.0,0.0,5.228137475989405e-08,4.280427691636144e-27,5.679419890349048e-13,0.0,0.0,0.0,9.430904527052829e-29,3.0333350435220764e-10,2.5276885590374465e-09,0.0,2.8463716182951885e-30,5.037107183906279e-18,0.0,0.0,9.78004520780593e-26,2.50108921464518e-15,1.3480654423434702e-14,1.0643001369988259e-28,1.9106221345747253e-12,8.665298994621433e-13,6.95278636736229e-29,2.094796256201297e-13,3.513897647821545e-14,4.4203542723690804e-15,2.881977874579524e-13,2.342694998476332e-16,5.7824276026514595e-24,0.0,1.0419754731043844e-13,0.0,1.829489587056764e-29,0.0,2.3525756935879596e-34
