Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180),CH2F(89),C2HF(510),C2HFO(390),C2H2(70)
0.0,0.7623232142521428,3.76,0.0,0.821140907649517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.889810091183735e-23,0.7623232142521427,3.76,0.0,0.821140907649517,0.9999999999999996,1.2955749057191214e-53,4.713742535923055e-38,1.6461808656275566e-31,6.286281087142244e-26,2.7685608416775207e-22,1.698377921562066e-20,1.2817707059748973e-38,1.3942333447319757e-54,3.961280707917214e-49,6.58219464375044e-63,7.514119332692351e-76,6.817857436893052e-24,1.383492598311734e-18,5.523560253660199e-38,4.4953527343262044e-41,5.8480476838485544e-43,3.766029697287312e-61,7.838760106206162e-38,4.689973843194991e-38,3.4111666781618256e-37,5.787965978775737e-54,1.1554102971492757e-43,1.8379266667764987e-40,1.6472847874575935e-58,1.8954572403423082e-59,6.798807322411514e-62,3.765383589479423e-60,1.1719137844726098e-46,7.728899446685664e-58,7.669993112044051e-48,6.210151938005531e-60,2.9138640307684655e-58,1.6983779215785014e-20,2.8985598627753893e-40,3.5036266595936395e-39,2.830243056045576e-38,2.6646337361119356e-34,3.699585423803404e-41,2.2307050728341887e-38,1.0213989047030313e-43,3.511822139094358e-38,4.941717276468632e-43,4.183254370933624e-16,1.5128186199781588e-56,8.090320257056719e-84,1.5033478952141116e-64,1.6556024505867323e-57,2.892218682320716e-65,2.1396823744223635e-73,2.4411004174732716e-66,9.386091395695636e-76,4.5788820757952776e-91,2.7448351478926653e-42,5.666284825061132e-74,1.2929086888542042e-57,2.860922781701815e-62,2.0763542245115812e-77,1.1280256195421033e-83,1.459306882936365e-85,1.3834925983117337e-18,2.7685608416775207e-22,1.7145615786358787e-43,6.817857436893072e-24,1.4540097188958007e-77,1.2406884142670953e-81,1.4267765454267645e-104
1.6491468255314458e-22,0.7623232142521428,3.76,0.0,0.821140907649517,0.9999999999999988,1.538106528070769e-52,2.8471004916995805e-37,4.617940661930424e-31,1.7601587044035166e-25,7.751970356697058e-22,4.755458180373782e-20,7.741895064088377e-38,1.6552338268658028e-53,4.702832456439301e-48,7.81438148105988e-62,2.3612547664073988e-74,1.9090000823300488e-23,3.873779275272855e-18,3.336230393210757e-37,2.7151930515330257e-40,3.532220801044506e-42,4.765436542300564e-60,4.734611104148519e-37,2.8327442012899425e-37,2.0603446736097406e-36,6.871473210002226e-53,6.978678195822189e-43,1.1101077067330051e-39,1.9556564996696548e-57,2.8643322688943785e-58,8.071544053166658e-61,4.47026339742992e-59,7.078359262894828e-46,1.1678777309412842e-56,4.632675839713027e-47,9.383657841843689e-59,4.4025208446709487e-57,4.7554581804198006e-20,1.7507301571164463e-39,2.116190502394443e-38,1.7094668058513113e-37,1.609438776611605e-33,2.234549595976975e-40,1.3473458639918386e-37,6.169249384406662e-43,2.1211405720128193e-37,2.9847972349865756e-42,1.1713112238611932e-15,1.79601826563816e-55,2.2815362104074216e-82,1.7847746214420126e-63,2.501946423296152e-56,3.433642019677043e-64,2.5402382419311794e-72,2.89807441602013e-65,2.6381316254233853e-74,2.369768657454407e-89,1.6578804293294336e-41,1.5977130885811e-72,1.9470355840444735e-56,3.396487526437629e-61,4.6480264308630385e-76,2.5233481898922092e-82,4.1147059862952077e-84,3.873779275272853e-18,7.751970356697058e-22,1.0355951934961142e-42,1.9090000823300603e-23,3.252561580781145e-76,2.789456655757384e-80,8.68354965658007e-103
3.7694784583575904e-22,0.7623232142521428,3.76,0.0,0.821140907649517,0.9999999999999972,1.510122110109377e-51,1.3707563294495075e-36,1.059599720722922e-30,4.023219895796855e-25,1.7718789386736134e-21,1.0869618697997208e-19,3.7273892129749974e-37,1.6251183866195933e-52,4.617268793148259e-47,7.672206076753524e-61,5.2670088402801375e-73,4.363428759611511e-23,8.854352629195097e-18,1.6062513217643817e-36,1.3072485751420577e-39,1.7006122664631276e-41,4.8077408568251945e-59,2.279511438884747e-36,1.363844393601356e-36,9.919672700094564e-36,6.74645314485998e-52,3.359933145641214e-42,5.34469074698606e-39,1.9200751482605716e-56,3.081289474430182e-57,7.924689815001959e-60,4.3889311118970594e-58,3.407925292133024e-45,1.2563104793613736e-55,2.2304339970389412e-46,1.0094124053621327e-57,4.7357175978902475e-56,1.086961869810239e-19,8.429012080952502e-39,1.0188546326096576e-37,8.230346806977287e-37,7.748754904613453e-33,1.0758394412416085e-39,6.486890351801655e-37,2.9702280148769356e-42,1.0212378780483792e-36,1.4370513839963615e-41,2.6772827973959696e-15,1.763341383446398e-54,4.962791007748694e-81,1.7523023074034702e-62,2.691479791826501e-55,3.371170096191793e-63,2.49403635081048e-71,2.845346647811389e-64,5.731708779422709e-73,1.034667218089731e-87,7.981980610105828e-41,3.47515763078788e-71,2.092188399592851e-55,3.3346915943553243e-60,9.186639219859094e-75,4.985710802694708e-81,8.94979317502673e-83,8.854352629195088e-18,1.7718789386736134e-21,4.98594507067377e-42,4.3634287596115663e-23,6.426513580119885e-75,5.523950951601422e-79,3.9315474646084734e-101
8.010141724009879e-22,0.7623232142521427,3.76,0.0,0.821140907649517,0.9999999999999942,1.3356859048068234e-50,5.986453020654142e-36,2.2690258108599063e-30,8.549342278642548e-25,3.7652427446814286e-21,2.3097939733244025e-19,1.6278487965881156e-36,1.4373988090848835e-51,4.0839219586342365e-46,6.785979389916778e-60,9.863930736659537e-72,9.272286114174337e-23,1.8815499337039585e-17,7.014921522148409e-36,5.709097972594257e-39,7.42702055848733e-41,4.3036266792392165e-58,9.955225334881778e-36,5.95626678086025e-36,4.3321816812654935e-35,5.967161405476494e-51,1.467371078947866e-41,2.3341668668061578e-38,1.6982847244772838e-55,2.832225565922097e-56,7.009298397111489e-59,3.881959865409382e-57,1.4883305133340424e-44,1.1547516050975282e-54,9.740891252874976e-46,9.278098851299258e-57,4.352826759460995e-55,2.309793973346754e-19,3.6811710257264716e-38,4.449605857682139e-37,3.594408681174528e-36,3.384084844862103e-32,4.6984734882259704e-39,2.83299544249925e-36,1.2971766089733832e-41,4.46001411664715e-36,6.275980941107758e-41,5.6892259444619806e-15,1.5596554844519916e-53,9.200142313416474e-80,1.5498915475939997e-61,2.473933629819094e-54,2.9817617728892834e-62,2.2059742100516356e-70,2.516676888905162e-63,1.0620606923914372e-71,3.8517081747101846e-86,3.485940637858774e-40,6.442197059867841e-70,1.9222321176122715e-54,2.949496951030942e-59,1.634952156565244e-73,8.87180598790776e-80,1.6590972497981284e-81,1.881549933703955e-17,3.7652427446814286e-21,2.1774932048682153e-41,9.272286114174579e-23,1.1435637548520128e-73,9.839752886132207e-78,1.4930334701621652e-99
1.6491468255314458e-21,0.7623232142521428,3.76,0.0,0.821140907649517,0.9999999999999882,1.1227244841097264e-49,2.499226292575079e-35,4.743137115442771e-30,1.760158704457e-24,7.75197035669706e-21,4.755458180373751e-19,6.795948283078865e-36,1.2082203088112244e-50,3.43278248098956e-45,5.704024563152254e-59,1.703702811982251e-70,1.909000082329959e-22,3.873779275272855e-17,2.9285916464905976e-35,2.383436019739733e-38,3.100634881976203e-40,3.6377712140945844e-57,4.156110608310463e-35,2.4866241316643333e-35,1.8086005727613774e-34,5.01575870974751e-50,6.125985409540576e-41,9.744687187249032e-38,1.4275106402541566e-54,2.4230246627111536e-55,5.891737644681234e-58,3.2630211725048458e-56,6.213486948490779e-44,9.879089041604321e-54,4.0666303485246854e-45,7.937555408032634e-56,3.723891592231899e-54,4.755458180419767e-19,1.5368164392450654e-37,1.8576228549149427e-36,1.5005948683123464e-35,1.4127888068864983e-31,1.9615201916966466e-38,1.1827198296165342e-35,5.415456992740251e-41,1.8619680981454114e-35,2.6200984999770038e-40,1.1713112238579834e-14,1.3109844109735662e-52,1.581266648250376e-78,1.3027772352152477e-60,2.116502305561864e-53,2.5063504348962873e-61,1.8543001480709316e-69,2.1154185687038832e-62,1.8250258767748544e-70,1.3269568639672483e-84,1.4553115954442713e-39,1.107236964471996e-68,1.6441859511805408e-53,2.4792299078720552e-58,2.7577801235339174e-72,1.4963597529093184e-78,2.851530814107207e-80,3.873779275272841e-17,7.75197035669706e-21,9.090605489933237e-41,1.9090000823300607e-22,1.9287874193501768e-72,1.660446431833037e-76,5.239258865366987e-98
3.3454121317923615e-21,0.7623232142521428,3.76,0.0,0.821140907649517,0.9999999999999761,9.20477364239951e-49,1.0210154882753555e-34,9.912396221844079e-30,3.5706076577369155e-24,1.572542558072832e-20,9.646786594472392e-19,2.7763666199698326e-35,9.905720067598336e-50,2.8144024778968573e-44,4.676503959514069e-58,2.8306914362502473e-69,3.8725430241548527e-22,7.858237958410649e-17,1.1964252451837797e-34,9.737113836659759e-38,1.266710520512077e-39,2.990548254622675e-56,1.6979067940446422e-34,1.0158670943333962e-34,7.3887234715654495e-34,4.112222029624745e-49,2.5026649319126406e-40,3.981022677304598e-37,1.1703594694405218e-53,2.0034021083319637e-54,4.830402484901876e-57,2.67522190065447e-55,2.5384121871322347e-43,8.168200727177606e-53,1.6613511884796423e-44,6.562903392387304e-55,3.0789686350660612e-53,9.646786594565734e-19,6.278396605179161e-37,7.588995489732618e-36,6.130419669091405e-35,5.7717032577674745e-31,8.013450011341949e-38,4.831796415960471e-35,2.2123908835469917e-40,7.606747226143477e-35,1.0703957289465683e-39,2.3760884826758868e-14,1.0748242264563815e-51,2.6208313477530092e-77,1.0680954903590702e-59,1.7499650353795032e-52,2.054857514102576e-60,1.520342563179755e-68,1.7343479547986925e-61,3.024544564547782e-69,4.4036626611607815e-83,5.945422724008805e-39,1.8351546474104494e-67,1.359318024656215e-52,2.032622467247457e-57,4.529819303200999e-71,2.4577753874611965e-77,4.7261769665415586e-79,7.85823795841059e-17,1.572542558072832e-20,3.713808961793363e-40,3.8725430241552655e-22,3.1680391280685733e-71,2.7279581069217645e-75,1.7843230590301123e-96
6.7379427443141925e-21,0.7623232142521428,3.76,0.0,0.8211409076495169,0.999999999999952,7.454264345659016e-48,4.127107850042068e-34,2.1135060423588936e-29,7.191505564674449e-24,3.167233602879084e-20,1.9429443422669447e-18,1.1222517780748818e-34,8.021908933877227e-49,2.2791760949124025e-43,3.787154152956586e-57,4.614712616132919e-68,7.799628907804009e-22,1.5827155324686237e-16,4.836142132971401e-34,3.935897095833699e-37,5.120246453496133e-39,2.425048192092749e-55,6.863210733468286e-34,4.106297218478044e-34,2.9866401627310733e-33,3.330184016140489e-48,1.011617184606959e-39,1.609193017242856e-36,9.477874419712848e-53,1.6291327138744424e-53,3.9117851689102774e-56,2.1664640549607756e-54,1.0260668140591444e-42,6.642236817081972e-52,6.715447132866882e-44,5.336835771172561e-54,2.503759456545544e-52,1.9429443422857433e-18,2.537828290744089e-36,3.0675933145427144e-35,2.4780136472135717e-34,2.333014738384986e-30,3.2391646186129322e-37,1.9530893651087646e-34,8.942837682182476e-40,3.0747688502229535e-34,4.326710677931138e-39,4.785643000289023e-14,8.704205252815663e-51,4.267342734792408e-76,8.649714242971271e-59,1.4230425040865323e-51,1.6640768911192474e-59,1.2313347348979598e-67,1.404519946230577e-60,4.92444753526297e-68,1.4348656780439343e-81,2.4032349242870645e-38,2.9880661833405585e-66,1.1053247195152009e-51,1.6460703732927394e-56,7.343158788045677e-70,3.98415981587276e-76,7.6953332246338255e-78,1.5827155324686e-16,3.167233602879084e-20,1.501180961055514e-39,7.799628907805676e-22,5.135527946672505e-70,4.4226767675696485e-74,6.081711190794687e-95
1.3523003969357855e-20,0.762323214252143,3.76,0.0,0.8211409076495167,0.9999999999999039,5.999840452003532e-47,1.6594919149038406e-33,4.711697278284702e-29,1.443330138006032e-23,6.356615692491587e-20,3.899475707906265e-18,4.512525041212636e-34,6.456730200289182e-48,1.8344792050240476e-42,3.0482311372470666e-56,7.452750175944834e-67,1.5653800675099792e-21,3.1764990057237407e-16,1.9445914815418626e-33,1.5826069115303618e-36,2.0588285792879147e-38,1.9531778448473395e-54,2.759666850430057e-33,1.6511240514054352e-33,1.2009148737134565e-32,2.6804218156425447e-47,4.067668246637955e-39,6.470494347453548e-36,7.628617889424137e-52,1.3139543108827336e-52,3.1485450215494694e-55,1.7437587495441565e-53,4.125769710616665e-42,5.357201298865985e-51,2.7002517579884484e-43,4.304348098406077e-53,2.019370040079286e-51,3.899475707943987e-18,1.0204495939383057e-35,1.233465780007513e-34,9.963983888360197e-34,9.380949653328702e-30,1.302453846769547e-36,7.853286437107046e-34,3.595875699990106e-39,1.2363510313430705e-33,1.739751334012236e-38,9.604752035424622e-14,7.005901636165102e-50,6.887507018097945e-75,6.96204259460045e-58,1.1477353328006958e-50,1.3393938540668449e-58,9.912815648924551e-67,1.1304798535464597e-59,7.947887724840182e-67,4.6330884702154045e-80,9.663301933345974e-38,4.822744969074331e-65,8.914644906042816e-51,1.3249006413433832e-55,1.1826032366878712e-68,6.416366558874508e-75,1.2420282303430948e-76,3.1764990057236465e-16,6.356615692491586e-20,6.036182620083402e-39,1.5653800675106501e-21,8.270609438609281e-69,7.123017252566114e-73,2.1318620669258678e-93
2.709312641944518e-20,0.7623232142521428,3.76,0.0,0.8211409076495164,0.9999999999998075,4.814494106421924e-46,6.65530480531936e-33,1.13227133324432e-28,2.8916893016875306e-23,1.2735379871716592e-19,7.812538439184545e-18,1.8097243691415376e-33,5.181119355067817e-47,1.4720540305662893e-41,2.446013516721275e-55,1.1980059844227345e-65,3.1362144209681256e-21,6.364065952233974e-16,7.798681580779502e-33,6.346961553477835e-36,8.256823436525939e-38,1.5678170875903962e-53,1.1067498361389856e-32,6.621745929470811e-33,4.8162057658955927e-32,2.1508696999692304e-46,1.6313169297927936e-38,2.5949576332619117e-35,6.121485422689693e-51,1.0554394617704899e-51,2.5265090913414912e-54,1.3992565784168579e-52,1.654618327366261e-41,4.303194093738376e-50,1.0829217278458484e-42,3.457485160267784e-52,1.622066770554588e-50,7.812538439260096e-18,4.092459278964111e-35,4.9467494588472765e-34,3.9960031892350784e-33,3.762180384211761e-29,5.2234224621771706e-36,3.1495191080972077e-33,1.4421069851784415e-38,4.9583206071445004e-33,6.977180972039111e-38,1.9242970105333108e-13,5.6217948466787256e-49,1.1068037792022093e-73,5.586600830309505e-57,9.219234358303657e-50,1.0747792168957138e-57,7.957559778595287e-66,9.071389039411556e-59,1.277189021527498e-65,1.489263955627205e-78,3.875416277735745e-37,7.750016994600338e-64,7.160648051199892e-50,1.0631493254005833e-54,1.898348236386041e-67,1.0299689338525284e-73,1.9959047025103948e-75,6.364065952233596e-16,1.2735379871716585e-19,2.420779205532813e-38,3.136214420970816e-21,1.3276159812657956e-67,1.143436689277935e-71,7.925705211110561e-92
