Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180),CH2F(89),C2HF(510),C2HFO(390),C2H2(70),HCCO(68)
0.0,0.16809475691620074,3.76,0.0,0.6897506909388653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.567830013761737e-21,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999999996,2.7878936823346905e-53,4.7212288577595936e-39,1.3201337054169622e-36,2.4408426791567306e-33,1.8019776363187673e-27,4.026182248876901e-23,1.0383130211645648e-41,8.21895983930277e-57,2.1865270985672303e-50,1.920557058129335e-70,1.6639362193545198e-81,6.725346757624482e-31,2.588181327974404e-22,5.45222369406571e-42,7.760703075995459e-46,1.3637239625850248e-50,2.6963737814528324e-69,2.416299169838543e-39,4.721231531703035e-39,8.170183561330103e-42,2.765433396597839e-54,6.539997372955163e-51,1.9887057433626593e-46,7.422988095465575e-70,8.662362034376005e-66,5.122446682153731e-71,4.867967310479006e-69,2.350315265681051e-56,1.1906853902218584e-61,1.34017463508674e-54,9.875066101575287e-69,3.629120129457556e-66,4.0261822488769e-23,4.239804325415098e-42,5.137490956635687e-41,1.6644816579034073e-39,1.2041624727901359e-36,4.364399873714402e-46,1.2249002725628166e-37,1.8245017843576596e-49,1.3021036119601226e-40,2.0665503698457664e-48,4.213074886540136e-16,4.262490064314665e-59,1.27612942789495e-88,1.1166943576234304e-73,2.610071927792247e-63,1.1350131674391696e-68,1.0320614148908705e-83,5.39370062562536e-78,5.052781299735167e-76,4.588785450850478e-94,2.7584706660422946e-47,1.6630705937416058e-79,4.72586520891947e-61,6.250787494633504e-71,8.296479008563593e-83,1.0358126149038536e-99,4.724672035009074e-102,2.588181327974392e-22,1.8019776363187673e-27,3.309975093939878e-51,6.72534674098346e-31,6.445552336375234e-93,1.6762050530239505e-95,8.785277615186787e-120,3.2514575725926214e-102
4.3899240385328635e-21,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999999988,3.3097873796684056e-52,2.8516222300874163e-38,7.597865894898361e-36,6.834367752341016e-33,5.0455373816925474e-27,1.1273310296855316e-22,6.271410647833969e-41,9.75754912122061e-56,2.5958449714095244e-49,2.2800853393959826e-69,5.231681249231942e-80,1.88309709752654e-30,7.246907718328331e-22,3.293143111215671e-41,4.687464657901243e-45,8.236892734010066e-50,3.271625653630453e-68,1.4594446985824728e-38,2.851623845148682e-38,4.934790871043358e-41,3.2831225284151433e-53,3.950158717700629e-50,1.201178268991059e-45,8.812571466936818e-69,1.3090550201799641e-64,6.081368701052981e-70,5.779250791000554e-68,1.4203616589951058e-55,1.79936376153616e-60,8.094654809404769e-54,1.492319943169734e-67,5.484325716692704e-65,1.1273310296855274e-22,2.560841812772982e-41,3.1030445377813038e-40,1.0053469213665057e-38,7.273141335652329e-36,2.636097523676606e-45,7.3983976462793465e-37,1.1019990784305265e-48,7.864705816233151e-40,1.2481964233598547e-47,1.1796609682161989e-15,5.060428204350254e-58,3.598886169678435e-87,1.3257396861997844e-72,3.944340697279608e-62,1.3474876344387832e-67,2.3250881589246554e-82,6.4034047720618105e-77,1.4249651367546199e-74,2.3752872769444596e-92,1.6661162827433353e-46,4.690124703687427e-78,7.141727325641427e-60,7.420934913742364e-70,1.8564386480547097e-81,2.317071387035919e-98,1.3324329699382118e-100,7.246907718328259e-22,5.0455373816925474e-27,1.9992249582441458e-50,1.8830970874753627e-30,1.4418442754378066e-91,4.0410822326926906e-94,6.653088561929593e-118,1.9780203125376827e-100
1.0034112088075116e-20,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999999972,3.249568876131365e-51,1.3729333518374231e-37,3.575929635278466e-35,1.5621450901518272e-32,1.1532656872440109e-26,2.5767566392812132e-22,3.019414265546551e-40,9.58001958869243e-55,2.5486159860605385e-48,2.2386013069085394e-68,1.1671592786932007e-78,4.304221962621464e-30,1.6564360499036183e-21,1.5855066502342818e-40,2.256812454499456e-44,3.965709283192025e-49,3.242990075725025e-67,7.026597985890374e-38,1.3729341294193163e-37,2.3758893796347566e-40,3.2233891669944237e-52,1.9018316840107657e-49,5.7831563016988e-45,8.652234924074934e-68,1.408221265958427e-63,5.970723852718598e-69,5.67410269709395e-67,6.846065016592835e-55,1.9356734249385157e-59,3.897227858668359e-53,1.6053696805384857e-66,5.899787127476232e-64,2.5767566392811836e-22,1.2329350981641035e-40,1.4939823701496804e-39,4.840312661075823e-38,3.5017044708735764e-35,1.2691674832058095e-44,3.5620099926125734e-36,5.30565119889572e-48,3.786517303571054e-39,6.009528475106668e-47,2.6963679272804147e-15,4.9683584189524157e-57,7.82836122145426e-86,1.3016193811665294e-71,4.243141731573185e-61,1.3229713542201649e-66,4.604878046230895e-81,6.286907603479801e-76,3.0996103975510754e-73,1.03714334617689e-90,8.021632703657833e-46,1.0202045316984445e-76,7.682744299965847e-59,7.28591790408394e-69,3.66849576458658e-80,4.578142600862045e-97,2.8983326433172796e-99,1.6564360499035834e-21,1.1532656872440109e-26,9.625407595314212e-50,4.304221914229373e-30,2.8488413167242847e-90,8.24221811425934e-93,6.951132731083829e-116,8.929729204253013e-99
2.1322488187159622e-20,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999999942,2.8742068707440753e-50,5.995960649364323e-37,1.5450602158425144e-34,3.3195749211107494e-32,2.450689585393523e-26,5.475607858472567e-22,1.3186575368789937e-39,8.473418835929942e-54,2.254221977477079e-47,1.9800175045502897e-67,2.1859601362962395e-77,9.146471779078278e-30,3.519926606045189e-21,6.924324091463176e-40,9.856092906513983e-44,1.7319294324775792e-48,2.880655220150444e-66,3.0686999456948373e-37,5.9959640452636134e-37,1.0376133122888842e-39,2.8510512143884703e-51,8.305801251934141e-49,2.5256562940707673e-44,7.65280380690173e-67,1.2943978175221781e-62,5.281037631433637e-68,5.018679578410637e-66,2.996524053737185e-54,1.779217364661578e-58,1.702021806877737e-52,1.475611311502893e-65,5.422920736235107e-63,5.47560785847242e-22,5.384551496722235e-40,6.524613514514222e-39,2.113891705426467e-37,1.529286340443329e-34,5.542787838890461e-44,1.5556233461546759e-35,2.317117276360195e-47,1.6536715871800732e-38,2.624518969285811e-46,5.729781845168226e-15,4.3944567566790565e-56,1.4512460681711815e-84,1.1512681246051672e-70,3.900178280261147e-60,1.1701531881170963e-65,8.200469526067116e-80,5.560710630532702e-75,5.746155272927719e-72,3.861024578440304e-89,3.5032577529074496e-45,1.8912872374140143e-75,7.061765609732943e-58,6.444311876169311e-68,6.528289203630649e-79,8.146560149021839e-96,5.3730201795422124e-98,3.5199266060450365e-21,2.450689585393523e-26,4.2036683919779985e-49,9.1464715677373e-30,5.069360910103508e-89,1.4877197007229945e-91,5.5930963245326426e-114,3.371695838943194e-97
4.389924038532864e-20,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999999881,2.4159440588201318e-49,2.5031955403928105e-36,6.416949293099639e-34,6.834487387522486e-32,5.0455373816925477e-26,1.1273310296855238e-21,5.505135638214488e-39,7.122419093386629e-53,1.8948093990726745e-46,1.664324017482826e-66,3.7757025095751384e-76,1.883097175705976e-29,7.24690771832833e-21,2.8907690025933918e-39,4.114724770892566e-43,7.230464449577178e-48,2.4262280675024e-65,1.2811218198482938e-36,2.5031969581096327e-36,4.3318313242168695e-39,2.396480334252473e-50,3.4675107191974793e-48,1.0544117851310519e-43,6.432642715721911e-66,1.107384530831965e-61,4.4390303356082677e-67,4.218502583782685e-65,1.2565543827813315e-53,1.5221579144221874e-57,7.105606097317754e-52,1.2624165417528914e-64,4.639422832292728e-62,1.1273310296854594e-21,2.2479442564356394e-39,2.723897704836451e-38,8.825081749206127e-37,6.384469430732008e-34,2.3140048123892298e-43,6.494421245127142e-35,9.673508552310305e-47,6.903753350529027e-38,1.0956850057157442e-45,1.1796609679981368e-14,3.693805689845456e-55,2.4943210663190183e-83,9.677111052170863e-70,3.336684631626014e-59,9.835842741992248e-65,1.3835250250431675e-78,4.6741325915029686e-74,9.876172750301693e-71,1.3301815001002584e-87,1.4625411534659862e-44,3.250639514682841e-74,6.041489146363077e-57,5.416832431514936e-67,1.1011237035596464e-77,1.3740364417617514e-94,9.23484881600797e-97,7.24690771832769e-21,5.0455373816925477e-26,1.754948815127872e-48,1.8830970874752783e-29,8.550218128257613e-88,2.5264020842447456e-90,3.995560038110675e-112,1.1697979175740084e-95
8.905274478166667e-20,0.16809475691620074,3.76,0.0,0.6897506909388653,0.999999999999976,1.980736904619562e-48,1.0226370555135031e-35,2.6148545738125167e-33,1.386452353832152e-31,1.0235232974290597e-25,2.2868715173620442e-21,2.2490275363632644e-38,5.839389491198636e-52,1.5534792248230934e-45,1.364513383596534e-65,6.273386177461863e-75,3.8199973093294144e-29,1.4700869942894612e-20,1.1809734610291986e-38,1.6809993290727294e-42,2.9538806518765007e-47,1.9911038585318867e-64,5.233800653836216e-36,1.022637634693583e-35,1.7696944401180473e-38,1.96477936699509e-49,1.4165930653223972e-47,4.307616188354687e-43,5.27386914225279e-65,9.15606923768285e-61,3.6393852640487647e-66,3.458583289374643e-64,5.178893923714204e-53,1.2585495992887474e-56,2.9028720204325953e-51,1.0437904086058551e-63,3.835964503782967e-61,2.286871517361775e-21,9.183585787273476e-39,1.1128010908563339e-37,3.605333849440345e-36,2.6082640825612495e-33,9.45346469692191e-43,2.6531829863811908e-34,3.951943922423416e-46,2.82040850757937e-37,4.4762307599131835e-45,2.3930265345757727e-14,3.028405074832322e-54,4.134154140372198e-82,7.933894690234717e-69,2.75883537858215e-58,8.064018342495248e-64,2.2727139910450013e-77,3.832169494952114e-73,1.6369032037722864e-69,4.414387406675243e-86,5.974957855071312e-44,5.387696589003626e-73,4.995220053843145e-56,4.441046499694086e-66,1.8086251193903e-76,2.256858981576156e-93,1.530608461367907e-95,1.4700869942891997e-20,1.0235232974290596e-25,7.169538624172888e-48,3.819996948878224e-29,1.4043758950362625e-86,4.163504286589865e-89,2.6987472042256e-110,3.895915475853777e-94
1.7935975357434271e-19,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999999517,1.6040520994442287e-47,4.1336624840141053e-35,1.0556301179022256e-32,2.7925440711821863e-31,2.0614624159486696e-25,4.605952492715029e-21,9.090928890545678e-38,4.728889006375072e-51,1.2580477527706993e-44,1.1050183151796135e-64,1.0227202780207008e-73,7.693798128684858e-29,2.960879439202718e-20,4.773683550890112e-38,6.7948680567801e-42,1.1940057879595304e-46,1.6132196408472903e-63,2.1155859055530878e-35,4.133664825124289e-35,7.153387876752997e-38,1.591129271303094e-48,5.726110170007687e-47,1.7412073361908675e-42,4.270915965688834e-64,7.44556336070583e-60,2.947268544262661e-65,2.8008504175606663e-63,2.1301409095246492e-52,1.0234316326770204e-55,1.1733873478249752e-50,8.487930251069975e-63,3.1193426237989216e-60,4.605952492713927e-21,3.7121522191023976e-38,4.498119929511123e-37,1.4573335859191362e-35,1.0543020447255559e-32,3.8212415760750883e-42,1.0724589838411934e-33,1.5974389519208196e-45,1.1400542131862768e-36,1.809364040595711e-44,4.819757666191074e-14,2.4524809462337046e-53,6.731398226023883e-81,6.425096914734493e-68,2.243439112283871e-57,6.530451461205021e-63,3.6843641478949634e-76,3.1034439788884047e-72,2.6652725269502728e-68,1.438363864448154e-84,2.4151735187999026e-43,8.772467213386979e-72,4.0620299879583985e-55,3.5964745991517815e-65,2.9318802875285217e-75,3.6584656638209377e-92,2.4921990912570575e-94,2.9608794392016605e-20,2.061462415948669e-25,2.898042214637718e-47,7.693796671683518e-29,2.276553844520011e-85,6.760441681870902e-88,1.773905989675887e-108,1.2716916990644748e-92
3.5997377115969485e-19,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999999032,1.2910806790293906e-46,1.6621275043386934e-34,4.241970365426119e-32,5.60506545464318e-31,4.137340652987889e-25,9.244114443420772e-21,3.6554225235304964e-37,3.806221276386081e-50,1.0125862788535012e-43,8.894148740662176e-64,1.6516959800497622e-72,1.5441401975830018e-28,5.942464329029231e-20,1.9194771603892045e-37,2.7321865607152275e-41,4.801044758964412e-46,1.2987679515783041e-62,8.506677879377633e-35,1.662128445666041e-34,2.8763458034985186e-37,1.2806792619632292e-47,2.3024553806679398e-46,7.001318117747523e-42,3.437604730480128e-63,6.0051165513577535e-59,2.3722181309927352e-64,2.254368084528772e-62,8.860733375854227e-52,8.254346881096718e-55,4.718139434726015e-50,6.845823242536672e-62,2.515862830208756e-59,9.244114443416315e-21,1.4926400894947054e-37,1.808674239147178e-36,5.859874250279044e-35,4.2393021519492684e-32,1.5365044294453828e-41,4.312310405563142e-33,6.423232027750222e-45,4.584107849578145e-36,7.275373217789397e-44,9.673219923261792e-14,1.973970026437598e-52,1.0864503806913933e-79,5.171514466055977e-67,1.8094149182190867e-56,5.25627600951851e-62,5.933704668112782e-75,2.4980082584280683e-71,4.3017606033023216e-67,4.644389754339895e-83,9.71130667623042e-43,1.4158797440269764e-70,3.276174341908137e-54,2.894755646503202e-64,4.721719695496024e-74,5.891846167468811e-91,4.022419378099531e-93,5.942464329024977e-20,4.137340652987886e-25,1.1652900861024099e-46,1.5441396117291705e-28,3.6663197843566666e-84,1.0896648840192714e-86,1.150473743277692e-106,4.109887826262198e-91
7.21201806330399e-19,0.16809475691620074,3.76,0.0,0.6897506909388653,0.9999999999998062,1.0360109355287647e-45,6.6658746972922994e-34,1.7006854566402427e-31,1.1231460016608999e-30,8.289097127066328e-25,1.852043834483136e-20,1.4659879247039603e-36,3.0542528668724506e-49,8.12536717910669e-43,7.136994223861767e-63,2.655053047730359e-71,3.0936618503857443e-28,1.1905634108682257e-19,7.697961920297887e-37,1.0957290108769239e-40,1.9254336802087694e-45,1.0423028087075465e-61,3.4115583000953875e-34,6.665878472253419e-34,1.153543314912458e-36,1.027664452239978e-46,9.233969443547667e-46,2.8078417068269647e-41,2.7584613034299188e-62,4.823636173091347e-58,1.9035556530448993e-63,1.8089884126861257e-61,3.7905916005853687e-51,6.630340305520394e-54,1.8921853516049727e-49,5.498937519719521e-61,2.020877842973532e-58,1.8520438344813436e-20,5.9861544293131625e-37,7.253592639810486e-36,2.3500716613638332e-34,1.7001497703516622e-31,6.162069965532311e-41,1.7294293454256517e-32,2.5760035377398354e-44,1.8384322767246678e-35,2.9177500507518646e-43,1.9380144412763705e-13,1.5839866297472054e-51,1.7458965886017124e-78,4.149874848196544e-66,1.4534204625163098e-55,4.217831330917853e-61,9.525027104924218e-74,2.0046332110158632e-70,6.91281380494153e-66,1.492897585344258e-81,3.894668470613656e-42,2.275280737521273e-69,2.631601397214922e-53,2.3228591056094815e-63,7.579419338071657e-73,9.457717946197828e-90,6.46391995344144e-92,1.1905634108665196e-19,8.289097127066317e-25,4.673334896397752e-46,3.093659500849849e-28,5.885255221249843e-83,1.7499392822814193e-85,7.411955179694563e-105,1.3216783325163117e-89
