Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),C2HF(57),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),FC1OO1(129),[O]C([O])F(131),CHO2(135),CFO2(136),CF2O2(144),[O]OC(F)F(163),FC(F)C(F)F(164),[O]C(F)F(170),[O]O[C](F)F(171),O2(177),O[C](F)F(232),C2F4O2(248),FC1OC1(F)F(275),F[C]C(F)F(316),C2HF4O2(419),CF3O2(433),C2HF3O(474),C2H2F3O2(649),C2HF2O3(898),FC1(F)OO1(924),C2HF2O(1009),C2H2F3(1097),FC1(F)CO1(1188),C2H3F2O2(1290),[C]#CF(2151),C2HF(2152),CHF(86),CF2(87),F[C]C(F)F(180),CH2F(89),C2HF(510),C2HFO(390),C2H2(70),HCCO(68),C2HFO3(2756)
0.0,0.3046197545558436,3.76,0.0,0.9249352692201829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2382529033646395e-22,0.3046197545558436,3.76,0.0,0.9249352692201829,0.9999999999999996,2.2669520717316677e-53,2.557830835994547e-38,1.9991914823310757e-33,2.0091518078960714e-28,6.535430654903197e-24,2.6684877870348582e-21,1.4781197947404213e-39,4.2615924209832304e-55,1.6236574239761097e-49,3.1616194229969706e-65,1.7926331680039064e-77,4.170744515867533e-26,1.1850573501255687e-19,3.437563972371816e-39,1.4415584327496892e-42,1.888777870947014e-45,1.126489296270498e-63,3.624170328135713e-38,2.557794128325101e-38,1.336975891144102e-38,1.132206807766552e-53,5.795136199395831e-46,3.773930447433378e-42,4.151422402974556e-62,2.2437044127313226e-61,1.4554221048246161e-64,9.589660284984075e-63,7.801834737273593e-50,1.097304122521487e-58,7.118870324608153e-50,1.6157090934700864e-62,1.4428614015428574e-60,2.6684877870367928e-21,1.4846087410855261e-40,1.9350017704783705e-39,1.9432263564313864e-38,6.428389116261511e-35,1.7899556748060883e-42,8.335930797707086e-38,2.7373725485483703e-45,6.400412379754226e-39,1.6309150190994764e-44,4.2426403559374373e-16,3.5437515517602345e-57,5.536048972895479e-85,1.6618961347561498e-67,3.166995858176044e-59,6.169027333060161e-66,3.4348601590563962e-77,3.8399825157003e-70,3.6537943843006024e-75,1.7808836721110862e-91,1.092956037072947e-43,1.9903662197071085e-75,2.696337472929389e-58,6.828280169189104e-65,1.4038058950522126e-78,7.266419312608466e-89,9.66143111718903e-91,1.1850573501255682e-19,6.535430654903197e-24,5.6131946588461345e-46,4.1707445158657486e-26,1.7495660527169007e-82,4.162373704687201e-86,1.1832144469310434e-109,2.454154168676772e-96,1.678234945793108e-103
3.467108129420991e-22,0.3046197545558436,3.76,0.0,0.9249352692201829,0.9999999999999988,2.6913254995614053e-52,1.54492982494169e-37,5.80601996132747e-33,5.625625063490845e-28,1.8299205833728952e-23,7.4717658036976e-21,8.927843560232142e-39,5.0593625221913206e-54,1.9276060937443726e-48,3.7534745789803576e-64,5.636183723431282e-76,1.1678084644434876e-25,3.3181605803515936e-19,2.076288639312575e-38,8.707012933808121e-42,1.1408218340519654e-44,1.4968893024983052e-62,2.1889988781939686e-37,1.544907653508427e-37,8.075334382510369e-38,1.3441559221801174e-52,3.500262270207765e-45,2.2794539902497633e-41,4.928568676811398e-61,3.390676375253258e-60,1.7278771228477682e-63,1.1384844690333074e-61,4.712308853489008e-49,1.6582446759671523e-57,4.299797676357342e-49,2.44164945026735e-61,2.1804343860129852e-59,7.471765803703018e-21,8.967036796168012e-40,1.1687410693686189e-38,1.1737087192839414e-37,3.882747026221941e-34,1.081133227582111e-41,5.034902201815037e-37,1.653373019325765e-44,3.8658490773708783e-38,9.850726715352633e-44,1.187939299661527e-15,4.207141842249006e-56,1.5612500643366403e-83,1.9730030941684753e-66,4.7859641408752855e-58,7.32386925026715e-65,4.083541044117709e-76,4.558827249542776e-69,1.0303740952873396e-73,9.218310328622519e-90,6.6014544639901474e-43,5.613116146409848e-74,4.0744822371892816e-57,8.106534216871856e-64,3.1418204529074054e-77,1.6254689345536375e-87,2.7246579164541433e-89,3.31816058035159e-19,1.8299205833728952e-23,3.390369573948165e-45,1.1678084644424097e-25,3.913709277285597e-81,9.465009172319516e-85,7.260199997900948e-108,1.492981743529327e-94,7.037008846012984e-102
7.924818581533693e-22,0.3046197545558436,3.76,0.0,0.9249352692201829,0.9999999999999972,2.6423593348152952e-51,7.4381720710868925e-37,1.4252812162522078e-32,1.2858571580207777e-27,4.182675619138046e-23,1.707832183702307e-20,4.298372363105141e-38,4.967312125898142e-53,1.8925350933863512e-47,3.6851835994401634e-63,1.2573926654744439e-74,2.6692764901592693e-25,7.584367040803643e-19,9.996436031657208e-38,4.1920519224360917e-41,5.492566048713451e-44,1.5395560418852105e-61,1.053908731421862e-36,7.43806532517038e-37,3.887925891447037e-37,1.3197002551316593e-51,1.6852256152783985e-44,1.0974589741136298e-40,4.838897952907157e-60,3.6475315684508865e-59,1.6964400053835203e-62,1.1177708028177366e-60,2.2687745306577744e-48,1.783863500038741e-56,2.0701674908286758e-48,2.6266115719383396e-60,2.3456056983821994e-58,1.7078321837035452e-20,4.317242219093858e-39,5.626985148546346e-38,5.65090224449323e-37,1.8693755550088287e-33,5.20519110232461e-41,2.4240886759731562e-36,7.960279371216165e-44,1.8612399200315167e-37,4.742700875528969e-43,2.715289827793271e-15,4.1305968087294076e-55,3.396056603600214e-82,1.937106143757327e-65,5.148521826719121e-57,7.190618260808904e-64,4.0210882956294395e-75,4.47588364130521e-68,2.2412471289102582e-72,4.025065294577367e-88,3.178316155912452e-42,1.2209724840881048e-72,4.383065311291734e-56,7.959043365238347e-63,6.209089567308116e-76,3.21165269973708e-86,5.926710627703937e-88,7.584367040803624e-19,4.182675619138046e-23,1.6323170067999588e-44,2.669276490154079e-25,7.732830015497096e-80,1.88373770666871e-83,3.4650276736417225e-106,6.74003325047019e-93,2.804597435737154e-100
1.68402394857591e-21,0.30461975455584356,3.76,0.0,0.9249352692201829,0.9999999999999941,2.337136907882693e-50,3.248445161728315e-36,3.4478937537718523e-32,2.7324464635751172e-27,8.888185690668349e-23,3.629143390367395e-20,1.8772121393203301e-37,4.393531322337058e-52,1.6739258578219832e-46,3.259503160322235e-62,2.3549508496388173e-73,5.672212541600082e-25,1.6116779961707742e-18,4.36570624491217e-37,1.8307792095920997e-40,2.3987478961022272e-43,1.3894807351363107e-60,4.602696316732321e-36,3.248398542973896e-36,1.6979593817529965e-36,1.1672599305328334e-50,7.359823060235292e-44,4.792891668240423e-40,4.279950440570677e-59,3.35270871128533e-58,1.500481973189876e-61,9.886556167407018e-60,9.908340246986371e-48,1.639677725199549e-55,9.040965316683619e-48,2.414307295738693e-59,2.1560135325794643e-57,3.629143390370025e-20,1.885453101196337e-38,2.457452248502615e-37,2.467897472658312e-36,8.16405417765192e-33,2.273243706991855e-40,1.0586632113087334e-35,3.476463136694845e-43,8.128523722277405e-37,2.071262074243616e-42,5.769990884041468e-15,3.6534660997978435e-54,6.295714160536925e-81,1.7133484579970425e-64,4.732378570954766e-56,6.36002042219286e-63,3.5775981455177155e-74,3.9588684181016207e-67,4.154863797271687e-71,1.4984294447001594e-86,1.3880541671904424e-41,2.2634750991976066e-71,4.028764337830145e-55,7.039683723292454e-62,1.1049872266041253e-74,5.714964381242109e-85,1.0987111250092788e-86,1.6116779961707663e-18,8.888185690668349e-23,7.12875721681144e-44,5.672212541577417e-25,1.3760157849054555e-78,3.363133132966245e-82,1.4492673301688666e-104,2.544908310783194e-91,1.0043571191771681e-98
3.4671081294209906e-21,0.3046197545558436,3.76,0.0,0.9249352692201829,0.999999999999988,1.964504394148042e-49,1.3561619092580245e-35,8.826135217933988e-32,5.62562508352761e-27,1.829920583372895e-22,7.471765803697547e-20,7.836991151713665e-37,3.6930278065456674e-51,1.407035545098137e-45,2.7398088060389517e-61,4.0675869669395875e-72,1.1678084644518713e-24,3.3181605803515936e-18,1.822596418151502e-36,7.643142810438798e-40,1.0014300271756737e-42,1.1789490581900515e-59,1.921535107977522e-35,1.356142446838884e-35,7.088646174845905e-36,9.811523042976303e-50,3.0725812908921293e-43,2.0009379232292044e-39,3.59755623165935e-58,2.868312425801283e-57,1.2612455092871326e-60,8.310246168402321e-59,4.1365418568764276e-47,1.4027787525041306e-54,3.7744250500785766e-47,2.065490239085276e-58,1.844514123353319e-56,7.471765803702959e-20,7.871395545394921e-38,1.0259379387032076e-36,1.0302986141713268e-35,3.40833190944167e-32,9.490344987714983e-40,4.419710508943697e-35,1.451354925274772e-42,3.393498643736273e-36,8.647111431150946e-42,1.18793929964767e-14,3.070958394721711e-53,1.0820722208767834e-79,1.4401726341963107e-63,4.0486495011414455e-55,5.345980387632917e-62,3.042468141831811e-73,3.3276674873477436e-66,7.14112575494014e-70,5.162314440386559e-85,5.794852909530958e-41,3.890333778204201e-70,3.4466820974773845e-54,5.917278342254201e-61,1.8638143610461003e-73,9.639122745737329e-84,1.8884028257907542e-85,3.3181605803515597e-18,1.829920583372895e-22,2.9761158081890875e-43,1.1678084644424093e-24,2.3208517439382937e-77,5.681467735917563e-81,6.003889514569212e-103,8.829469159067282e-90,3.3990742434337713e-97
7.033276491111153e-21,0.3046197545558436,3.76,0.0,0.9249352692201829,0.9999999999999758,1.6106193926951002e-48,5.540363904113754e-35,2.4914683702749295e-31,1.1411982358807846e-26,3.712124611985016e-22,1.5157010630357758e-19,3.2016666001995e-36,3.027767319148498e-50,1.1535727493777844e-44,2.2462607914494103e-60,6.758352640155758e-71,2.3689828850503982e-24,6.7311257487132335e-18,7.445901066715946e-36,3.12247322767309e-39,4.091168419582402e-42,9.709537061824055e-59,7.850097897554794e-35,5.540284393725052e-35,2.8959432592536643e-35,8.04407937785122e-49,1.2552497472142717e-42,8.174484306358816e-39,2.9494939539068414e-57,2.3715760002146816e-56,1.0340452697574698e-59,6.81324189278154e-58,1.6899162825902177e-46,1.1598445751949793e-53,1.5419757911468757e-46,1.7077870837620433e-57,1.5250796159597003e-55,1.5157010630368721e-19,3.215721917675901e-37,4.191291234889505e-36,4.209106017011872e-35,1.3924147961385526e-31,3.8771155897664725e-39,1.8055959545060378e-34,5.929258435348584e-42,1.386354923096311e-35,3.5326271678733075e-41,2.4098197221102514e-14,2.5177572314762794e-52,1.7934552039237912e-78,1.180740567013694e-62,3.347501700748488e-54,4.38295771690476e-61,2.5522449000308164e-72,2.728222924532928e-65,1.1835873773560393e-68,1.713183606843687e-83,2.3673864953629165e-40,6.447941695853697e-69,2.849779260772643e-53,4.8513422919820937e-60,3.0613950025659473e-72,1.5832288054405907e-82,3.1298885077418166e-84,6.731125748713094e-18,3.712124611985016e-22,1.2158404159428937e-42,2.3689828850117432e-24,3.8120059585000406e-76,9.33914851620831e-80,2.6490787618800343e-101,2.940581875176377e-88,1.1184455551356567e-95
1.4165613214491476e-20,0.3046197545558436,3.76,0.0,0.9249352692201829,0.9999999999999514,1.304321342358572e-47,2.2395036728888743e-34,7.842004289834119e-31,2.2984697050869338e-26,7.4765326692092575e-22,3.052750028367781e-19,1.294164830045351e-35,2.451964475215774e-49,9.341931208382559e-44,1.8190802271318261e-59,1.101781738796539e-69,4.771331726306656e-24,1.355705608543651e-17,3.0097522608819486e-35,1.2621536026770855e-38,1.653715687348898e-41,7.880507480928779e-58,3.17313508245833e-34,2.239471533473159e-34,1.1705865675393476e-34,6.514304036969413e-48,5.0739204504733464e-42,3.3042572553895796e-38,2.3885766746686325e-56,1.92852614557728e-55,8.373966688833616e-59,5.517539929998897e-57,6.8309438374809315e-46,9.431663366632886e-53,6.2329127025430865e-46,1.3887440197121266e-56,1.2401692850320614e-54,3.0527500283699833e-19,1.2998462141510054e-36,1.6941869301079785e-35,1.7013879498609297e-34,5.628363233963248e-31,1.5671921110906715e-38,7.298507538066665e-34,2.396701060375448e-41,5.603868258203465e-35,1.4279443830627821e-40,4.853580566937557e-14,2.0389450833012014e-51,2.9201767603624224e-77,9.561943724130531e-62,2.7221327891472267e-53,3.5494328024401053e-60,2.160561193300409e-71,2.209385770320445e-64,1.9271637566683425e-67,5.582158821945246e-82,9.569354730228371e-40,1.049880055780865e-67,2.317391525473215e-52,3.9287427677565882e-59,4.962713036825074e-71,2.566482119599024e-81,5.096211519912609e-83,1.3557056085435947e-17,7.476532669209257e-22,4.914621357641548e-42,4.7713317261504085e-24,6.179425929216551e-75,1.514505411887364e-78,1.288681038245135e-99,9.598549004093018e-87,3.6291088541441304e-94
2.843028666125212e-20,0.30461975455584367,3.76,0.0,0.9249352692201829,0.9999999999999025,1.0498312897649188e-46,9.004945772127016e-34,2.7074381019334753e-30,4.613012700099635e-26,1.5005348783657742e-21,6.126847959031641e-19,5.203779862175152e-35,1.9735543257427086e-48,7.519198966135468e-43,1.464154023154124e-58,1.7793802009990547e-68,9.57602940905599e-24,2.7208916758883065e-17,1.2102081467291833e-34,5.075064124832268e-38,6.649518045759321e-41,6.349897380959897e-57,1.2759036607012974e-33,9.00481654058535e-34,4.706877103807738e-34,5.243278620505355e-47,2.0402013184256146e-41,1.3286273097408554e-37,1.922534309247691e-55,1.5554261735595735e-54,6.740096909805648e-58,4.4409961507876735e-56,2.7467182305344618e-45,7.606978152176878e-52,2.5062267956130396e-45,1.1200723329330936e-55,1.0002414045701036e-53,6.12684795903604e-19,5.226624458242016e-36,6.812251132789957e-35,6.8412061163854396e-34,2.2631401019352858e-30,6.301610550777956e-38,2.934697781052581e-33,9.637029554004202e-41,2.2532907798887934e-34,5.7417015606937995e-40,9.741102256200732e-14,1.641120387233677e-50,4.713176971734935e-76,7.696284959868997e-61,2.195498710479663e-52,2.8568923250520077e-59,1.8898214770921594e-70,1.7783060605881084e-63,3.110448908797673e-66,1.802445172440564e-80,3.84779545223741e-39,1.6945105655587694e-66,1.8690595656058603e-51,3.1621939726549585e-58,7.99234435584648e-70,4.1332403334402e-80,8.225305506190957e-82,2.7208916758880803e-17,1.5005348783657736e-21,1.9761476328130356e-41,9.576029408427725e-24,9.951774957914944e-74,2.439537124279137e-77,6.905144860836046e-98,3.1020851776157574e-85,1.1693998599016598e-92
5.695963355477342e-20,0.30461975455584367,3.76,0.0,0.9249352692201829,0.9999999999998048,8.424234940393461e-46,3.611386010979776e-33,9.966435403984693e-30,9.242098916526659e-26,3.0062981012554708e-21,1.2275043820358768e-18,2.0869484694749996e-34,1.583653056299706e-47,6.033683627684808e-42,1.1748913943099636e-57,2.8603015045969018e-67,1.9185424775501926e-23,5.451263810577618e-17,4.853475947206289e-34,2.03532770184843e-37,2.6667541433031445e-40,5.098182542587191e-56,5.116944341271289e-33,3.611334183059084e-33,1.887668238850431e-33,4.2074008826569936e-46,8.182121563471087e-41,5.328389755149665e-37,1.5427127061897964e-54,1.249402878935904e-53,5.408503293634898e-57,3.56361972683754e-55,1.1015775198332103e-44,6.110338521696357e-51,1.0051090478106212e-44,8.997029981237768e-55,8.034482708582743e-53,1.2275043820367494e-18,2.096110174611794e-35,2.7320173895264366e-34,2.743629632896248e-33,9.076204022906516e-30,2.527227677038243e-37,1.1769450677670553e-32,3.864879878620613e-40,9.036703836072177e-34,2.3026791294555358e-39,1.9516145633161346e-13,1.3168957565704045e-49,7.573948790385724e-75,6.175785237612472e-60,1.7635439605987916e-51,2.2924761892756844e-58,1.7584994814903468e-69,1.426978909362156e-62,4.998406965056236e-65,5.793798811282752e-79,1.5431380754217735e-38,2.7230329269386917e-65,1.5013300264491428e-50,2.5374615154660292e-57,1.2829521192076565e-68,6.63476611002315e-79,1.3217844788346031e-80,5.451263810576709e-17,3.0062981012554685e-21,7.925235862778417e-41,1.9185424772982307e-23,1.5974802793144028e-72,3.9163762597375816e-76,3.983087294555834e-96,9.975841040392385e-84,3.7550730135139374e-91
