! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
H(4)                0     145.000     2.050     0.000     0.000     0.000    ! GRI-Mech
O(5)                0      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
OH(6)               1      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
H2(7)               1      38.000     2.920     0.000     0.790   280.000    ! GRI-Mech
He(8)               0      10.200     2.576     0.000     0.000     0.000    ! NOx2018
HO2(9)              2     107.400     3.458     0.000     0.000     1.000    ! GRI-Mech
H2O2(10)            2     107.400     3.458     0.000     0.000     3.800    ! GRI-Mech
C2H4(11)            2     280.801     3.971     0.000     0.000     1.500    ! GRI-Mech
CH3(12)             2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
HCO(13)             2     498.002     3.590     0.000     0.000     0.000    ! GRI-Mech
CH3CO(14)           2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
CH2CHO(15)          2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
C2H3(16)            2     209.001     4.100     0.000     0.000     1.000    ! GRI-Mech
CH2(17)             2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
CH2O(18)            2     498.002     3.590     0.000     0.000     2.000    ! GRI-Mech
CH2CO(19)           2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
CH4(20)             2     141.400     3.746     0.000     2.600    13.000    ! GRI-Mech
CO(21)              1      98.100     3.650     0.000     1.950     1.800    ! GRI-Mech
C2H2(22)            1     209.001     4.100     0.000     0.000     2.500    ! GRI-Mech
Ar                  0     136.501     3.330     0.000     0.000     0.000    ! GRI-Mech
N2                  1      97.530     3.621     0.000     1.760     4.000    ! GRI-Mech
Ne                  0     148.600     3.758     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
